,2015/Q1,2015/Q2,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2018/Q1,2018/Q2
IncomeRevenues,,22000,4261000,-291000,1549000,2018000,12687000,18407000
IncomeCostOfSales,,,,,,,,
IncomeDistributionExpenses,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,
IncomeGrossProfit,-63000,-779000,2057000,-579000,-1211000,-325000,836000,2129000
IncomeOtherOperatingIncome,,0,307000,113000,114000,35000,343000,5139000
IncomeOtherOperatingCosts,0,0,457000,1000,268000,-104000,91000,324000
IncomeEBIT,-63000,-779000,1907000,-467000,-1365000,-186000,1088000,6944000
IncomeFinanceIncome,1000,1000,15000,83000,4005000,333000,197000,287000
IncomeFinanceCosts,1000,0,493000,445000,536000,1230000,814000,816000
IncomeOtherIncome,,-1000,96000,9330000,0,524000,-280000,-63000
IncomeNetGrossProfit,-779000,1526000,-924000,11434000,-1082000,994000,6135000,
IncomeExtraordinarProfit,,,,,,,,-63000
IncomeBeforeTaxProfit,-779000,1526000,-924000,11434000,-1082000,994000,6135000,
IncomeDiscontinuedProfit,,,,,,,,-63000
IncomeNetProfit,-779000,1380000,-892000,9496000,-877000,585000,4874000,-63000
IncomeShareholderNetProfit,-779000,1390000,-891000,9507000,-873000,588000,4874000,
BalanceNoncurrentAssets,265000,22816000,6502000,23471000,24683000,32801000,41780000,
BalanceIntangibleAssets,,2201000,2909000,2908000,2907000,2905000,2910000,
BalanceProperty,,16587000,1087000,1506000,2262000,11829000,19071000,
BalanceNoncurrentReceivables,,,2395000,9612000,9920000,8643000,10068000,265000
BalanceNoncurrInvestments,3316000,111000,9444000,9449000,9245000,9337000,,
BalanceOtherNoncurrentAssets,711000,,145000,179000,394000,10232000,3142000,32565000
BalanceCurrentAssets,48127000,48807000,62595000,67183000,64374000,6118000,2485000,9886000
BalanceInventory,30773000,29124000,42082000,33501000,17572000,1671000,268000,9709000
BalanceCurrentReceivables,12511000,18269000,16610000,22158000,25991000,2441000,389000,12705000
BalanceCurrentInvestments,403000,330000,221000,365000,425000,,,
BalanceCash,3748000,696000,3317000,10859000,20105000,2000,0,265000
BalanceOtherCurrentAssets,692000,388000,365000,300000,281000,,,
BalanceAssetsForSale,,,,,,10496000,3142000,55380000
BalanceTotalAssets,54629000,72278000,87278000,99983000,106154000,6586000,1521000,23196000
BalanceCapital,24191000,33698000,32967000,58649000,63482000,810000,810000,1061000
BalanceShareCapital,1061000,1061000,1061000,1561000,1561000,,,
BalanceOwnShares,,,,,,1000,1000,15377000
BalanceReserve,9485000,9485000,9485000,35847000,40031000,,,-48000
BalanceNonshareCapital,-49000,-60000,-64000,-38000,,,26054000,25633000
BalanceNoncurrentLiabilities,32437000,39964000,34307000,35506000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,26054000,24894000
BalanceNoncurrentBorrowings,29559000,36785000,29836000,29720000,,,,
BalanceNoncurrentObligations,,,,,,,,111000
BalanceNoncurrentLeasing,320000,920000,770000,723000,,,,628000
BalanceNoncurrentOtherLiabilities,2557000,2258000,3701000,5064000,3911000,1622000,6178000,4854000
BalanceCurrentLiabilities,6203000,14411000,7066000,7166000,,,,4273000
BalanceCurrentTradePayablesv,5672000,11912000,4047000,3899000,,,,222000
BalanceCurrentBorrowings,208000,2020000,2376000,2722000,,,,
BalanceCurrentObligations,,,,,,,,71000
BalanceCurrentLeasing,85000,247000,190000,190000,3909000,507000,4987000,168000
BalanceCurrentOtherLiabilities,117000,111000,453000,354000,1000,1115000,1191000,120000
BalanceReckoning,120000,120000,,,10496000,3142000,55380000,54629000
BalanceTotalEquityAndLiabilities,72278000,87278000,99983000,106154000,,,,
CashflowOperatingCashflow,717000,-533000,-2059000,-16910000,-7449000,-6096000,13961000,10365000
CashflowAmortization,,,,54000,55000,64000,133000,52000
CashflowInvestingCashflow,,-274000,-9959000,10421000,-87000,814000,-617000,-457000
CashflowCapex,,445000,10138000,-10068000,87000,50000,317000,14000
CashflowFinancingCashflow,,,19611000,-1216000,4484000,7902000,-7956000,-662000
CashflowShareCapitalCash,,,,,,,,
CashflowDividend,,,,,,,,
CashflowNetCashflow,717000,-807000,7592000,-7705000,-3052000,2621000,5387000,9246000
