,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3549505000,3229782000,3251762000,3663573000,3794333000,3465956000,3690586000,4478004000,5299075000,5032069000,4835697000,5588381000,6454853000,5859133000,5900257000,6538742000,5164102000,4542422000,4507180000,4917418000,4887264000,4339051000,4491366000,4859798000,4789786000,4466828000,4377627000,4630199000,4564505000,4276521000,4150564000,4654899000,4591081000,4166943000,4113296000,4544709000,4825532000,4376839000
IncomeRevenues_yy,,,,,6.90,7.31,13.49,22.23,39.66,45.19,31.03,24.80,21.81,16.44,22.01,17.01,-20.00,-22.47,-23.61,-24.80,-5.36,-4.48,-0.35,-1.17,-1.99,2.94,-2.53,-4.72,-4.70,-4.26,-5.19,0.53,0.58,-2.56,-0.90,-2.37,5.11,5.04
IncomeRevenues_sy,,,,,3.60,9.20,9.00,9.30,22.30,19.88,13.64,24.80,8.80,13.29,5.67,8.80,-10.93,0.19,-6.08,-11.85,-9.01,-3.42,-10.12,-2.21,4.54,2.54,13.30,1.54,-3.10,-3.32,-3.79,5.74,0.64,-2.08,3.27,-5.03,5.11,0.61
IncomeRevenues_qq,,-9.01,0.68,12.66,3.57,-8.65,6.48,21.34,18.34,-5.04,-3.90,15.57,15.50,-9.23,0.70,10.82,-21.02,-12.04,-0.78,9.10,-0.61,-11.22,3.51,8.20,-1.44,-6.74,-2.00,5.77,-1.42,-6.31,-2.95,12.15,-1.37,-9.24,-1.29,10.49,6.18,-9.30
IncomeRevenues_sq,,-14.62,-2.50,21.32,5.70,-9.58,0.71,21.34,18.34,-17.35,-3.90,17.94,5.80,-13.10,-0.16,10.80,-9.90,-10.40,-2.42,8.08,-2.00,-10.10,-6.96,13.85,2.48,-12.62,-0.38,8.04,-2.12,-10.87,0.68,13.71,-8.06,-10.90,0.98,10.49,2.78,-9.38
IncomeCostOfSales,3031275000,2654805000,2695879000,3139581000,3106970000,2889658000,3141138000,3951362000,4560882000,4368268000,4229239000,5015965000,5604614000,4889291000,5033062000,5755087000,4078650000,3849397000,3695778000,4366636000,3972141000,3593047000,3763356000,4320235000,3963915000,3648360000,3635702000,7780985000,3842319000,4335018000,3513313000,4026812000,3556087000,3460687000,3499720000,3987191000,3880151000,4046635000
IncomeCostOfSales_yy,,,,,2.50,8.85,16.52,25.86,46.80,51.17,34.64,26.94,22.88,11.93,19.01,14.74,-27.23,-21.27,-26.57,-24.13,-2.61,-6.66,1.83,-1.06,-0.21,1.54,-3.39,80.11,-3.07,18.82,-3.37,-48.25,-7.45,-20.17,-0.39,-0.98,9.11,16.93
IncomeCostOfSales_sy,,,,,9.66,7.90,12.42,34.02,46.80,51.17,11.19,26.94,8.91,11.93,15.43,7.26,-4.34,-1.39,-5.48,-8.91,-10.72,-8.28,-4.18,-0.57,1.01,5.37,9.48,-8.79,-1.93,-2.52,-7.44,5.06,-2.51,-5.60,-10.37,-5.71,5.68,20.58
IncomeCostOfSales_qq,,-12.42,1.55,16.46,-1.04,-6.99,8.70,25.79,15.43,-4.22,-3.18,18.60,11.74,-12.76,2.94,14.35,-29.13,-5.62,-3.99,18.15,-9.03,-9.54,4.74,14.80,-8.25,-7.96,-0.35,114.02,-50.62,12.82,-18.96,14.62,-11.69,-2.68,1.13,13.93,-2.68,4.29
IncomeCostOfSales_sq,,-12.65,-0.33,59.04,-3.12,-6.99,-5.26,48.45,6.34,-9.61,-8.04,34.72,4.76,-10.74,4.38,10.94,-6.98,-10.54,-3.46,16.10,-9.46,-10.37,2.06,17.97,-8.25,-10.06,-1.26,13.75,-4.63,-2.47,-10.92,14.62,-11.69,-10.27,2.07,10.06,-2.68,4.29
IncomeDistributionExpenses,44707000,46645000,45195000,51635000,52512000,56702000,56309000,65729000,72231000,78559000,52175000,80417000,116780000,114194000,110857000,210460000,135865000,134308000,127343000,155986000,123000000,134189000,144298000,147677000,107668000,130164000,122113000,130018000,107069000,110520000,112586000,129016000,110209000,115318000,118242000,147860000,112269000,116053000
IncomeDistributionExpenses_yy,,,,,17.46,21.56,24.59,27.30,37.55,38.55,-7.34,22.35,61.68,45.36,112.47,161.71,16.34,17.61,14.87,-25.88,-9.47,-0.09,13.31,-5.33,-12.47,-3.00,-15.37,-11.96,-0.56,-15.09,-7.80,-0.77,2.93,4.34,5.02,14.61,1.87,0.64
IncomeDistributionExpenses_sy,,,,,-31.29,50.22,6.52,-6.67,5.51,24.56,12.08,11.36,36.45,-3.41,-10.10,-28.56,-40.89,-26.63,6.31,-20.42,2.94,-0.97,-16.74,11.78,-8.00,-1.88,-5.86,-12.96,4.26,-2.21,3.74,-4.28,-3.07,4.74,-8.36,-6.37,-11.80,-4.66
IncomeDistributionExpenses_qq,,4.33,-3.11,14.25,1.70,7.98,-0.69,16.73,9.89,8.76,-33.58,54.13,45.22,-2.21,-2.92,89.85,-35.44,-1.15,-5.19,22.49,-21.15,9.10,7.53,2.34,-27.09,20.89,-6.19,6.47,-17.65,3.22,1.87,14.59,-14.58,4.64,2.54,25.05,-24.07,3.37
IncomeDistributionExpenses_sq,,-30.82,11.25,29.24,-40.30,7.98,3.62,34.45,5.21,23.20,-29.17,8.59,-7.65,-21.96,-2.84,5.82,-30.64,-1.15,-4.42,7.34,-18.75,1.02,7.53,30.49,-25.30,6.14,-5.02,44.20,-11.86,-10.60,1.22,15.94,-1.34,-14.46,-2.04,22.46,1.72,-9.45
IncomeAdministrativExpenses,140264000,153996000,157090000,170187000,144596000,196024000,149663000,180025000,146521000,162051000,174890000,180508000,178971000,160908000,172242000,222633000,169590000,172464000,165231000,138121000,167391000,164808000,159428000,172560000,156212000,156612000,153669000,152476000,167643000,150336000,154810000,180038000,153492000,151071000,150803000,154999000,122903000,160702000
