,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2030000,2843000,2562000,5253000,4374000,4784000,5253000,4707000,4962000,5461000,5919000,5063000,3988000,5027000,6225000,5910000,4337000,6059000,7470000,9928000,7619000,9216000,9435000,9982000,12642000,22136000
IncomeRevenues_yy,,,,,115.46,68.27,105.08,-10.39,13.45,14.15,12.67,7.56,-19.63,-7.95,5.17,16.73,8.75,20.53,20.00,67.99,75.67,52.10,26.31,0.54,65.93,140.19
IncomeRevenues_sy,,,,,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35
IncomeRevenues_qq,,40.05,-9.90,105.06,-16.73,9.38,9.81,-10.40,5.42,10.06,8.39,-14.46,-21.23,26.05,23.83,-5.06,-26.62,39.70,23.29,32.90,-23.26,20.96,2.38,5.80,26.65,75.10
IncomeRevenues_sq,,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52
IncomeCostOfSales,1583000,2020000,,,,,11408000,4430000,3811000,4635000,4728000,4270000,3173000,4024000,4683000,4828000,3625000,4767000,5970000,7845000,5720000,7184000,7834000,9058000,11308000,19730000
IncomeCostOfSales_yy,,,,,-100.00,-100.00,,,,,-58.56,-3.61,-16.74,-13.18,-0.95,13.07,14.25,18.46,27.48,62.49,57.79,50.70,31.22,15.46,97.69,174.64
IncomeCostOfSales_sy,,,,,-10.53,-1.52,,,,,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94
IncomeCostOfSales_qq,,27.61,-100.00,,,,,-61.17,-13.97,21.62,2.01,-9.69,-25.69,26.82,16.38,3.10,-24.92,31.50,25.24,31.41,-27.09,25.59,9.05,15.62,24.84,74.48
IncomeCostOfSales_sq,,-0.93,1.40,,,,,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26
IncomeDistributionExpenses,,,,,,,870000,477000,381000,456000,350000,373000,306000,373000,393000,465000,364000,411000,494000,477000,506000,545000,441000,520000,382000,435000
IncomeDistributionExpenses_yy,,,,,,,,,,,-59.77,-21.80,-19.69,-18.20,12.29,24.66,18.95,10.19,25.70,2.58,39.01,32.60,-10.73,9.01,-24.51,-20.18
IncomeDistributionExpenses_sy,,,,,,,,,,,5.08,8.22,-1.01,4.11,2.64,5.01,6.76,-2.70,-1.09,10.09,2.58,8.16,11.96,8.94,3.42,0.44
IncomeDistributionExpenses_qq,,,,,,,,-45.17,-20.13,19.69,-23.25,6.57,-17.96,21.90,5.36,18.32,-21.72,12.91,20.19,-3.44,6.08,7.71,-19.08,17.91,-26.54,13.87
IncomeDistributionExpenses_sq,,,,,,,,11.60,-8.28,11.40,-4.17,10.91,-12.24,11.78,-1.84,8.60,-11.66,9.22,-6.68,9.50,-6.94,9.29,0.53,7.78,-15.38,11.94
IncomeAdministrativExpenses,,,,,,,1840000,611000,595000,508000,636000,657000,607000,628000,602000,633000,608000,600000,651000,610000,679000,598000,624000,658000,1021000,1117000
IncomeAdministrativExpenses_yy,,,,,,,,,,,-65.43,7.53,2.02,23.62,-5.35,-3.65,0.16,-4.46,8.14,-3.63,11.68,-0.33,-4.15,7.87,50.37,86.79
IncomeAdministrativExpenses_sy,,,,,,,,,,,0.39,11.22,2.10,2.64,0.94,4.07,0.15,-2.48,4.88,-2.48,4.69,2.25,-1.40,2.53,9.42,9.05
IncomeAdministrativExpenses_qq,,,,,,,,-66.79,-2.62,-14.62,25.20,3.30,-7.61,3.46,-4.14,5.15,-3.95,-1.32,8.50,-6.30,11.31,-11.93,4.35,5.45,55.17,9.40
IncomeAdministrativExpenses_sq,,,,,,,,2.22,-1.68,2.94,-4.46,22.64,-12.21,0.90,-4.64,19.62,-4.66,3.76,-7.14,12.09,-7.46,3.84,-5.42,12.70,-5.21,4.65
IncomeGrossProfit,447000,824000,368000,784000,-119000,304000,108000,-811000,175000,-138000,205000,-237000,-98000,2000,547000,-16000,-260000,281000,355000,996000,714000,889000,536000,-254000,-69000,854000
IncomeGrossProfit_yy,,,,,-126.67,-63.05,-70.72,-203.45,246.79,-145.32,90.30,70.78,-156.00,101.45,166.83,93.25,-165.31,13950.00,-35.10,6325.00,374.62,216.37,50.99,-125.50,-109.66,-3.94
IncomeGrossProfit_sy,,,,,-48.70,-54.90,5.82,44.10,110.37,66.20,49.77,15.06,-13.42,16.11,16.46,66.83,29.74,63.55,0.42,13.70,-0.53,-22.16,10.60,14.25,22.62,35.00
IncomeGrossProfit_qq,,84.34,-55.35,113.09,-115.21,355.41,-64.62,-852.86,121.58,-178.86,248.55,-215.61,58.65,102.04,27250.00,-102.93,-1525.00,208.08,26.33,180.56,-28.31,24.51,-39.71,-147.39,72.83,1337.68
IncomeGrossProfit_sq,,-5.36,-46.08,-51.68,73.18,19.48,61.56,-44.38,56.80,4.30,53.62,-45.66,58.23,5.88,35.48,-16.02,41.17,18.70,-15.26,-27.56,61.82,-8.26,12.15,-28.21,70.37,11.85
IncomeOtherOperatingIncome,,7000,10000,-182000,10000,4000,14000,-689000,1000,3000,96000,195000,0,2000,25000,-321000,42000,4000,9000,32000,5000,7000,-73000,226000,27000,88000
IncomeOtherOperatingIncome_yy,,,,,,-37.04,43.47,-278.34,-90.47,-31.93,580.71,128.30,-100.00,-33.33,-73.96,-264.62,,100.00,-64.00,109.97,-88.10,75.00,-911.11,606.25,440.00,1157.14
