,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,12884000,10734000,10242000,13674000,11414000,13133000,11113000,12871000,12913000,13288000,12108000,13686000,13147000,15307000,12911000,16406000,15020000,17564000,16614000,25059000,20922000,23695000,22157000,25680000,24248000,24495000,22207000,27467000,24288000,23681000,20029000,25972000,26128000,27119000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,2513000,1238000,1223000,2264000,1394000,2916000,1353000,1620000,1782000,2213000,873000,1525000,919000,2178000,702000,2167000,1705000,2710000,2575000,7215000,4412000,5453000,4397000,5546000,5242000,3942000,2783000,5172000,3498000,1824000,-632000,1302000,2611000,2509000
IncomeOtherOperatingIncome,45000,-18000,46000,150000,383000,-292000,101000,44000,80000,125000,24000,57000,422000,-293000,67000,116000,66000,132000,24000,-766000,90000,26000,98000,47000,46000,58000,98000,-120000,206000,183000,132000,281000,138000,134000
IncomeOtherOperatingCosts,252000,128000,96000,191000,81000,174000,109000,138000,133000,160000,12000,344000,245000,113000,106000,141000,161000,458000,261000,184000,220000,125000,134000,820000,145000,157000,338000,515000,162000,171000,259000,1228000,121000,165000
IncomeEBIT,2306000,1092000,1173000,2223000,1696000,2450000,1345000,1526000,1729000,2178000,885000,1238000,1096000,1772000,663000,2142000,1610000,2384000,2338000,6265000,4282000,5354000,4361000,4773000,5143000,3843000,2543000,4537000,3542000,1836000,-759000,355000,2628000,2478000
IncomeFinanceIncome,8000,10000,14000,1199000,99000,95000,100000,101000,159000,39000,314000,576000,484000,389000,92000,-7000,39000,41000,68000,104000,80000,156000,80000,97000,84000,70000,90000,89000,177000,149000,31000,204000,96000,208000
IncomeFinanceCosts,47000,88000,52000,1247000,60000,111000,87000,224000,96000,54000,147000,77000,43000,163000,109000,94000,119000,199000,135000,222000,145000,152000,135000,183000,87000,189000,179000,180000,182000,252000,142000,435000,321000,342000
