,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,9715000,32557000,17411000,24648000,20196000,34945000,22318000,23845000,20774000,39590000,19296000,25306000,32915000,25702000,21398000,22652000,25048000,33850000,25951000,30597000,30409000,45092000,28671000,30815000,24483000,36694000,33924000,29834000,32707000,55695000,32562000,33752000
IncomeCostOfSales,,,,,49371000,23457000,15634000,18765000,14550000,31125000,13513000,18937000,26169000,18345000,14165000,17666000,20825000,30659000,18251000,22722000,21866000,33235000,20544000,22044000,17767000,25202000,24489000,22027000,23457000,40533000,23459000,22966000
IncomeDistributionExpenses,,,,,1504000,905000,591000,651000,749000,559000,800000,865000,782000,751000,451000,519000,481000,398000,380000,395000,322000,338000,786000,325000,360000,369000,459000,376000,346000,407000,474000,759000
IncomeAdministrativExpenses,,,,,11141000,5356000,4084000,4231000,4328000,4525000,4320000,4427000,4589000,4624000,4471000,5143000,4326000,4074000,3825000,4296000,3694000,5221000,5278000,4533000,3902000,3932000,4070000,4276000,4085000,4764000,3793000,4397000
IncomeGrossProfit,315000,4080000,-2016000,2015000,240000,5227000,2009000,198000,1147000,3381000,663000,1077000,1376000,1982000,2312000,-677000,-583000,-1280000,3495000,3184000,4527000,6299000,2063000,3913000,2455000,7191000,4906000,3156000,4819000,9991000,4836000,5631000
IncomeOtherOperatingIncome,,602000,,1066000,-2148000,340000,249000,194000,6801000,2121000,486000,232000,125000,382000,1052000,669000,397000,755000,2267000,682000,424000,695000,595000,540000,245000,572000,413000,1288000,1429000,565000,455000,
IncomeOtherOperatingCosts,1320000,,1533000,658000,184000,337000,567000,1321000,252000,676000,581000,416000,325000,223000,135000,626000,164000,247000,171000,699000,147000,283000,189000,374000,447000,652000,141000,-508000,134000,430000,,4376000
IncomeEBIT,,-228000,2421000,2165000,110000,774000,8861000,2532000,887000,1026000,1691000,2369000,152000,-49000,-1509000,4086000,5204000,5038000,6024000,2611000,4224000,2805000,7062000,5031000,2917000,5966000,11928000,5267000,5656000,,848000,
IncomeFinanceIncome,160000,76000,23000,12000,136000,-10000,58000,364000,142000,69000,149000,158000,47000,250000,139000,306000,317000,96000,185000,182000,232000,286000,139000,151000,126000,-125000,93000,202000,,2250000,,2471000
IncomeFinanceCosts,3310000,1138000,972000,2041000,1618000,1168000,1038000,1088000,870000,1075000,1543000,1362000,1331000,1010000,974000,943000,522000,707000,838000,604000,649000,860000,647000,614000,666000,717000,595000,,-633000,,,
