,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,35470000,30219000,33023000,32388000,35457000,35061000,45466000,64859000,88364000,106743000,97586000,118946000,92966000,113781000,133718000,164406000,122105000,97842000,84209000,104246000,76514000,87132000,82832000,107443000,79013000,97354000,89586000,121750000,88036000,99447000,90094000,117936000,83497000,102328000,90670000,121182000,88077000,114043000,100648000,140620000,103247000,132539000,118773000,159597000,119489000,154284000,136647000,188182000,136164000,171923000,157350000,223076000,160558000,192888000
IncomeCostOfSales,20973000,14969000,18033000,14921000,19707000,16331000,21980000,30091000,45316000,49638000,47569000,52332000,42185000,49953000,69101000,66906000,70291000,42850000,39050000,45689000,34056000,37598000,40687000,46918000,37978000,43268000,44067000,55397000,45087000,46980000,44742000,53812000,41298000,46048000,43722000,53665000,43039000,51587000,47786000,63293000,49913000,61535000,55823000,74137000,58544000,71525000,67533000,89058000,68151000,81394000,76673000,102915000,82755000,92337000
IncomeDistributionExpenses,5788000,6682000,7076000,8668000,8738000,11152000,12319000,28896000,27197000,33794000,34411000,57412000,32644000,53029000,51222000,54427000,50485000,38482000,35294000,40562000,29773000,30397000,32713000,36256000,31861000,34608000,34826000,37361000,33353000,36032000,35367000,39028000,34973000,31820000,37788000,40399000,36359000,38348000,38115000,45635000,39752000,40316000,43279000,50779000,45831000,52256000,49495000,57530000,51720000,55054000,55508000,68246000,59611000,65420000
IncomeAdministrativExpenses,3941000,3859000,3636000,4798000,3936000,4448000,4612000,9544000,10229000,11867000,9361000,13676000,11879000,13819000,18420000,18621000,14381000,13236000,11675000,10694000,10723000,9584000,10515000,12435000,9890000,10592000,10641000,11797000,9861000,9926000,10201000,10784000,9751000,9784000,11599000,10549000,10017000,10287000,11147000,11571000,12117000,12749000,12911000,15030000,13334000,12670000,13062000,17042000,14965000,14129000,14760000,18921000,15841000,15349000
IncomeGrossProfit,4768000,4709000,4278000,4001000,3076000,3130000,6555000,-3672000,5622000,11444000,6245000,-4474000,6258000,-3020000,-5025000,24452000,-13052000,3274000,-1810000,7301000,1962000,9553000,-1083000,11834000,-716000,8886000,52000,17195000,-265000,6509000,-216000,14312000,-2525000,14676000,-2439000,16569000,-1338000,13821000,3600000,20121000,1465000,17939000,6760000,19651000,1780000,17833000,6557000,24552000,1328000,21346000,10409000,32994000,2351000,19782000
IncomeOtherOperatingIncome,1006000,575000,344000,157000,39000,467000,48000,169000,7387000,70000,21154000,26667000,969000,623000,636000,6968000,3251000,29550000,18799000,12773000,4043000,720000,1529000,2445000,5111000,2391000,3066000,4494000,2758000,7414000,1808000,3660000,683000,1381000,14904000,537000,1429000,273000,433000,514000,391000,148000,66000,529000,466000,1257000,290000,1697000,267000,428000,228000,543000,544000,222000
IncomeOtherOperatingCosts,986000,374000,111000,1361000,311000,299000,-84000,2455000,1225000,744000,7415000,6112000,569000,3935000,1355000,156272000,5145000,3781000,1210000,9721000,2028000,2398000,1478000,1834000,1041000,3148000,6892000,4069000,2558000,1349000,1614000,2373000,1331000,2425000,4824000,1560000,456000,535000,299000,766000,733000,638000,152000,2088000,394000,1400000,311000,1239000,617000,1000000,986000,2108000,964000,828000
IncomeEBIT,4788000,4910000,4511000,2797000,2804000,3298000,6687000,-5958000,11784000,10770000,19984000,16081000,6658000,-6332000,-5744000,-124852000,-14946000,29043000,15779000,10353000,3977000,7875000,-1032000,12445000,3354000,8129000,-3774000,17620000,-65000,12574000,-22000,15599000,-3173000,13632000,7641000,15546000,-365000,13559000,3734000,19869000,1123000,17449000,6674000,18092000,1852000,17690000,6536000,25010000,978000,20774000,9651000,31429000,1931000,19176000
IncomeFinanceIncome,233000,89000,213000,293000,434000,64000,191000,2134000,941000,1873000,1216000,5194000,1155000,5034000,814000,-2174000,399000,111000,80000,1345000,704000,-397000,316000,102000,109000,122000,167000,2613000,2197000,-734000,824000,188000,96000,3856000,38625000,-3758000,62000,14000,89000,1299000,1472000,338000,61000,-53000,162000,399000,-77000,1276000,1092000,-1053000,1578000,-1543000,64000,20000
IncomeFinanceCosts,882000,153000,-66000,103000,49000,38000,408000,651000,758000,1108000,1035000,1160000,990000,4116000,10427000,17822000,12741000,4707000,8418000,5191000,5308000,5936000,5144000,6044000,5964000,5406000,8930000,6579000,5454000,5377000,5334000,5110000,4710000,4525000,10257000,-1542000,2538000,2695000,3623000,3953000,5351000,2526000,2756000,2623000,2110000,2665000,1291000,2337000,2423000,2200000,3210000,88000,1577000,1574000
