,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,16000,0,,22000,3000,2000,,202000,0,41000,,,,92000,64000,,,,,30000,0,0,,,2149000,1950000,,,3240000,933000,601000,,,7367000,3812000,-1918000
IncomeRevenues_yy,,,,,-81.25,,,818.18,-100.00,1622.69,,-100.00,,124.39,,,,-100.00,-100.00,,,,,-100.00,,,,,50.74,-52.12,,,-100.00,689.19,534.00,
IncomeRevenues_sy,,,,,8.86,,,13.96,14.37,9.16,,10.85,,9.90,,,,14.70,10.97,,,,,7.60,,,,,9.72,7.20,,,12.57,13.14,7.74,
IncomeRevenues_qq,,-100.00,,,-86.36,-20.67,-100.00,,-100.00,,-100.00,,,,-30.43,-100.00,,,,,-100.00,,,,,-9.29,-100.00,,,-71.19,-35.59,-100.00,,,-48.26,-150.31
IncomeRevenues_sq,,1.59,,,0.15,5.94,-13.58,,4.58,,-7.22,,,,-14.07,12.16,,,,,3.00,,,,,7.94,-6.38,,,5.31,-1.71,4.43,,,-1.39,4.50
IncomeCostOfSales,,59000,,,,,,,,,,,258000,,,,,,,,,,,,1233000,100000,,,687000,1508000,643000,1429000,2076000,562000,452000,130000
IncomeCostOfSales_yy,,,,,,-100.00,,,,,,,,,,,-100.00,,,,,,,,,,,,-44.26,1414.46,,,202.11,-62.75,-29.67,-90.92
IncomeCostOfSales_sy,,,,,,11.30,,,,,,,,,,,3.30,,,,,,,,,,,,9.02,-5.88,,,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,,-100.00,,,,,,,,,,,-100.00,,,,,,,,,,,,-91.92,-100.00,,,119.45,-57.35,122.15,45.28,-72.94,-19.47,-71.31
IncomeCostOfSales_sq,,,-13.60,,,,,,,,,,,7.06,,,,,,,,,,,,2.34,-8.21,,,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,135000,80000,,,336000,515000,133000,138000,177000,281000,188000,392000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.51,540.47,,,-47.30,-45.47,41.29,183.77
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,13.75,,,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,-40.61,-100.00,,,53.06,-74.14,3.83,28.22,58.37,-32.99,108.54
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,15.81,-7.08,,,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,-10000,-5000,-23000,-102000,-88000,-140000,-165000,-138000,-120000,-35000,-71000,-110000,-77000,-27000,-68000,-60000,-65000,-39000,-77000,14000,-29000,-23000,-37000,-45000,864000,1770000,-51000,-156000,2424000,-1089000,-175000,-2168000,-2253000,6525000,3171000,-2440000
IncomeGrossProfit_yy,,,,,-780.00,-2693.60,-617.39,-35.29,-36.36,74.94,56.97,20.29,35.83,22.86,4.23,45.44,16.00,-46.24,-12.65,123.03,54.53,42.25,51.11,-427.13,3037.63,7860.70,-36.07,-245.79,180.55,-161.54,-243.61,-1287.05,-192.96,699.09,1911.06,-12.51
IncomeGrossProfit_sy,,,,,-4.40,7.22,-21.40,31.43,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,50.00,-360.00,-343.48,13.73,-58.73,-18.13,16.36,13.04,70.83,-102.86,-54.93,30.00,64.94,-151.85,11.74,-7.76,38.95,-94.00,118.04,-312.81,22.46,-64.23,-20.72,2010.98,104.84,-102.88,-206.77,1650.47,-144.93,83.92,-1138.33,-3.91,389.56,-51.40,-176.93
IncomeGrossProfit_sq,,-74.78,57.94,-6.86,56.37,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,,9000,,,,56000,,,,,,,,,,,,25000,20000,-10000,0,42000,,,,1000,,0,,152000,2000,0,0,4000,0,6000
IncomeOtherOperatingIncome_yy,,,,,,516.67,,,,-100.00,,,,,,,,,,,,70.94,-100.00,100.00,,-96.89,,,,11469.91,,-100.00,,-97.69,-74.14,
IncomeOtherOperatingIncome_sy,,,,,,111.31,,,,-40.06,,,,,,,,,,,,-14.17,-18.78,-24.76,,1.88,,,,23.89,,5.68,,16.38,17.06,
IncomeOtherOperatingIncome_qq,,,-100.00,,,,-100.00,,,,,,,,,,,,-19.52,-151.36,100.00,,-100.00,,,,-100.00,,-100.00,,-98.87,-100.00,,,-87.35,1264.27
IncomeOtherOperatingIncome_sq,,,-44.82,,,,-76.91,,,,,,,,,,,,-23.98,-0.62,-15.66,,-29.68,,,,-5.62,,4.00,,-35.95,14.42,,,-26.84,-7.14
IncomeOtherOperatingCosts,,84000,,,,1000,,,,,,,1000,,,0,0,27000,,,,205000,,,21000,25000,9000,9000,4000,18000,6000,6000,4000,149000,2000,17000
IncomeOtherOperatingCosts_yy,,,,,,-99.06,,,,-100.00,,,,,,,-53.00,,,-100.00,-100.00,663.87,,,,-87.89,,,-80.15,-27.36,-39.10,-35.81,-8.69,726.54,-65.14,189.53
IncomeOtherOperatingCosts_sy,,,,,,-38.36,,,,-9.84,,,,,,,11.78,,,-14.24,6.16,-1.84,,,,-9.79,,,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,,-100.00,,,,-100.00,,,,,,,-100.00,,,1466.67,5598.09,-100.00,,,,-100.00,,,17.40,-63.22,1.43,-54.68,329.68,-69.17,6.90,-35.53,3789.54,-98.70,787.90
IncomeOtherOperatingCosts_sq,,,-78.34,,,,-67.61,,,,,,,125.07,,,-13.28,217.00,-59.72,,,,-72.53,,,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,,-91000,,,,-298000,,,,,,,-259000,,,-128000,-65000,-42000,-57000,4000,-29000,-185000,-37000,-45000,843000,1746000,-60000,-165000,2420000,-955000,-179000,-2174000,-2257000,6379000,3170000,-2451000
IncomeEBIT_yy,,,,,,-227.44,,,,100.00,,,,,,,74.85,,,102.81,54.86,-345.62,33.95,-1355.83,2965.89,1043.39,-60.40,-265.89,187.06,-154.68,-197.87,-1214.42,-193.29,768.12,1871.49,-12.71
IncomeEBIT_sy,,,,,,56.43,,,,46.31,,,,,,,11.81,,,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,,100.00,,,,100.00,,,,,,,100.00,,,49.12,36.24,-36.50,106.35,-916.94,-529.40,79.77,-20.72,1964.32,107.19,-103.44,-175.38,1562.65,-139.46,81.26,-1115.15,-3.81,382.64,-50.31,-177.31
IncomeEBIT_sq,,,55.91,,,,-6.14,,,,,,,-31.26,,,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,,,,,,1595000,,,,,,,277000,,,0,0,0,0,20000,2000,-20000,,0,6000,12000,5000,3000,6000,8000,5000,3000,5000,92000,117000,115000
IncomeFinanceIncome_yy,,,,,,,,,,-100.00,,,,,,,-99.95,,,13353.33,1460.00,-14412.23,-100.00,-100.00,149.91,158.75,,,8.52,-27.39,-6.67,-10.03,-17.79,982.31,2450.55,3576.43
IncomeFinanceIncome_sy,,,,,,,,,,101.02,,,,,,,-64.12,,,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,,,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,,,,,,-100.00,,,,,,,-100.00,,,200.00,-7.33,-28.06,19780.00,-88.23,-950.17,100.00,,,99.86,-57.82,-29.41,82.36,33.74,-45.79,-31.95,66.62,1660.71,27.76,-1.91
