,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,11479000,10185000,9526000,8398000,8505000,14683000,21061000,21276000,22342000,26133000,22393000,13255000,15288000,10836000,14236000,12852000,8159000,9772000,473000,437000,187000,793000,508000,763000,405000,673000,167000,517000,1061000,1561000,1648000,20000
IncomeCostOfSales,4435000,4480000,4056000,5466000,10216000,10876000,10965000,11059000,11207000,6165000,12942000,16499000,7981000,8675000,11796000,8974000,5756000,6973000,1881000,1360000,1522000,1722000,1763000,2309000,2016000,2068000,1852000,1126000,1969000,1841000,1582000,1736000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,439000,461000,510000,406000,623000,888000,521000,705000,569000,936000,602000,469000,1606000,430000,823000,489000,710000,1047000,119000,93000,105000,101000,120000,286000,279000,271000,128000,1148000,659000,648000,601000,537000
IncomeGrossProfit,6605000,5244000,4960000,2526000,-2334000,2919000,9575000,9512000,10566000,19032000,8849000,-3713000,5701000,1731000,1617000,3389000,1693000,1752000,-1527000,-1016000,-1440000,-1030000,-1375000,-1832000,-1890000,-1666000,-1813000,-1757000,-1567000,-928000,-535000,-2253000
IncomeOtherOperatingIncome,-11521000,1236000,34000,20000,39000,89000,35000,37000,34000,29000,105000,-37000,0,37000,257000,-18000,-25000,160000,7000,1000,18000,9000,-1000,3375000,-190000,-467000,76000,2350000,678000,112000,14000,53000
IncomeOtherOperatingCosts,-8913000,31000,185000,921000,-6221000,-3117000,1041000,6854000,3277000,8826000,6192000,-6171000,47000,20000,82000,9000,17000,114000,12000,19000,65000,44000,2000,117000,15000,36000,1426000,2090000,58000,40000,3997000,6449000
IncomeEBIT,4809000,1625000,3926000,6125000,8569000,2695000,7323000,10235000,2762000,2421000,5654000,1748000,1792000,3362000,1651000,1798000,-1532000,-1034000,-1487000,-1065000,-1378000,1545000,-2080000,-2250000,-1752000,557000,-2315000,-2906000,-579000,-2240000,0,8000
IncomeFinanceIncome,1000,2000,129000,49000,260000,207000,142000,132000,126000,549000,-98000,-133000,149000,243000,99000,-180000,2000,0,3000,0,126000,3466000,384000,868000,605000,240000,30000,525000,15000,2000,108000,200000
IncomeFinanceCosts,158000,548000,565000,690000,1601000,1759000,2113000,1979000,2133000,2025000,1893000,1913000,1839000,2006000,1566000,1510000,21000,14000,51000,16000,348000,-239000,105000,602000,8000,15000,129000,155000,167000,187000,,
