,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,Price
06N,31689000.0,15145000.0,,1456000.0,-1456000.0,151000.0,163000.0,-1468000.0,891000.0,68000.0,-10000.0,2531000.0,,2531000.0,2447000.0,2432000.0,,78922000.0,0.0,3577000.0,6954000.0,,54536000.0,5269000.0,3352000.0,587000.0,,,76635000.0,55392000.0,13922000.0,248753000.0,0.0,10116000.0,,536000.0,,,57858000.0,5879000.0,33994000.0,,,894000.0,,26116000.0,,,,,535000.0,2682000.0,-3632000.0,19728000.0,-875000.0,,,-249000.0,1.4359523809523809
08N,17197000.0,,,,15362000.0,775000.0,2504000.0,13633000.0,,5738000.0,,7031000.0,,7031000.0,,4834000.0,3179000.0,831372000.0,1597000.0,15845000.0,2420000.0,911000.0,252087000.0,25366000.0,640000.0,,9590000.0,,,93657000.0,12584000.0,,21439000.0,115000.0,3586000.0,,,,99911000.0,36567000.0,2183000.0,,,,1816000.0,1084576000.0,,,,,,,9666000.0,23290000.0,4637000.0,,,-7033000.0,1.8324761904761904
11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAT,7527000.0,3526000.0,462000.0,2552000.0,2851000.0,853000.0,-1110000.0,-3000000.0,624000.0,1083000.0,39000.0,17922000.0,,17922000.0,,-353000.0,-353000.0,269768000.0,53000.0,25000.0,,,81888000.0,63520000.0,6932000.0,310000.0,98000.0,25000.0,,47608000.0,15212000.0,,261228000.0,135000.0,1093000.0,,,,,10679000.0,2337000.0,30228000.0,,,858000.0,,187377000.0,,,,-116000.0,237000.0,744000.0,367000.0,1506000.0,150000.0,,215000.0,5.447476190476191
ABA,16002000.0,,,,-608000.0,1583000.0,-515000.0,-480000.0,457000.0,,1940000.0,,1557000.0,,217000.0,217000.0,,57485000.0,119000.0,23095000.0,,452000.0,56722000.0,19167000.0,8343000.0,,5812000.0,,108830000.0,45843000.0,5752000.0,,34671000.0,,1993000.0,2168000.0,,,2584000.0,29705000.0,1908000.0,37984000.0,,,295000.0,85122000.0,,,,,3180000.0,832000.0,7359000.0,-529000.0,-528000.0,,,5539000.0,4.7015
ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABE,658632000.0,604680000.0,20456000.0,7739000.0,20842000.0,2495000.0,7220000.0,33993000.0,16964000.0,-13185000.0,,11587000.0,,7572000.0,,9455000.0,13051000.0,166674000.0,66417000.0,183231000.0,,217000.0,305502000.0,319083000.0,532155000.0,29000.0,46285000.0,3631000.0,,261418000.0,16188000.0,,349030000.0,,29336000.0,,,,5923000.0,756651000.0,492765000.0,217952000.0,,,47938000.0,,1920490000.0,,,,14890000.0,1939000.0,-1471000.0,1287000.0,-78143000.0,,,-35198000.0,6.968142857142857
ABM,85749000.0,79317000.0,201000.0,4913000.0,1318000.0,656000.0,-912000.0,2886000.0,2535000.0,3618000.0,,3484000.0,,3484000.0,,7062000.0,6516000.0,92105000.0,9685000.0,51266000.0,110000.0,5000.0,66690000.0,37385000.0,105071000.0,1294000.0,13661000.0,4165000.0,177425000.0,77897000.0,3412000.0,,78934000.0,279000.0,24748000.0,,,,7036000.0,206703000.0,93845000.0,125919000.0,,,42018000.0,1074000.0,93259000.0,,,,-5796000.0,2099000.0,-5177000.0,-781000.0,4366000.0,-270000.0,125000.0,3658000.0,8.611365079365079
