,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,QuoteCurrent,ShareAmountCurrent,WKCurrent,CWKCurrent,WKGrahamCurrent,CWKGrahamCurrent,PCurrent,CPCurrent,ZCurrent,CZCurrent,ZOCurrent,CZOCurrent,EVCurrent,EVPCurrent,EVEBITCurrent,EVEBITDACurrent,DTAR,CG,LDER,PZAT,PELDR,TSF,ZKO,OSF,NetDebt,NetDebtEBITDA,DebtFin,DebtFinEBITDA,SP1,SP2,CAR,QR,CR,PP,RCLR,KP,PKKO,RN,CRN,CPZ,RZ,CRZ,RMO,RMT,RM,COP,CSP,Price
06N,16452000.0,10024000.0,393000.0,726000.0,-726000.0,9000.0,30000.0,-747000.0,1011000.0,255000.0,2000.0,-670000.0,,-670000.0,1347000.0,-1576000.0,-551000.0,85371000.0,0.0,3283000.0,1584000.0,341000.0,23043000.0,0.0,3314000.0,12160000.0,71000.0,237000.0,76635000.0,55392000.0,13922000.0,248579000.0,0.0,49092000.0,3219000.0,584000.0,,,2264000.0,687000.0,12327000.0,,,20309000.0,15000.0,26530000.0,,,,,7095000.0,3413000.0,-14108000.0,2225000.0,-5970000.0,100000.0,25000.0,410000.0,200.0,8673715000.0,5660.0,40.0,-2360.0,170.0,22030.0,10.0,30.0,7960.0,660.0,300.0,4280.0,190.0,6520.0,2190.0,500.0,1500.0,630.0,1230.0,840.0,540.0,1390.0,710.0,65471000000.0,3870.0,35418000000.0,2090.0,510.0,840.0,70.0,1230.0,1250.0,190.0,1040.0,70.0,70.0,3400.0,107000.0,113000.0,232320.0,2000.0,2960.0,2330.0,1300.0,109000.0,-4000.0,1.2203383838383839
08N,-120419000.0,,,,-122200000.0,538000.0,-1250000.0,-120412000.0,,4044000.0,,6984000.0,,6984000.0,,5401000.0,3555000.0,839821000.0,1597000.0,15851000.0,2420000.0,15458000.0,256347000.0,25747000.0,2392000.0,13000.0,9590000.0,,122178000.0,404000000.0,12584000.0,,21449000.0,138000.0,4038000.0,,12590000.0,,118287000.0,35199000.0,631000.0,1762000.0,,,1597000.0,1279721000.0,85464000.0,,,,1011000.0,,4082000.0,0.0,-127331000.0,8000.0,,19698000.0,900.0,125843667000.0,2920.0,310.0,-2660.0,,-550.0,1180.0,-430.0,4230.0,-630.0,1390.0,2740.0,1180.0,-4380.0,-4380.0,530.0,1640.0,1550.0,1470.0,1080.0,830.0,2260.0,960.0,346984000000.0,-4400.0,232175000000.0,-2940.0,430.0,1080.0,7830.0,8210.0,8210.0,7830.0,390.0,210.0,,-2430.0,-150000.0,-174000.0,,,-360.0,-70.0,-60.0,,,2.5213513708513706
11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4FM,4455000.0,2454000.0,146000.0,485000.0,1370000.0,53000.0,243000.0,1180000.0,,-52000.0,,1387000.0,,1387000.0,,1047000.0,1047000.0,11315000.0,14001000.0,860000.0,382000.0,,1010000.0,16509000.0,,10355000.0,,3134000.0,,38045000.0,35974000.0,4064000.0,-866000.0,26081000.0,,455000.0,,10000.0,,11000.0,720000.0,14693000.0,,,,1048000.0,,33835000.0,,,1495000.0,1154000.0,-658000.0,292000.0,-719000.0,0.0,4754000.0,1880000.0,14000.0,3263500000.0,3920.0,3570.0,450.0,31140.0,4150.0,3380.0,960.0,14560.0,1170.0,11950.0,14920.0,3600.0,12730.0,9780.0,340.0,510.0,210.0,310.0,1370.0,800.0,820.0,920.0,5637000000.0,1130.0,2993000000.0,600.0,1130.0,1370.0,180.0,2090.0,2090.0,220.0,1050.0,220.0,680.0,3410.0,107000.0,102000.0,11954000.0,0.0,1700.0,1200.0,700.0,,,
AAT,4171000.0,2376000.0,258000.0,2703000.0,491000.0,-4601000.0,610000.0,4782000.0,422000.0,3487000.0,8075000.0,-353000.0,,-353000.0,0.0,5478000.0,5478000.0,285534000.0,43000.0,10000.0,0.0,625000.0,24725000.0,6059000.0,5018000.0,301000.0,5000.0,25000.0,27798000.0,194744000.0,15212000.0,0.0,261227000.0,135000.0,1002000.0,,,,6286000.0,9570000.0,2448000.0,6341000.0,,,452000.0,0.0,187377000.0,,,,959000.0,862000.0,-1886000.0,-26000.0,-2504000.0,0.0,761000.0,-7000.0,1870.0,15212345000.0,12430.0,150.0,70.0,26710.0,1620.0,1150.0,-40.0,410.0,120.0,15540.0,7060.0,4350.0,58660.0,30350.0,340.0,520.0,470.0,1880.0,1480.0,970.0,990.0,1000.0,95317000000.0,26950.0,78894000000.0,22310.0,1010.0,1480.0,110.0,3470.0,9750.0,300.0,3170.0,310.0,7940.0,760.0,479000.0,149000.0,200.0,1788000.0,240.0,130.0,80.0,2267000.0,2118000.0,7.684569985569985
ABA,16767000.0,-11429000.0,,,-1621000.0,165000.0,231000.0,7409000.0,-285000.0,6000.0,2015000.0,0.0,327000.0,3684000.0,489000.0,489000.0,-160000.0,54251000.0,121000.0,20960000.0,177000.0,495000.0,54285000.0,18826000.0,7246000.0,,9682000.0,59653000.0,108830000.0,45843000.0,5752000.0,,34671000.0,42000.0,105704000.0,,70277000.0,,2567000.0,36080000.0,2237000.0,39178000.0,,,22682000.0,73646000.0,637458000.0,,,,5619000.0,827000.0,-325000.0,37000.0,-9211000.0,56000.0,,-643000.0,4440.0,5752380000.0,7810.0,570.0,-2210.0,4890.0,10980.0,400.0,-580.0,44970.0,-250.0,21410.0,11330.0,1030.0,-45290.0,42230.0,540.0,1190.0,410.0,2800.0,1120.0,650.0,1310.0,1020.0,49284000000.0,31940.0,39625000000.0,25680.0,780.0,1100.0,120.0,500.0,1170.0,120.0,410.0,60.0,-1980.0,3300.0,111000.0,217000.0,1450.0,252000.0,1290.0,1130.0,600.0,370000.0,207000.0,4.630261183261183
ABC,748017000.0,693843000.0,30482000.0,6117000.0,17575000.0,331000.0,-4639000.0,22545000.0,94000.0,6612000.0,,16027000.0,,16027000.0,,18740000.0,17785000.0,56503000.0,42285000.0,6406000.0,,,27144000.0,840426000.0,396893000.0,478277000.0,5000.0,36860000.0,3610000.0,,126171000.0,121472000.0,0.0,24757000.0,,20809000.0,,20000000.0,,,706000.0,591298000.0,500229000.0,131460000.0,,,14892000.0,,1068337000.0,,-42720000.0,815000.0,-1207000.0,1301000.0,28069000.0,0.0,,-511000.0,1020.0,99472000000.0,1270.0,800.0,700.0,1460.0,23860.0,40.0,260.0,4000.0,540.0,1880.0,2250.0,90.0,4140.0,3900.0,780.0,3630.0,350.0,130.0,3010.0,290.0,870.0,1940.0,451576000000.0,7850.0,122608000000.0,2130.0,2230.0,3010.0,10.0,760.0,1270.0,20.0,740.0,190.0,50.0,7750.0,47000.0,64000.0,10200.0,36000.0,4500.0,42010.0,4059.0,83000.0,19000.0,
ABE,753548000.0,1092807000.0,23915000.0,10519000.0,27318000.0,2704000.0,10507000.0,13921000.0,3754000.0,5246000.0,,7572000.0,,16200000.0,,21194000.0,10631000.0,169877000.0,64531000.0,190914000.0,12000.0,225000.0,592905000.0,416435000.0,704829000.0,48000.0,53750000.0,3631000.0,235580000.0,283495000.0,16188000.0,-838000.0,359270000.0,112000.0,9268000.0,9109000.0,261210000.0,,5281000.0,701660000.0,553018000.0,163721000.0,,,40297000.0,,1911109000.0,,,,-51905000.0,2184000.0,-423000.0,13820000.0,63503000.0,39000.0,0.0,28068000.0,19700.0,16295002000.0,17400.0,1130.0,7730.0,2550.0,176870.0,110.0,2160.0,9140.0,3580.0,5510.0,27240.0,150.0,7620.0,6700.0,640.0,1780.0,20.0,16200.0,1830.0,370.0,800.0,1440.0,485897000000.0,7330.0,122901000000.0,1850.0,1800.0,1830.0,40.0,680.0,1260.0,40.0,640.0,170.0,50.0,8690.0,42000.0,63000.0,10600.0,34000.0,4670.0,18370.0,3720.0,76000.0,13000.0,12.371682539682539
ABM,122899000.0,108715000.0,411000.0,5798000.0,7975000.0,4020000.0,5717000.0,6278000.0,-5207000.0,-2413000.0,,970000.0,,970000.0,0.0,-10673000.0,-9006000.0,136109000.0,9186000.0,48659000.0,111000.0,5000.0,103038000.0,65380000.0,116660000.0,6000.0,20128000.0,3213000.0,286751000.0,83823000.0,3412000.0,,78910000.0,228000.0,20631000.0,,2328000.0,,14197000.0,229227000.0,89632000.0,129294000.0,,923000.0,44610000.0,1035000.0,77251000.0,,,,26104000.0,2145000.0,3036000.0,-663000.0,18244000.0,0.0,0.0,-3343000.0,10050.0,793450000.0,97050.0,100.0,-7840.0,590.0,475350.0,20.0,12180.0,830.0,16780.0,600.0,71590.0,150.0,4270.0,2590.0,670.0,2230.0,500.0,1660.0,1350.0,450.0,1040.0,900.0,162720000000.0,7430.0,48831000000.0,2230.0,870.0,1300.0,60.0,720.0,1240.0,70.0,660.0,130.0,100.0,4080.0,90000.0,130000.0,6740.0,54000.0,1980.0,4560.0,1380.0,144000.0,14000.0,8.807911255411257
