,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow
06N,-259000.0,94000.0,,21199000.0,152000.0,19954000.0,1397000.0,2479000.0,2503000.0,,-143000.0,,-143000.0,,-1816000.0,-1632000.0,,19314000.0,106737000.0,,65000.0,0.0,38192000.0,6727000.0,1019000.0,3015000.0,,,207022000.0,1518000.0,,7348000.0,0.0,2000000.0,,,,,33567000.0,221000.0,280000.0,,,150000.0,0.0,,,,,,-295000.0,524000.0,-9921000.0,1959000.0,-55000.0,-330000.0,38482000.0,
08N,952000.0,,,,287000.0,211000.0,307000.0,191000.0,,-123000.0,,3371000.0,,3371000.0,,2797000.0,2211000.0,31469000.0,9000.0,,398000.0,927000.0,40801000.0,776000.0,,74687000.0,,,1128075000.0,64824000.0,4279000.0,,23012000.0,58291000.0,,354677000.0,,,2901000.0,9809000.0,215000.0,,,9578000.0,2447000.0,70833000.0,,,,,,,23055000.0,9000.0,2000.0,,-2985000.0,
11B,1453000.0,,,,-401000.0,41000.0,0.0,4831000.0,90000.0,8000.0,,1699000.0,,1699000.0,,1335000.0,1335000.0,518000.0,467000.0,63000.0,52000.0,,182000.0,20269000.0,,3024000.0,2000000.0,28176000.0,298000.0,1342000.0,1221000.0,,,,,,,,,,,76000.0,,-1000.0,,,169000.0,415000.0,32818000.0,,-377000.0,570000.0,-372000.0,162000.0,-115000.0,,,952000.0
1AT,25919000.0,,,,11389000.0,,,,,,,7184000.0,,7184000.0,,7464000.0,7698000.0,155214000.0,63141000.0,,241000.0,,1871000.0,1039639000.0,971182000.0,26825000.0,,265845000.0,,,1847850000.0,783530000.0,,,-2558000.0,205945000.0,4274000.0,122539000.0,,,34090000.0,442988000.0,84759000.0,254118000.0,,,102449000.0,2518000.0,1513553000.0,,27980000.0,,152000.0,,-14329000.0,,,21812000.0
4FM,6927000.0,4820000.0,208000.0,699000.0,1200000.0,25000.0,8000.0,1217000.0,-15000.0,,,2011000.0,,2011000.0,,1626000.0,1626000.0,22174000.0,15723000.0,6329000.0,,501000.0,,,9753000.0,8520000.0,1621000.0,484000.0,,33483000.0,28556000.0,4119000.0,-866000.0,28609000.0,796000.0,,,,,663000.0,5693000.0,4129000.0,378000.0,,11000.0,8611000.0,39731000.0,,,,174000.0,877000.0,-1281000.0,1291000.0,0.0,,,-1081000.0
AAT,4181000.0,1849000.0,,,-88000.0,4000.0,1616000.0,-1711000.0,179000.0,34000.0,25836000.0,,25836000.0,,5995000.0,5995000.0,,187120000.0,,,6820000.0,9645000.0,51545000.0,,1664000.0,,697000.0,,291104000.0,176713000.0,15212000.0,,174292000.0,3746000.0,,66571000.0,,,21871000.0,38623000.0,1005000.0,3671000.0,,,129000.0,289838000.0,,,,,-499000.0,94000.0,5258000.0,-465000.0,1394000.0,,,10000.0
ABA,7554000.0,,,,138000.0,305000.0,1602000.0,143000.0,516000.0,,-2000.0,,-476000.0,,-382000.0,-382000.0,,25883000.0,113753000.0,,,2370000.0,21068000.0,6527000.0,204422000.0,2011000.0,870000.0,,44437000.0,40020000.0,28068000.0,,,12392000.0,,6096000.0,,,776000.0,119266000.0,,,,2279000.0,951000.0,0.0,,,,,73000.0,202000.0,5243000.0,3585000.0,32302000.0,,-1096000.0,
ABC,1212195000.0,1158153000.0,28072000.0,8368000.0,17602000.0,1551000.0,247000.0,18906000.0,6000.0,2311000.0,,16601000.0,,16601000.0,,1985000.0,1985000.0,74113000.0,45786000.0,5092000.0,,,21874000.0,1144073000.0,,145000.0,9230000.0,3460000.0,,843495000.0,322193000.0,125267000.0,-3330000.0,40299000.0,,1413000.0,,505000.0,,,1095000.0,938996000.0,,,,10506000.0,,909333000.0,,,20937000.0,584000.0,1525000.0,671000.0,-18232000.0,0.0,,-6753000.0
ABE,1517152000.0,1436835000.0,36383000.0,6579000.0,36057000.0,935000.0,4578000.0,21014000.0,1009000.0,4885000.0,,34607000.0,,16354000.0,,12832000.0,25790000.0,270924000.0,67961000.0,,1000.0,4702000.0,1131663000.0,860883000.0,722264000.0,7838000.0,2236000.0,,1394991000.0,476602000.0,16188000.0,,0.0,5970000.0,,,,,5067000.0,1037581000.0,1040750000.0,,,77000.0,,877135000.0,,,,,86914000.0,2038000.0,-28124000.0,14705000.0,-25709000.0,,,43351000.0
ABM,34116000.0,29907000.0,255000.0,3345000.0,609000.0,10138000.0,3966000.0,6781000.0,347000.0,691000.0,,-921000.0,,-921000.0,-739000.0,3179000.0,3172000.0,53275000.0,7823000.0,29291000.0,3885000.0,8708000.0,144690000.0,18813000.0,35875000.0,,2096000.0,,160225000.0,-171227000.0,3412000.0,,78761000.0,10405000.0,,32102000.0,,,19878000.0,248082000.0,74482000.0,,,11289000.0,5095000.0,253919000.0,,,,,1502000.0,1607000.0,350000.0,13000.0,-3257000.0,,,3309000.0
