,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000,323000
ShareAmountCurrent,1870761000,1911699000,1911699000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2217199000,2287199000,2287199000,2287199000,2287199000,2287199000
WKCurrent,1370,1700,1680,2770,3120,3140,3300,3160,3570,3330,3130,3040,7680,9700,11110,11990,12930,15000,15760,16400,19000,18520,18830,18470,20210,19780,32070
CWKCurrent,235950,189470,191940,116690,103580,102730,97940,102200,90400,96880,103360,106250,42070,33290,29060,26950,24970,21530,20500,19700,17000,17440,17150,17490,15980,16329,10070
WKGrahamCurrent,1320,1750,1730,2820,3080,3110,3040,2930,3310,3090,2750,2610,4700,6360,10450,8740,9750,11710,12390,12530,14330,13930,13800,12000,12700,11770,22840
CWKGrahamCurrent,244230,184540,186830,114710,105030,103960,106170,110360,97660,104440,117330,123880,68700,50820,30900,36960,33140,27590,26070,25770,22550,23190,23410,26910,25430,27450,14140
PCurrent,1630,2029,1820,1640,2160,2180,2260,2440,2570,2400,2500,1840,7130,9500,11920,13590,10450,11020,10470,11170,12180,10270,10250,9160,8390,8100,24570
CPCurrent,197810,159160,177040,197360,149340,148260,142670,132270,125450,134500,129169,175130,45330,33990,27090,23780,30910,29320,30840,28920,26510,31450,31520,35280,38500,39880,13140
ZCurrent,690,910,690,480,610,460,630,400,450,190,-170,-130,4140,6280,8200,9000,5220,5390,4370,4270,5830,3290,3160,2210,1560,1590,12270
CZCurrent,467400,356550,469990,677660,532580,707050,513480,811320,710210,1702070,,,77970,51420,39390,35910,61920,59970,73920,75630,55390,98270,102370,146250,207640,203420,26330
ZOCurrent,780,760,760,550,810,840,810,490,630,360,180,70,5050,7470,9800,10620,6210,6530,5220,5510,6370,4040,4250,2980,3290,2780,15210
CZOCurrent,414020,423080,423080,591620,398800,385910,398800,654170,513809,899110,1824550,4422240,63940,43220,32950,30420,52040,49430,61920,58600,50670,80040,75970,108350,98180,116200,21240
EVCurrent,322310,323000,323000,321230,321440,321180,321280,321370,321310,321490,322080,322530,319500,316390,315650,314360,312640,311770,311910,310760,309870,309830,311430,311020,310680,311560,308900
EVPCurrent,197380,159160,177040,196280,148610,147430,141910,131600,124800,133880,128800,174870,44840,33290,26470,23140,29920,28300,29780,27830,25430,30170,30390,33970,37040,38470,12570
EVEBITCurrent,413130,423080,423080,588380,396870,383740,396680,650860,511130,894920,1819320,4415780,63250,42340,32200,29610,50370,47710,59800,56380,48610,76770,73250,104320,94430,112090,20310
EVEBITDACurrent,397550,407130,407130,561840,372330,360730,372150,587350,448150,718280,1213650,334160,52270,35770,27620,26700,42710,40720,48480,47090,41130,60830,60650,80830,76910,89210,19120
DTAR,140,20,20,10,60,60,60,60,90,90,110,130,210,220,120,70,130,90,70,60,70,20,40,50,50,30,110
CG,170,20,20,20,60,60,60,60,100,90,120,150,270,290,130,80,140,100,70,70,70,30,50,50,50,40,120
LDER,,,,,,,,,,,,,70,30,,30,20,20,20,20,10,10,10,20,20,20,10
PZAT,,,,,,,,,,,,,90,170,,120,770,1070,1040,1210,1760,1850,1800,950,1070,1000,940
PELDR,,,,,,,,,,,,,2810,3200,,3870,4280,4750,4850,4360,4520,3870,3840,2950,2760,2530,3520
TSF,,,,,,,,,,,,,840,800,,960,890,920,950,950,930,970,970,970,970,980,900
ZKO,150,20,20,10,60,60,60,60,100,90,120,150,310,300,130,100,160,120,90,80,90,30,60,80,80,60,150
OSF,4320,1420,1440,1880,4230,5070,770,870,1310,1260,1020,1060,790,880,2100,350,650,540,400,350,400,130,220,220,210,140,510
NetDebt,-874180000,-1447000000,74000000,-3833000000,-3043440000,-3595680000,-3387675000,-3179797000,-2950597000,-2653889000,-1209993000,-22742000,-3184240000,-8475601000,-13000159000,-17122149000,-18829656000,-21410259000,-22036199000,-24666204000,-25977740000,-28130160000,-26482349000,-25176588000,-25749311000,-24553830000,-39290736000
NetDebtEBITDA,-580,-950,50,-3020,-1590,-1820,-1770,-2620,-1860,-2670,-2060,-10,-240,-430,-510,-660,-1160,-1260,-1540,-1690,-1560,-2490,-2250,-2860,-2790,-3070,-1060
DebtFin,-1299400000,,,-3926000000,-3466520000,-4034734000,-3816386000,-3623949000,-3740967000,-3340598000,-2050713000,-1046363000,-7768382000,-14652362000,-16290230000,-19159342000,-22971403000,-24891656000,-24598320000,-27127892000,-29113971000,-29193570000,-26459246000,-27411479000,-28176332000,-26157521000,-32247613000
DebtFinEBITDA,-860,,,-3100,-1810,-2040,-1990,-2990,-2350,-3370,-3490,-490,-570,-750,-640,-730,-1420,-1470,-1720,-1850,-1740,-2590,-2250,-3110,-3050,-3270,-870
SP1,29480,63900,65650,127850,72440,84650,12890,13520,13440,13820,8400,7030,2580,2900,16760,3690,4059,4560,4680,4240,4440,3830,3740,2860,2690,2470,3480
SP2,29480,63900,65650,127850,72440,84650,12890,13520,13440,13820,8400,7030,2750,2980,16760,3820,4140,4630,4760,4310,4490,3870,3780,2910,2740,2510,3510
CAR,3060,,,42220,8210,9190,8900,8160,4730,4860,2440,1020,2230,2610,4900,16900,6430,8550,12470,14340,10810,47150,17260,19800,16930,31110,3940
QR,3930,45030,45660,68130,10650,9690,9780,8710,5280,4860,2550,1190,4200,3320,5770,18520,6920,9820,14880,15760,12830,51590,21430,21060,18630,33380,7440
CR,6820,45030,45660,68130,17140,16690,16730,15610,10280,10990,8260,6650,4310,3620,7970,18890,7210,10110,15220,15990,12960,51590,21880,21440,18910,33920,7470
PP,3060,20040,,42220,8210,9190,8900,8160,4730,4860,2440,1020,2230,2610,4910,16900,6430,8550,12470,14340,10810,47150,18570,19800,16930,31110,5890
RCLR,1040,,3120,5040,2880,890,1310,900,1140,570,640,780,2080,1000,1430,1970,760,1460,2670,1600,2029,4180,3080,1500,1810,2460,1550
KP,830,960,960,980,930,930,870,870,840,850,790,740,530,530,830,710,680,720,750,730,710,730,710,640,610,590,640
PKKO,-43280,-58530,-57810,-109200,-57610,-58200,-56990,-54830,-37430,-35010,-31160,-2920,-4900,-4820,-6420,-7920,-8980,-10660,-10390,-11760,-12540,-13360,-15840,-14280,-17390,-16980,-24490
RN,6980,8860,9460,9520,7510,8370,7610,8430,10130,9450,9960,6230,7060,5960,5760,6080,6060,7000,6410,6490,6000,5570,5940,5650,6200,6250,11350
CRN,52000,41000,39000,38000,49000,44000,48000,43000,36000,39000,37000,59000,52000,61000,63000,60000,60000,52000,57000,56000,61000,65000,61000,65000,59000,58000,32000
CPZ,20000,15000,17000,17000,13000,19000,25000,29000,34000,40000,45000,75000,35000,47000,46000,41000,54000,41000,38000,38000,32000,29000,26000,27000,25000,27000,20000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,1570,1560,1190,910,940,800,720,760,770,720,750,560,1740,1720,1540,1450,990,950,870,860,870,720,720,640,610,600,1490
RMT,33860,47620,51310,61800,78790,70310,25320,17150,12990,9640,8990,5620,7090,5330,6430,5310,4000,4240,3200,3260,3290,2510,2330,1800,1420,1200,3150
RM,1500,1510,1160,890,930,790,700,720,730,670,690,510,1400,1300,1240,1140,790,770,680,680,680,550,540,470,420,400,1010
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,
