,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300
ShareAmountCurrent,32214610000,32214610000,32214610000,32214610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000,38714610000
WKCurrent,7350,8280,9310,13550,15330,15630,16090,16650,16610,17710,17780,18810,18440,19530,20530,22000,20240
CWKCurrent,4120,3660,3250,2240,1980,1940,1880,1820,1820,1710,1700,1610,1640,1550,1480,1380,1500
WKGrahamCurrent,2550,3440,4410,8510,11090,11380,11400,11980,11910,13030,13120,14160,13860,15300,16370,17920,16250
CWKGrahamCurrent,11880,8810,6870,3560,2730,2660,2660,2530,2540,2330,2310,2140,2190,1980,1850,1690,1860
PCurrent,5010,5400,7270,17900,11070,6640,5860,7580,9640,12790,13090,15180,17350,18170,22360,25000,28010
CPCurrent,6050,5610,4170,1690,2740,4560,5170,4000,3140,2370,2310,2000,1750,1670,1350,1210,1080
ZCurrent,710,920,1030,4180,2670,990,1220,1560,1920,2690,2310,2770,3510,3500,4420,4870,5340
CZCurrent,42410,32759,29360,7250,11360,30660,24810,19460,15770,11270,13120,10930,8620,8650,6850,6220,5680
ZOCurrent,1090,1190,1300,5180,3370,1300,1050,1470,1910,2820,2960,3560,4540,4630,5730,6330,6990
CZOCurrent,27840,25400,23310,5840,8990,23320,28780,20670,15900,10740,10220,8510,6680,6540,5280,4790,4330
EVCurrent,34570,36530,35120,35520,33240,34560,35450,36320,36770,37490,38660,37480,39430,37380,35830,35460,35160
EVPCurrent,6900,6770,4830,1980,3000,5210,6050,4790,3820,2930,2950,2470,2270,2060,1600,1420,1260
EVEBITCurrent,31760,30620,27020,6850,9860,26600,33670,24780,19290,13290,13040,10520,8690,8070,6250,5600,5030
EVEBITDACurrent,31140,29910,26460,6820,9790,26110,32890,24320,19000,13140,12890,10420,8620,8010,6210,5570,5000
DTAR,500,530,610,450,420,460,490,530,550,520,550,570,590,560,560,540,590
CG,990,1150,1550,820,720,850,960,1130,1200,1090,1220,1290,1440,1260,1260,1180,1440
LDER,300,430,500,380,300,270,250,380,370,500,470,480,500,480,390,380,380
PZAT,1300,800,610,550,510,550,590,370,380,260,280,260,260,220,250,240,260
PELDR,2000,2450,2920,3900,4930,4930,4570,5250,5340,6240,6040,6410,6420,7230,7180,7700,8010
TSF,650,670,590,770,760,690,640,650,630,730,670,650,620,660,620,640,570
ZKO,740,730,770,570,500,540,580,610,630,600,620,630,660,620,610,590,640
OSF,1130,1260,1480,1590,1890,2090,2100,2320,2370,2420,2560,2730,2820,3010,3150,3280,3290
NetDebt,204375000000,300206000000,386872000000,283468000000,273367000000,358601000000,468522000000,588926000000,592451000000,564908000000,650494000000,675685000000,785348000000,738040000000,735623000000,682313000000,776001000000
NetDebtEBITDA,5710,7630,9050,1690,2080,7000,11230,10180,7910,5110,5600,4850,4440,4090,3290,2770,2850
DebtFin,137581000000,200577000000,155113000000,168160000000,113631000000,165031000000,199305000000,233211000000,250521000000,278535000000,323609000000,277873000000,353292000000,273984000000,214059000000,199690000000,188189000000
DebtFinEBITDA,3850,5100,3630,1000,870,3220,4780,4030,3340,2520,2790,2000,2000,1520,960,810,690
SP1,1530,1710,1930,2810,3790,3880,3660,3790,3790,4050,4110,4330,4280,4880,5150,5560,5130
SP2,1990,2440,2900,3890,4920,4930,4570,5240,5190,6090,6030,6390,6400,7210,7170,7680,7070
CAR,190,30,240,390,620,450,290,290,340,450,360,440,360,360,390,430,390
QR,250,70,270,470,670,520,350,450,340,460,410,510,440,410,420,560,330
CR,1930,2180,1930,3330,3430,2710,2350,2480,2310,3130,2610,2510,2310,2620,2370,2510,2110
PP,190,30,240,390,620,450,290,290,340,450,360,440,360,360,390,470,420
RCLR,70,40,40,90,60,70,60,170,50,70,50,70,80,60,40,90,80
KP,320,390,380,560,600,540,490,520,500,600,550,540,510,560,530,550,480
PKKO,1330,1790,1620,1130,2190,3250,3660,3330,2570,2370,2250,2110,1880,1900,1530,1470,1180
RN,14360,20230,20920,33790,27170,13290,9890,7810,9170,11980,12400,19340,18090,18340,22360,21940,22660
CRN,25000,18000,17000,11000,13000,27000,37000,47000,40000,30000,29000,19000,20000,20000,16000,17000,16000
CPZ,373000,402000,489000,94000,155000,375000,561000,475000,443000,343000,348000,317000,297000,308000,269000,248000,235000
RZ,420,310,350,720,450,280,210,260,300,370,350,390,410,410,490,530,590
CRZ,869000,1160000,1040000,505000,805000,1301000,1738000,1413000,1221000,994000,1029000,938000,889000,887000,751000,684000,615000
RMO,510,420,390,960,620,320,240,290,340,420,400,440,480,470,560,600,650
RMT,1040,1110,1510,3710,2750,1650,1410,1800,2240,2920,3000,3480,4000,4280,5380,6150,7050
RM,340,300,310,760,510,260,200,250,290,370,360,390,430,430,500,550,600
COP,894000,1178000,1057000,516000,818000,1328000,1775000,1460000,1261000,1024000,1058000,957000,909000,907000,767000,701000,631000
CSP,521000,776000,568000,422000,663000,953000,1214000,985000,818000,681000,710000,640000,612000,599000,498000,453000,396000
