,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
ShareAmountCurrent,5529800000,8335225000,8335225000,8335225000,8335225000,8335225000,9712345000,9712345000,9712345000,9712345000,9712345000,9712345000,9712345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000,15212345000
WKCurrent,2080,3250,4030,0,0,5870,4900,0,0,20050,19900,20250,0,12450,12070,12560,0,12430,12340,12390,0,12900,12990,13610,0,11750,11600,11550,11620,11410,11590,11620,11700,11140,10990,11100,11060,12240,12210,12180,12090,12450,12400,12250,12140,12520,12410,12390,12400,12790,12800,12000
CWKCurrent,900,570,460,,,320,380,,,90,90,90,,150,160,150,,150,150,150,,150,140,140,,160,160,160,160,160,160,160,160,170,170,170,170,150,150,150,150,150,150,150,150,150,150,150,150,150,150,160
WKGrahamCurrent,-8540,1200,2460,0,0,-190,-570,0,0,-3110,-2070,-6030,0,310,-260,-100,0,70,190,80,0,-4850,-5000,-5160,0,-4390,-3980,-3590,-3460,-2690,-2740,-2600,-2480,-1760,-1200,-240,-290,-140,-140,-120,-130,-80,-480,760,990,-220,880,-240,-90,-100,-130,-210
CWKGrahamCurrent,,1560,760,,,,,,,,,,,6090,,,,26710,9640,24630,,,,,,,,,,,,,,,,,,,,,,,,2470,1900,,2130,,,,,
PCurrent,28750,9650,9170,9260,9610,1530,1380,1470,1920,2160,2730,3140,3300,1840,1690,1710,1520,1620,1570,1480,1460,1590,1600,1620,1620,1660,1690,1450,1350,1180,1060,1190,1160,1180,1040,720,510,280,190,280,300,330,320,300,250,190,160,140,130,110,90,90
CPCurrent,70,190,200,200,190,1220,1350,1270,980,870,690,600,570,1020,1110,1090,1230,1150,1190,1270,1280,1180,1170,1150,1150,1130,1100,1290,1390,1580,1760,1570,1610,1580,1800,2600,3660,6600,9730,6670,6170,5740,5810,6340,7580,9730,11400,13050,14440,17350,21720,21230
ZCurrent,1650,1880,2580,2550,-160,1430,470,540,610,4130,4100,4750,4510,-190,-500,-390,-280,-40,250,-90,-460,580,850,1280,1780,-1070,-1360,-2029,-2210,-340,-20,70,270,-270,-600,-1030,-1150,580,700,1080,1030,210,240,60,40,60,-40,140,260,260,380,-400
CZCurrent,1130,1000,730,730,,1310,3960,3480,3050,450,460,390,410,,,,,,7610,,,3210,2190,1460,1050,,,,,,,26960,6950,,,,,3210,2660,1730,1820,9030,7690,31860,46410,31190,,13210,7130,7150,4950,
