,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
QuoteCurrent,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700
ShareAmountCurrent,10100002000,10100002000,11700002000,11700002000,15950002000,15950002000,15950002000,15950002000,15950002000,15950002000,16295002000,16295002000,16295002000,16295002000,16334002000,16334002000,16334002000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000,16187644000
WKCurrent,4280,4880,6490,6510,0,0,0,0,15070,16540,17400,17950,19170,0,20410,21500,22640,0,23600,24200,25230,25280,25980,27000,27190,27920,28660,29440,30290,30870,32110,33080,34270,35370,36100,36990,38860,39530,41000,41770,43540,44150,44410
CWKCurrent,4600,4040,3040,3020,,,,,1310,1190,1130,1100,1030,,970,920,870,,830,810,780,780,760,730,720,710,690,670,650,640,610,600,570,560,550,530,510,500,480,470,450,450,440
WKGrahamCurrent,3340,2840,4059,4040,0,0,0,0,6020,6210,7730,8300,9650,0,10220,10820,12250,0,13290,14020,15140,15270,15750,17010,17280,18020,18260,17610,16840,16379,16010,16470,17540,18850,19160,20250,21970,23170,24420,24980,27050,27690,27760
CWKGrahamCurrent,5900,6940,4850,4870,,,,,3270,3170,2550,2370,2040,,1930,1820,1610,,1480,1410,1300,1290,1250,1160,1140,1090,1080,1120,1170,1200,1230,1200,1120,1040,1030,970,900,850,810,790,730,710,710
PCurrent,77060,97360,105140,111710,118660,142200,113040,91570,141860,178040,176870,184940,197810,209760,218080,229770,246460,257800,268260,279270,292760,314600,335470,343670,343050,342660,355710,370480,397720,418970,419650,420300,437370,438260,466590,489430,502630,511780,511380,510430,523919,520950,508820
CPCurrent,260,200,190,180,170,140,170,220,140,110,110,110,100,90,90,90,80,80,70,70,70,60,60,60,60,60,60,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40
ZCurrent,410,600,810,1310,1160,1240,880,860,1390,1690,2160,2350,3050,3150,3230,3350,2980,3040,2950,2900,2600,2470,2570,2810,3080,3360,3540,3670,3940,4120,4230,4100,4070,4000,3990,4059,4220,4270,4190,4110,3990,3810,3770
CZCurrent,47970,32980,24380,15050,16970,15910,22270,22960,14150,11670,9140,8390,6470,6250,6110,5870,6620,6470,6680,6800,7580,7980,7650,7020,6390,5870,5570,5370,5010,4790,4660,4810,4840,4930,4940,4860,4660,4610,4700,4790,4940,5180,5230
ZOCurrent,540,1040,1300,1970,1760,1990,1670,1470,4230,4800,3580,3430,4280,4310,3760,4820,4670,4920,5020,4410,3910,3970,3960,4350,4670,4890,5270,5420,5650,6030,6190,6150,6210,6120,6090,6150,6440,6430,6290,6290,6030,5870,6060
