,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,9326400000,9326400000,9326400000,9326400000,9326400000,9326400000,9453150000,9453150000,9453150000,9453150000,9453150000,9581150000,9581150000,9581150000,9581150000,9581150000,9581150000,9581150000,9581150000,9654250000,9654250000,9654250000,9691305000,9691305000,9691305000,9691305000,9691305000,9717133000,9717133000,9717133000,9717133000,9717133000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,4.01,4.61,,,46.83,,5.45,5.15,5.11,43.80,8.64,7.14,8.65,7.94,5.41,3.65,4.34,4.68,5.49,6.49,6.94,6.80,6.17,7.40,-14.91,-13.02,-18.05,-17.30,6.97,8.04,18.45
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,10.34,3.27,-21.20,17.46,10.02,3.23,7.80,-11.26,8.49,4.69,7.09,-13.34,6.69,5.38,7.44,-12.67,7.70,5.82,7.30,-13.18,8.94,-16.16,9.69,-18.20,9.94,8.45,10.79,-10.33
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
