,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
QuoteCurrent,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,
ShareAmountCurrent,11015310000,11015310000,11015310000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,14918860000,21670000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,
WKCurrent_yy,,-54.47,237.20,66.91,,,13.11,,18.20,,-4.17,-7.13,-57.13,14.69,65.67,-35.63
WKCurrent_sy,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,-100.00,,4.77,18.71,-100.00,,,,,,
WKCurrent_sq,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,
CWKCurrent_yy,,119.60,-70.35,-40.07,,,-11.57,,-15.39,,4.36,7.62,133.28,-12.80,-39.65,55.33
CWKCurrent_sy,,0.15,-13.45,-5.56,,,-7.97,,-25.40,,-0.10,-3.00,4.90,-10.58,-4.27,-3.73
CWKCurrent_qq,,,,,,,,-4.53,-15.77,,,,,,,
CWKCurrent_sq,,,,,,,,-21.88,-7.44,,,,,,,
WKGrahamCurrent,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-3947.08,143.70,296.51,,,-2.94,,-26.75,,-82.58,252.24,-72.91,233.86,103.98,-34.94
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,-100.00,,16.76,-7.01,-100.00,,,,,,
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,-74.78,,,3.04,,36.46,,473.90,-71.61,269.12,-70.05,-50.97,53.66
