,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,44000000000,44000000000,44000000000,44000000000,44000000000,60380000000,57690000000,57690000000,59268946000,59908946000,59908946000,58330000000,59360000000,59360000000,59960000000,59960000000,46550000000,46550000000,46550000000,46550000000,46550000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,88.46,72.28,,,,199.26,169.75,485.54,32.66,32.21,30.68,25.11,-6.36,-51.69,-46.33,-52.53,-19.71,62.60,55.87,20.98
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,16.53,-49.81,359.85,11.27,5.04,8.95,4.18,10.90,3.82,4.30,-22.03,-42.78,15.34,-7.76,31.88,15.89,10.56,-28.41
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-46.94,-41.96,,,,-66.58,-62.93,-82.92,-24.62,-24.38,-23.48,-20.06,6.81,106.99,86.32,110.66,24.56,-38.49,-35.84,-17.34
CWKCurrent_sy,,-1.20,-22.38,,,,-19.97,-54.45,-38.88,150.14,-10.25,76.15,31.02,21.87,23.57,8.14,-0.41,4.70,-7.92,16.73,5.56
CWKCurrent_qq,,,,-14.19,99.25,-78.26,-10.12,-4.80,-8.21,-4.02,-9.83,-3.68,-4.11,28.25,74.75,-13.30,8.41,-24.17,-13.71,-9.56,39.68
