,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600
ShareAmountCurrent,10000000000,10000000000,10000000000,10000000000,12500000000,12500000000,12500000000,12500000000,12540928000,12540928000,12739116000,12739116000,12739116000,12739116000,12849349000,12849349000,12849349000,12849349000,13016015000,13236729000,13236729000,13236729000,13236729000,13469524000,13469524000,13469524000,13469524000,13693398000,13202954000,13202954000,13202954000,13202954000,13202954000,13202954000,13202954000,13202954000,13129870000,13129870000,13129870000,13129870000,13129870000
WKCurrent,3080,3730,4100,4850,5200,0,5540,5670,5870,0,6310,6500,6740,0,7320,7550,7590,8020,8189,8360,8370,8730,9030,9120,9200,9510,8840,8970,9360,9630,9880,10280,10430,10750,10870,10880,10860,11200,11340,11700,11710
CWKCurrent,3440,2840,2580,2190,2040,,1910,1870,1800,,1680,1630,1570,,1450,1400,1400,1320,1290,1270,1270,1210,1170,1160,1150,1120,1200,1180,1130,1100,1070,1030,1020,990,980,970,980,950,930,910,900
WKGrahamCurrent,1900,2480,2500,2130,3080,0,3350,3440,3570,0,3470,3640,3830,0,4160,4370,4260,4590,4590,4570,4180,4260,3970,3990,3760,4040,3380,3580,3400,3690,3990,4460,4260,4480,4480,4420,4400,4730,4420,4760,4600
CWKGrahamCurrent,5580,4280,4230,4980,3440,,3160,3080,2970,,3050,2910,2770,,2550,2430,2490,2310,2310,2320,2540,2490,2670,2660,2820,2620,3140,2960,3120,2870,2650,2380,2490,2360,2360,2400,2410,2240,2400,2230,2300
PCurrent,2880,3610,4120,4520,3620,3750,3610,3720,4019,4500,4690,4930,4960,5080,5390,5530,5920,6140,6300,6380,6370,6290,6050,5870,6170,6440,6630,6630,6900,6640,6690,6960,6920,7240,7320,7230,7380,7200,7600,7800,7800
CPCurrent,3680,2940,2570,2350,2930,2830,2930,2850,2640,2360,2260,2150,2140,2090,1970,1920,1790,1730,1680,1660,1660,1690,1750,1810,1720,1650,1600,1600,1540,1600,1580,1520,1530,1470,1450,1470,1440,1470,1390,1360,1360
ZCurrent,770,1060,890,850,490,550,560,610,670,710,760,820,910,990,930,980,1010,1040,1130,1130,1140,1090,1090,1040,1070,1050,940,930,980,930,1040,1100,1110,1140,1080,1010,960,990,1500,1550,1570
CZCurrent,13680,10040,11870,12430,21440,19280,18920,17390,15810,14990,13950,12930,11710,10760,11340,10760,10460,10200,9390,9360,9260,9700,9700,10210,9900,10080,11310,11460,10790,11350,10210,9610,9540,9310,9830,10460,11090,10720,7080,6840,6750
ZOCurrent,900,1280,1130,1050,640,690,710,760,820,860,940,1030,1130,1260,1270,1330,1380,1390,1390,1370,1380,1330,1380,1350,1390,1380,1270,1230,1290,1230,1290,1340,1300,1320,1210,1160,1140,1130,1300,1360,1380
CZOCurrent,11800,8270,9360,10070,16680,15270,14970,13940,12960,12280,11220,10290,9410,8390,8320,7980,7680,7650,7640,7720,7670,7990,7690,7860,7610,7680,8380,8610,8200,8650,8240,7930,8150,8020,8780,9140,9310,9410,8150,7790,7700
EVCurrent,9320,9330,9860,10340,9340,10600,9030,9190,8860,10600,9130,9110,9090,10600,9160,9120,8700,8640,8370,8510,8630,9000,9460,9630,9730,9710,10290,10320,10210,10150,9750,9920,9520,9650,9390,9880,9740,9830,10240,9890,9720
EVPCurrent,3240,2590,2390,2290,2580,2830,2500,2470,2200,2360,1950,1850,1830,2090,1700,1650,1470,1410,1330,1330,1350,1430,1560,1640,1580,1510,1550,1560,1480,1530,1460,1420,1370,1330,1280,1370,1320,1370,1350,1270,1250
EVEBITCurrent,10380,7280,8710,9820,14690,15270,12750,12080,10830,12280,9670,8850,8060,8390,7190,6870,6310,6230,6030,6190,6240,6780,6870,7140,6990,7030,8130,8390,7900,8280,7580,7420,7310,7300,7780,8520,8560,8730,7870,7270,7060
EVEBITDACurrent,9500,6630,7630,8210,11320,11960,10200,9750,8750,9920,7820,7180,6560,6900,5870,5670,5240,5180,5010,5110,5170,5530,5640,5810,5670,5610,6290,6410,6020,6200,5700,5610,5450,5420,5590,6000,5920,5990,5630,5260,5130
DTAR,70,60,70,170,80,,70,70,90,,70,90,100,,110,90,130,120,120,100,130,120,110,90,130,100,90,90,100,80,60,60,90,90,70,70,100,70,60,70,100
CG,70,70,80,210,90,,70,80,100,,80,100,120,,130,100,150,130,140,110,150,130,130,100,150,110,90,100,110,90,60,60,110,110,80,80,110,70,70,80,110
LDER,20,20,10,20,20,,20,20,10,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,10,10,0,0,0,0,0
PZAT,23320,20380,26370,28190,20790,,21900,21250,22620,,30870,31510,42410,,43260,46020,48840,48030,56350,66330,70280,77200,92580,103570,107020,113720,99900,104620,100750,102060,103020,106380,104780,107550,98590,102470,108250,120000,112510,113270,115890
PELDR,2510,2860,2500,1780,2470,,2550,2560,2560,,2200,2250,2290,,2310,2360,2270,2320,2260,2190,1980,1940,1780,1770,1680,1730,1610,1660,1560,1620,1670,1750,1670,1700,1680,1660,1660,1710,1620,1660,1620
TSF,930,930,920,840,930,,940,940,920,,930,910,900,,890,910,870,890,880,900,870,880,890,910,870,900,910,910,900,920,940,940,900,900,920,920,890,930,930,920,890
ZKO,110,90,120,320,130,,110,110,140,,130,150,170,,180,150,210,190,190,170,230,210,230,190,270,210,200,200,240,180,130,120,210,200,160,160,220,150,150,160,220
OSF,260,260,290,560,320,,270,280,360,,280,330,390,,420,350,470,430,440,370,460,410,400,330,450,350,320,320,370,290,210,210,340,340,260,270,360,250,240,260,360
NetDebt,-10545000000,-10159000000,-4130000000,6909000000,-10335000000,,-14654000000,-12390000000,-14313000000,,-12298000000,-12779000000,-11218000000,,-14376000000,-17157000000,-11041000000,-13502000000,-15674000000,-16567000000,-10562000000,-8150000000,-2960000000,-3707000000,3543000000,-1196000000,3778000000,4913000000,5644000000,1932000000,-6528000000,-4327000000,-4684000000,-4923000000,-9291000000,-6128000000,-3280000000,-7481000000,-3118000000,-5993000000,-2396000000
NetDebtEBITDA,-1080,-720,-320,550,-1000,,-1320,-1050,-1130,,-830,-790,-640,,-720,-830,-520,-630,-720,-750,-480,-380,-130,-170,150,-50,170,220,250,90,-290,-190,-200,-210,-420,-280,-150,-350,-130,-240,-100
DebtFin,-12788000000,-12697000000,-7379000000,-2605000000,-15778000000,,-19677000000,-17643000000,-21792000000,,-18676000000,-18995000000,-19287000000,,-18539000000,-19066000000,-24407000000,-25202000000,-29025000000,-27690000000,-26109000000,-21165000000,-15074000000,-13092000000,-11669000000,-12036000000,-4211000000,-3783000000,-5162000000,-5994000000,-11207000000,-9001000000,-14310000000,-12560000000,-15995000000,-9469000000,-11274000000,-10088000000,-4780000000,-9287000000,-11601000000
DebtFinEBITDA,-1300,-900,-570,-210,-1530,,-1780,-1500,-1720,,-1260,-1170,-1090,,-920,-920,-1140,-1180,-1330,-1260,-1180,-980,-680,-590,-500,-520,-190,-170,-230,-280,-500,-390,-620,-530,-720,-440,-520,-470,-200,-380,-470
SP1,2470,2810,2460,1750,2420,,2500,2520,2520,,2170,2220,2270,,2290,2340,2250,2300,2240,2180,1970,1930,1770,1760,1670,1720,1600,1650,1560,1610,1660,1740,1670,1690,1670,1650,1650,1700,1610,1650,1610
SP2,2510,2860,2500,1780,2460,,2540,2560,2550,,2200,2250,2290,,2310,2360,2270,2320,2260,2190,1980,1940,1780,1770,1680,1730,1610,1660,1560,1620,1670,1750,1670,1700,1680,1660,1660,1710,1610,1660,1620
CAR,7420,6630,2770,330,3340,,4870,4210,3370,,3440,2660,2080,,1650,2090,1780,1970,2120,2400,1640,1470,1020,1090,650,900,400,340,390,580,1570,1230,1030,880,1550,880,730,990,510,840,690
QR,10010,10350,6260,1780,5830,,7640,7640,5420,,6370,5270,4390,,4190,5130,3620,3950,3710,4210,3000,3270,2920,3190,2280,2930,2670,2710,2100,2820,4160,4910,2820,2940,3590,3340,2570,3730,3680,3470,2340
CR,12330,14280,10580,3420,9390,,11570,11480,8050,,9290,7620,6310,,5810,7220,5050,5660,5420,6310,4520,4960,4590,5540,3860,5100,5390,5400,4410,5810,8460,9140,5110,5180,6790,6510,4780,7130,7260,6730,4620
PP,7420,6630,2770,340,3430,,4870,4210,3370,,3440,2930,2280,,2350,2960,1860,2120,2200,2500,1710,1610,1240,1360,840,1130,710,620,630,880,2000,1680,1390,1390,1970,1640,1260,1790,1400,1600,1180
RCLR,2560,3660,3360,1250,2050,,2420,3070,1910,,2790,2180,1880,,1730,1980,1610,1730,1390,1550,1160,1490,1480,1550,1230,1500,1540,1610,1420,1900,2140,2720,1390,1520,1600,1670,1280,1920,2250,1810,1140
KP,580,630,570,380,560,,580,580,560,,520,520,510,,510,530,490,510,500,500,440,430,390,400,360,380,350,370,330,360,380,410,370,380,380,380,360,390,370,380,350
PKKO,1440,1710,1300,960,1660,,1900,1910,1790,,1380,1380,1490,,1510,1530,1340,1380,1340,1300,1180,1210,1200,1260,1120,1120,890,930,860,980,1060,1130,1080,1070,1040,1050,1010,1120,1010,1060,1040
