,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3790,3790,3790,3790,3790,3790,3790,3790,3790,3790,3790,3790
ShareAmountCurrent,94000000000,94000000000,94000000000,117000000000,117000000000,117000000000,117000000000,129450000000,129450000000,129450000000,129450000000,129450000000
WKCurrent,510,630,810,1230,1310,1370,1460,1850,1930,1970,2070,2210
CWKCurrent,7430,6020,4680,3090,2900,2760,2590,2050,1960,1930,1830,1720
WKGrahamCurrent,120,200,450,920,980,1020,1030,1440,1510,1510,1590,1740
CWKGrahamCurrent,32369,19340,8460,4110,3860,3720,3680,2640,2510,2510,2380,2180
PCurrent,3780,4520,5520,5200,5590,6030,6490,6270,6650,7070,7480,7990
CPCurrent,1000,840,690,730,680,630,580,600,570,540,510,470
ZCurrent,240,160,170,230,260,290,330,290,290,270,290,340
CZCurrent,15780,23580,21810,16730,14690,12860,11550,13210,12930,14060,13260,11140
ZOCurrent,330,260,280,320,350,380,430,400,420,430,450,500
CZOCurrent,11610,14640,13600,11720,10680,10050,8910,9460,9100,8880,8480,7570
EVCurrent,4680,4890,4860,4340,4710,4720,5030,4590,4920,5060,5100,4780
EVPCurrent,1240,1080,880,830,840,780,780,730,740,710,680,600
EVEBITCurrent,14320,18900,17430,13420,13280,12510,11830,11450,11810,11840,11420,9550
EVEBITDACurrent,13230,16590,15160,12030,11950,11260,10720,10340,10600,10560,10130,8510
DTAR,720,700,670,530,540,530,580,460,490,500,500,490
CG,2550,2400,2050,1140,1170,1130,1410,850,950,990,1000,960
LDER,680,840,1020,540,520,500,620,450,420,170,160,140
PZAT,920,470,350,380,400,440,400,430,450,1160,1230,1270
PELDR,2170,3430,4520,6220,6110,5770,5470,6520,6510,5060,5060,5510
TSF,470,540,660,720,700,700,670,790,730,590,580,580
ZKO,920,890,790,600,610,600,670,520,550,560,560,550
OSF,1190,1650,1760,2430,2450,2330,2260,2350,2510,2420,2450,2580
NetDebt,116788000000,136498000000,145170000000,145990000000,171296000000,170419000000,231749000000,180849000000,216199000000,234169000000,249992000000,238097000000
NetDebtEBITDA,3510,4920,4820,3460,3710,3480,4220,3150,3600,3780,3830,3280
DebtFin,83356000000,103673000000,100280000000,64259000000,107590000000,108376000000,145106000000,103023000000,146011000000,163751000000,170010000000,128044000000
DebtFinEBITDA,2510,3740,3330,1520,2330,2210,2640,1790,2430,2640,2610,1760
SP1,1300,1860,2240,4030,4030,3860,3380,4490,4580,4310,4350,4680
SP2,2170,3430,4520,6220,6110,5770,5470,6520,6510,5060,5050,5360
CAR,60,60,140,200,70,110,70,230,160,80,50,130
QR,300,340,480,660,500,510,510,870,680,390,420,450
CR,1480,1740,2510,3170,2940,2950,2660,4090,3270,2160,2110,2140
PP,60,60,140,200,70,110,70,240,160,80,70,160
RCLR,240,280,340,460,430,400,440,630,520,300,350,330
KP,250,340,510,610,580,580,550,660,620,470,470,470
PKKO,170,220,310,410,400,380,410,500,480,360,350,350
RN,16620,16640,19230,18360,17940,17210,16620,15940,15000,14530,14360,14410
CRN,22000,22000,19000,20000,20000,21000,22000,23000,24000,25000,25000,25000
CPZ,93000,79000,56000,49000,49000,49000,51000,49000,49000,57000,62000,70000
RZ,2440,2420,2420,2410,2360,2230,2240,2200,2120,2060,2050,2070
CRZ,150000,151000,151000,151000,154000,164000,163000,166000,172000,177000,178000,176000
RMO,2660,2650,2610,2590,2570,2450,2480,2420,2320,2250,2220,2230
RMT,9600,13380,15270,17510,18270,18390,18340,17720,17220,16840,16950,17510
RM,2080,2110,2230,2260,2250,2160,2180,2130,2050,1980,1970,1980
COP,172000,173000,170000,171000,174000,185000,185000,189000,196000,202000,203000,201000
CSP,79000,94000,114000,122000,125000,136000,134000,140000,147000,145000,141000,131000
