,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
ShareAmountCurrent,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35293500000,35107028000,35107028000,35107028000,35107028000,35107028000,35107028000,35107028000,35107028000,35107028000,35107028000,35107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000,33107028000
WKCurrent,2320,3320,3550,3670,0,3950,4110,4010,0,4370,4500,4500,0,4570,4590,4560,0,5020,5190,5420,0,5650,6170,5900,0,6690,7260,7480,9020,9010,9330,8780,9530,9780,10270,10640,11300,11640,12150,12040,12550,12570,12940,12730,12980,13270,13960,13590,14080,13620,14060,13860
CWKCurrent,10360,7240,6760,6540,,6080,5850,5980,,5490,5340,5330,,5250,5230,5260,,4780,4620,4430,,4250,3890,4059,,3590,3300,3210,2660,2660,2570,2730,2520,2450,2340,2260,2120,2060,1980,1990,1910,1910,1850,1890,1850,1810,1720,1770,1700,1760,1710,1730
WKGrahamCurrent,750,1250,1510,1470,0,1530,1680,1600,0,1990,1580,170,0,140,80,-150,0,430,580,710,0,550,940,850,0,830,1230,770,1750,1520,1970,1520,2060,1890,-680,310,730,770,820,-210,120,-280,160,-220,10,-210,690,140,340,-190,290,30
CWKGrahamCurrent,32000,19190,15910,16300,,15730,14310,15050,,12040,15230,139390,,177130,289890,,,56190,41570,33900,,43540,25440,28390,,28820,19560,31010,13700,15820,12210,15810,11660,12710,,76740,33040,31230,29300,,205630,,146060,,1947470,,34820,167770,70060,,82790,718420
PCurrent,5400,7840,8140,8420,8240,8189,8370,8450,8820,8820,8700,8650,9590,10090,10880,11190,10370,10450,10060,10220,10620,11660,12510,13340,14500,15300,16890,17660,20050,20200,20330,21130,20350,20630,20220,20470,21050,21900,22710,22770,23060,23210,23720,24490,24770,25410,25940,26760,27320,26680,25680,24660
CPCurrent,4440,3060,2950,2850,2910,2930,2870,2840,2720,2720,2760,2770,2500,2380,2210,2150,2310,2300,2380,2350,2260,2060,1920,1800,1650,1570,1420,1360,1200,1190,1180,1140,1180,1160,1190,1170,1140,1100,1060,1050,1040,1030,1010,980,970,940,930,900,880,900,930,970
ZCurrent,1130,1270,1070,990,960,1060,1000,1000,1040,980,940,940,1000,600,510,450,350,840,980,760,880,950,990,1310,1400,1460,1710,2340,3010,2870,2760,2260,1880,2029,2150,2280,2270,2530,2520,2250,2170,1820,1720,1760,1410,1720,1830,1760,2050,1290,1210,1470
CZCurrent,21270,18920,22500,24350,25000,22550,23910,24090,23050,24440,25460,25480,23910,40000,46670,53000,68890,28480,24430,31660,27280,25250,24160,18310,17160,16430,14070,10260,7970,8370,8690,10610,12750,11800,11150,10520,10570,9480,9520,10660,11040,13220,13980,13630,17050,13990,13150,13640,11690,18670,19790,16290
ZOCurrent,1240,1030,1080,1130,1060,1200,1150,1180,1260,1210,1150,1190,1310,1590,1810,1740,1590,1410,1200,1080,1130,1270,1470,1690,2020,2029,2310,2410,3070,2890,2740,2890,2390,2540,2710,2780,2740,3210,3160,2870,2850,2400,2340,2450,2050,2029,2170,2100,2420,1890,1780,2020
CZOCurrent,19390,23210,22140,21180,22640,20060,20820,20270,19060,19800,20800,20240,18380,15050,13260,13810,15130,17080,20020,22310,21270,18850,16290,14210,11870,11800,10400,9950,7810,8290,8750,8310,10040,9430,8870,8640,8770,7470,7600,8360,8410,10000,10250,9800,11720,11800,11040,11400,9900,12670,13500,11860
EVCurrent,23980,24080,23820,23680,24000,23980,24040,23960,24000,23870,24340,25670,24000,26000,26330,25660,24000,25440,25420,25040,24000,25250,25190,25220,24000,25590,25430,25320,25630,24360,24640,24630,25460,25180,27450,27620,28270,27130,27630,28340,28540,28600,28710,29060,29710,29210,28670,27660,28170,27820,27390,28220
EVPCurrent,4440,3070,2930,2810,2910,2930,2870,2840,2720,2710,2800,2970,2500,2580,2420,2290,2310,2430,2530,2450,2260,2170,2009,1890,1650,1670,1510,1430,1280,1210,1210,1170,1250,1220,1360,1350,1340,1240,1220,1240,1240,1230,1210,1190,1200,1150,1110,1030,1030,1040,1070,1140
EVEBITCurrent,19370,23290,21970,20900,22640,20050,20860,20240,19060,19690,21090,21650,18380,16309,14550,14760,15130,18100,21200,23270,21270,19830,17100,14930,11870,12580,11020,10490,8330,8420,8990,8530,10650,9900,10140,9940,10330,8440,8750,9880,10000,11910,12270,11870,14510,14360,13190,13140,11620,14680,15410,13950
EVEBITDACurrent,15730,16960,16360,15800,16910,15400,15910,15550,14840,15160,16040,16470,14190,13070,11860,11890,11940,13830,15600,16650,15490,14940,13230,11810,9660,10190,9120,8730,7110,7070,7420,7060,8450,7940,8230,8029,8240,6870,6990,7660,7610,8540,8590,8350,9630,9470,8840,8620,7910,9030,9180,8680
DTAR,360,360,310,340,,280,270,350,,210,270,490,,480,490,480,,420,430,430,,450,430,440,,480,440,430,440,410,400,400,380,380,460,450,440,450,450,460,450,470,460,500,480,470,450,460,440,460,430,450
CG,620,580,460,520,,390,380,540,,270,370,980,,920,970,930,,720,750,740,,830,750,810,,950,800,770,770,690,670,680,620,610,860,840,800,810,820,870,830,900,880,1030,920,910,840,880,800,850,770,820
LDER,110,80,80,80,,70,70,70,,60,60,360,,370,360,340,,310,250,200,,310,270,220,,230,210,210,160,150,150,150,100,90,350,300,280,280,330,340,340,310,280,290,270,220,210,170,170,150,150,120
PZAT,5510,6690,6530,6970,,7540,7700,7760,,7780,7560,1810,,1750,1810,1890,,1830,2200,2650,,1550,1910,2200,,2420,2500,2490,2890,3110,3000,3240,4440,5110,1280,1590,1600,1580,1320,1300,1270,1450,1520,1500,1600,1940,1920,2450,2480,2990,2830,3550
PELDR,1420,1700,1850,1770,,1730,1790,1760,,1950,1630,1400,,1390,1360,1280,,1440,1420,1400,,1440,1490,1430,,1420,1480,1370,1450,1380,1450,1380,1400,1340,1260,1330,1360,1360,1420,1310,1340,1270,1280,1260,1250,1190,1260,1170,1180,1120,1160,1110
TSF,640,680,730,700,,770,770,690,,840,770,680,,710,680,690,,760,710,690,,710,720,660,,620,660,670,650,680,690,680,680,680,720,710,710,710,730,720,730,690,680,630,660,640,650,620,640,620,640,610
ZKO,660,610,520,570,,500,480,580,,370,520,960,,970,980,1040,,890,870,850,,890,830,850,,880,830,880,800,800,760,800,740,760,1080,970,930,920,920,1020,990,1030,990,1020,1000,1020,940,990,970,1020,970,1000
OSF,840,950,890,930,,810,810,950,,680,790,990,,980,980,990,,980,990,990,,990,970,1000,,1020,1010,1000,1000,960,960,960,940,940,1010,990,980,980,990,1000,990,990,990,990,990,990,980,990,980,990,980,990
NetDebt,38097000000,52922000000,40282000000,44602000000,,43747000000,43732000000,56913000000,,30136000000,50505000000,128945000000,,127818000000,143536000000,142255000000,,114977000000,117281000000,126365000000,,145183000000,142142000000,157890000000,,198570000000,177020000000,184810000000,206002000000,160134000000,170133000000,179387000000,173879000000,174511000000,246282000000,266868000000,268003000000,248075000000,288679000000,315396000000,318683000000,329801000000,331792000000,380877000000,377085000000,374369000000,348553000000,354874000000,342550000000,333862000000,305876000000,343210000000
NetDebtEBITDA,710,1060,780,840,,800,820,1050,,540,940,2340,,1820,1830,1870,,1780,2050,2390,,2450,2130,2110,,2250,1810,1820,1730,1400,1550,1550,1740,1660,2230,2340,2360,1900,2200,2570,2570,2970,3000,3310,3690,3670,3250,3340,2900,3270,3100,3190
DebtFin,-850000000,2825000000,-6343000000,-11239000000,,-577000000,1520000000,-1359000000,,-4643000000,11849000000,58957000000,,70746000000,82313000000,58457000000,,50380000000,49699000000,36513000000,,43810000000,41636000000,42698000000,,55878000000,50231000000,46293000000,53859000000,12001000000,21152000000,20813000000,48424000000,39055000000,114150000000,119799000000,141340000000,103514000000,120336000000,143727000000,150303000000,152204000000,155947000000,167494000000,189156000000,172414000000,154450000000,121007000000,138173000000,126361000000,112152000000,139758000000
DebtFinEBITDA,-20,60,-120,-210,,-10,30,-30,,-80,220,1070,,1010,1050,770,,780,870,690,,740,620,570,,630,510,450,450,110,190,180,490,370,1030,1050,1240,790,920,1170,1210,1370,1410,1450,1850,1690,1440,1140,1170,1240,1130,1300
SP1,1280,1560,1710,1650,,1620,1680,1650,,1840,1530,1030,,1020,1000,950,,1100,1140,1170,,1100,1170,1170,,1160,1220,1130,1250,1200,1260,1200,1270,1230,930,1030,1060,1060,1070,980,1000,970,1000,970,990,980,1040,1000,1010,980,1010,990
SP2,1420,1690,1840,1770,,1730,1790,1760,,1950,1630,1390,,1390,1360,1280,,1440,1420,1400,,1440,1490,1430,,1420,1480,1370,1450,1380,1450,1380,1400,1340,1260,1330,1360,1360,1420,1310,1340,1270,1280,1260,1250,1190,1260,1170,1180,1120,1160,1110
CAR,210,240,360,360,,230,220,280,,310,140,250,,230,130,60,,140,150,120,,170,180,60,,140,180,120,130,270,220,110,120,110,240,130,130,300,180,130,130,170,170,160,60,70,120,110,90,130,160,100
QR,1350,1390,1540,1420,,1580,1530,1240,,2300,1410,1020,,1110,990,830,,1200,1050,930,,1160,1130,930,,950,1030,870,1080,1010,1120,980,990,980,1010,1040,1060,1160,1260,990,1030,970,980,890,820,810,870,750,790,790,750,650
CR,1850,1920,2310,2070,,2440,2530,1980,,3510,2310,1640,,1710,1610,1520,,1950,1710,1600,,1770,1880,1630,,1490,1650,1560,1570,1600,1700,1600,1620,1540,1550,1620,1660,1650,1810,1620,1710,1490,1500,1370,1410,1300,1420,1260,1300,1190,1270,1170
PP,310,260,360,400,,230,240,300,,350,180,270,,230,130,80,,160,210,140,,190,200,80,,140,180,120,140,280,230,120,130,140,260,150,160,320,220,150,140,180,170,170,70,80,140,120,100,160,180,100
RCLR,990,1110,1120,980,,1330,1230,920,,1910,1180,720,,860,830,710,,1000,780,750,,960,880,830,,800,820,730,920,720,870,840,850,830,730,870,880,830,1010,820,880,780,780,710,740,720,700,610,670,620,550,520
