,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170
ShareAmountCurrent,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7395157000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000,7320000000
WKCurrent,2850,2900,2460,2370,0,11830,11920,12110,0,12890,12420,12150,0,8860,9140,8730,0,8990,8490,7990,0,8109,8290,8160,8320,8220,8010,7720,7670,8189,8000,8060,7190,6560,6480,6070,6130,6540,6330,6270,6260,5830,5790,5620,5370,5960,5730,5600
CWKCurrent,410,400,480,490,,100,100,100,,90,90,100,,130,130,130,,130,140,150,,140,140,140,140,140,150,150,150,140,150,150,160,180,180,190,190,180,180,190,190,200,200,210,220,200,200,210
WKGrahamCurrent,1130,1740,870,850,0,10730,10900,11090,0,11180,10720,10370,0,7360,7350,7070,0,6840,6220,4700,0,4290,4440,4350,4570,4290,4250,4050,4080,4370,3970,3130,2510,990,1180,960,1200,1730,1490,1300,1160,850,780,630,440,1510,1250,1000
CWKGrahamCurrent,1030,670,1340,1380,,110,110,110,,100,110,110,,160,160,170,,170,190,250,,270,260,270,260,270,280,290,290,270,290,370,470,1180,990,1220,980,680,780,900,1010,1380,1500,1850,2640,770,930,1170
PCurrent,15250,20710,17490,13760,14050,21070,21690,23420,25140,26370,25540,25110,16000,16160,20640,21300,24040,26840,23750,23290,21830,21690,23230,24510,25720,24890,24200,29210,38380,40450,41040,37720,29780,23170,23060,23010,24340,24820,22800,20130,16180,16530,16840,17350,17650,19350,19970,20030
CPCurrent,80,60,70,90,80,60,50,50,50,40,50,50,70,70,60,50,50,40,50,50,50,50,50,50,50,50,50,40,30,30,30,30,40,50,50,50,50,50,50,60,70,70,70,70,70,60,60,60
ZCurrent,1950,2110,1420,-70,130,1540,1480,1840,1850,930,440,10,-250,140,640,560,680,160,-520,-790,-790,-840,-140,250,460,170,-310,-190,-400,260,310,430,-460,-1610,-1600,-1730,-710,240,240,240,170,-710,-540,-650,-880,170,-20,-20
CZCurrent,600,550,820,,8900,760,790,640,630,1260,2670,119390,,8430,1840,2080,1720,7450,,,,,,4700,2550,6800,,,,4430,3780,2720,,,,,,4880,4830,4870,6950,,,,,6760,,
ZOCurrent,2320,2300,1660,-250,140,1190,1240,1300,1170,1180,1000,660,100,90,270,310,380,-60,-740,-1220,-1090,-1030,-450,110,290,-340,-770,-570,-640,290,350,250,-840,-2240,-2250,-2160,-870,410,510,540,300,-440,-420,-620,-840,490,420,550
CZOCurrent,500,510,710,,8270,980,950,900,1000,990,1170,1780,11610,12380,4370,3800,3100,,,,,,,10820,4080,,,,,4010,3330,4710,,,,,,2870,2290,2170,3840,,,,,2380,2760,2150
EVCurrent,1100,330,1130,1150,1170,-190,-720,-170,1170,-3880,-5020,-5770,1170,-1520,-2750,-3130,1170,-4530,-2430,-1370,1170,930,320,-250,-1300,-350,1880,3220,330,710,170,720,1480,560,-230,2630,1950,1820,2230,2130,1520,1610,1270,1430,1970,1220,870,2000
EVPCurrent,70,20,60,80,80,-10,-30,-10,50,-150,-200,-230,70,-90,-130,-150,50,-170,-100,-60,50,40,10,-10,-50,-10,80,110,10,20,0,20,50,20,-10,110,80,70,100,110,90,100,80,80,110,60,40,100
EVEBITCurrent,470,140,680,-4670,8270,-160,-580,-130,1000,-3280,-5010,-8780,11610,-16040,-10250,-10160,3100,69900,3300,1130,-1070,-900,-710,-2290,-4530,1030,-2450,-5620,-500,2430,480,2890,-1760,-250,100,-1220,-2230,4470,4360,3940,5000,-3630,-3060,-2320,-2350,2490,2040,3670
EVEBITDACurrent,440,130,590,69060,2970,-130,-490,-110,860,-2790,-4190,-6590,4040,-5420,-5640,-5980,2029,-31770,4520,1380,-1390,-1250,-2480,-560,-2130,6900,-3820,-10760,-900,1190,250,1220,-3080,-300,120,-1470,-3880,2320,2490,2330,2260,-26580,-70620,-6990,-4830,1360,1030,2050
DTAR,430,610,600,600,,350,240,220,,360,250,240,,360,240,290,,470,330,340,,560,410,380,410,400,430,550,620,480,410,420,460,520,530,540,540,530,440,480,480,540,500,530,560,590,560,570
CG,740,1590,1530,1490,,530,320,290,,560,340,330,,560,320,420,,870,500,520,,1270,680,600,670,640,710,1210,1620,910,670,680,850,1040,1100,1170,1200,1140,800,910,910,1290,1080,1230,1360,1550,1370,1420
LDER,10,10,200,200,,10,40,10,,20,20,10,,40,40,50,,80,80,170,,150,140,120,110,110,90,90,80,70,100,80,80,330,350,330,170,160,170,190,180,190,180,170,160,500,520,540
PZAT,20700,28980,1060,910,,2770,690,2390,,1710,2029,2260,,1480,1440,530,,320,330,310,,360,320,430,450,410,520,550,580,830,810,1010,1150,320,300,330,590,550,570,460,570,530,540,570,600,160,160,140
PELDR,1750,2520,1860,1870,,10790,12110,12030,,6830,6920,6150,,5620,5010,5280,,4470,4059,2900,,2490,2520,2510,2640,2600,2610,2430,2430,2460,2360,1900,1670,1600,1680,1600,1450,1570,1520,1520,1470,1240,1220,1200,1170,1830,1790,1740
TSF,580,390,470,480,,660,790,780,,640,750,750,,660,780,740,,570,720,780,,510,690,710,680,700,660,500,420,570,670,660,590,660,640,620,530,540,650,630,620,500,540,510,480,570,620,620
ZKO,650,730,810,810,,370,260,240,,390,280,280,,400,290,340,,530,400,470,,710,560,530,550,550,570,700,750,630,570,640,710,870,860,880,860,810,770,820,830,900,890,920,940,860,860,890
OSF,1080,1810,1260,1260,,3940,2990,2860,,2640,1940,1690,,2180,1380,1710,,2220,1520,1160,,1530,1230,1180,1300,1290,1380,1560,1690,1450,1230,1120,1090,1060,1070,1060,1060,1100,1010,1040,1030,940,920,940,950,1040,1010,1010
NetDebt,10255000000,18861000000,18620000000,17493000000,,-5359000000,-21824000000,-20764000000,,10552000000,-10160000000,-15283000000,,16837000000,-7199000000,-4900000000,,15934000000,4574000000,11628000000,,64898000000,31364000000,21699000000,19058000000,23641000000,37686000000,53140000000,68526000000,45353000000,24911000000,30415000000,33137000000,38961000000,40943000000,49716000000,52590000000,50239000000,36703000000,41540000000,41228000000,53918000000,43957000000,49887000000,52580000000,65591000000,54901000000,56964000000
NetDebtEBITDA,810,1470,1950,210760,,-740,-2950,-2750,,1520,-1690,-3490,,8150,-2000,-1270,,15120,-1150,-1580,,-11840,-32740,6560,4230,-62380,-10340,-24000,-25590,10330,5000,6990,-9410,-2830,-2950,-3790,-14330,8750,5600,6230,8350,-121710,-333010,-33260,-17630,9990,8880,7960
DebtFin,-340000000,-4190000000,-187000000,-118000000,,-6793000000,-9461000000,-6675000000,,-25252000000,-30961000000,-34724000000,,-19862000000,-28953000000,-31774000000,,-42133000000,-26632000000,-18814000000,,-1789000000,-6276000000,-10488000000,-18260000000,-11267000000,5285000000,15166000000,-6249000000,-3412000000,-7411000000,-3350000000,2269000000,-4489000000,-10217000000,10687000000,5689000000,4771000000,7750000000,6996000000,2577000000,3211000000,758000000,1923000000,5854000000,394000000,-2222000000,6098000000
DebtFinEBITDA,-30,-330,-20,-1420,,-940,-1280,-890,,-3630,-5160,-7920,,-9610,-8039,-8210,,-39970,6700,2560,,330,6550,-3170,-4050,29730,-1450,-6850,2330,-780,-1490,-770,-640,330,740,-810,-1550,830,1180,1050,520,-7250,-5740,-1280,-1960,60,-360,850
SP1,1660,2500,1550,1560,,10680,11650,11920,,6720,6820,6060,,5410,4820,5040,,4160,3760,2480,,2170,2210,2230,2370,2350,2400,2230,2250,2290,2150,1760,1540,1210,1250,1200,1230,1350,1300,1270,1240,1040,1040,1030,1010,1220,1180,1130
SP2,1670,2520,1860,1870,,10790,12110,12030,,6830,6920,6150,,5620,5010,5280,,4470,4059,2900,,2490,2520,2510,2640,2600,2610,2430,2430,2460,2360,1900,1670,1600,1680,1600,1450,1570,1520,1520,1470,1240,1220,1200,1170,1830,1790,1740
CAR,30,180,10,10,,230,570,390,,730,1550,1840,,580,1520,1340,,790,1020,920,,170,310,500,650,470,120,250,270,190,440,290,290,320,310,60,30,90,10,10,10,20,40,10,20,40,80,30
QR,990,850,570,850,,2550,3600,3350,,2100,2440,2440,,2100,2860,2290,,1500,1750,1810,,1070,1190,1540,1550,1690,1070,1230,1020,1440,1240,1040,1020,1240,1180,1170,970,1170,1020,1130,1020,1090,920,890,790,1520,1230,1180
CR,1550,1380,1420,1430,,2760,4440,4310,,2620,3680,3760,,2670,4000,3330,,2050,2960,3200,,1600,2270,2380,2190,2190,1990,1550,1400,1730,2050,1770,1560,1660,1700,1580,1360,1430,1640,1560,1500,1310,1350,1270,1200,1730,1860,1820
PP,30,180,10,10,,1190,2460,2260,,730,1550,1840,,580,1520,1340,,790,1020,920,,170,310,500,650,470,120,250,270,190,440,290,290,320,310,60,30,90,10,10,10,20,40,10,20,40,80,30
RCLR,1010,660,550,800,,1360,1140,1090,,1370,890,590,,1510,1340,950,,700,730,890,,900,870,1030,900,1210,950,980,750,1240,800,750,730,910,870,1110,940,1070,1010,1120,1000,1070,880,880,770,1480,1160,1150
KP,230,230,220,220,,600,720,720,,560,650,640,,550,630,600,,450,540,500,,300,410,420,400,400,370,280,240,320,370,290,230,240,250,230,170,200,220,210,190,140,140,120,100,290,300,290
