,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,6780,6780,6780,6780,6780,6780,6780,6780,6780,6780,6780
ShareAmountCurrent,1000000000000,1000000000000,1000000000000,1000000000000,10500000000,10500000000,10500000000,10500000000,10500000000,10500000000,10500000000
WKCurrent,20,20,30,30,3700,3880,3960,4010,3360,3490,3600
CWKCurrent,431750,301220,262860,243050,1830,1750,1710,1690,2020,1940,1880
WKGrahamCurrent,10,20,20,30,3550,3670,3770,3800,3050,3180,3270
CWKGrahamCurrent,475480,323940,278150,255320,1910,1850,1800,1780,2230,2130,2070
PCurrent,20,20,20,20,2160,2220,2180,2020,1950,1860,2090
CPCurrent,405370,387860,362180,321050,3140,3050,3110,3360,3470,3650,3240
ZCurrent,10,10,10,10,530,590,480,330,-340,-400,-360
CZCurrent,1191730,962490,1150830,1041130,12740,11520,14200,20740,,,
ZOCurrent,10,10,10,10,710,740,580,400,-460,-490,-420
CZOCurrent,892950,717050,858410,794970,9530,9190,11640,16880,,,
EVCurrent,6780,6780,6780,6780,5570,5620,5760,5960,6170,6210,6200
EVPCurrent,405130,387730,362050,320910,2580,2530,2650,2950,3160,3340,2960
EVEBITCurrent,892420,716810,858100,794610,7820,7620,9890,14840,-13500,-12770,-14730
EVEBITDACurrent,845150,685700,814610,764720,7520,7330,9450,13750,-15110,-14320,-17000
DTAR,140,150,130,110,100,100,90,80,100,100,110
CG,160,170,140,130,110,120,100,90,110,110,120
LDER,30,20,20,10,10,20,20,20,20,30,30
PZAT,800,1010,970,1250,1110,1410,1300,1540,1170,1090,800
PELDR,11300,14690,18780,21360,25810,18770,20500,19640,11040,11540,11250
TSF,890,870,890,900,920,920,920,940,930,930,920
ZKO,150,160,130,120,100,110,100,80,100,100,120
OSF,1630,2220,2420,2420,2520,2009,1980,1610,1120,1160,1300
NetDebt,-1507222000,1592925000,1293742000,435597000,-8603807000,-7504572000,-6637464000,-5160472000,-2787588000,-2131294000,-1480007000
NetDebtEBITDA,-190,160,160,50,-1110,-930,-1040,-1130,650,470,390
DebtFin,-4015962000,-2226429000,-2439338000,-3045269000,-12729312000,-12171291000,-10693838000,-8600901000,-6387318000,-5947023000,-6130820000
DebtFinEBITDA,-500,-230,-290,-340,-1640,-1510,-1670,-1890,1490,1310,1600
SP1,10870,14260,18190,20810,25330,18310,20070,19300,10780,11240,10890
SP2,11210,14580,18540,21110,25670,18720,20460,19600,11040,11520,11230
CAR,1980,660,750,980,3530,3150,3040,2900,2220,2020,1760
QR,8200,7330,8580,9600,11430,11190,12440,14660,12420,12640,11190
CR,8270,7380,8680,9710,11480,11220,12460,14680,12420,12660,11210
PP,1980,680,750,990,3530,3180,3120,2960,2260,2040,1760
RCLR,1800,1130,1320,1250,1260,1160,1240,1440,2120,1830,1890
KP,810,810,840,860,880,870,880,890,840,850,840
PKKO,2570,4760,3570,3010,3490,3620,3170,3050,2780,3070,2740
RN,4580,4590,4610,5260,5410,5450,5310,4810,4280,3880,3940
CRN,80000,80000,79000,69000,67000,67000,69000,76000,85000,94000,93000
CPZ,44000,70000,63000,55000,53000,54000,56000,60000,59000,58000,51000
RZ,,,,,,,,,,,
CRZ,,,,,,,,,,,
RMO,1000,710,710,780,720,650,580,490,490,490,570
RMT,11580,11070,12580,14560,15770,14330,12750,10580,8420,7240,7220
RM,920,660,670,740,690,630,550,470,470,460,520
COP,,,,,,,,,,,
CSP,,,,,,,,,,,
