,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,15241379000,15241379000,15241379000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20321838000,20890803000,20890803000,20890803000,20890803000,26819921000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000,7777777000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-20.12,751.63,,156.96,,,,330.96,16.89,25.83,,9.85,35.67,32.33,,30.82,10.32,5.74,1.69,-0.56,223.41,227.03,188.50,222.09,-0.75,5.02,24.22,21.71,13.22,6.17,12.88,-2.73,5.94,11.43
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,259.53,2.50,-100.00,,-2.48,10.34,-100.00,,20.44,7.62,0.80,0.12,1.57,3.16,-3.05,-2.10,230.32,4.31,-14.48,9.30,1.79,10.37,1.16,7.09,-5.31,3.50,7.55,-7.72,3.13,8.86
