,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,4933865000,4933865000,4933865000,4933865000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000,36343344000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,0.72,114.11,6.09,,,-74.58,,7.02,15.48,16.52,19.60,-1.93,-7.58,-3.38,-5.86,3.00,7.34,3.99,3.06,12.66,10.10,6.69,10.30,-2.76,-5.68,8.29,8.07,9.74
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,1.23,8.73,-2.39,-0.38,9.22,9.71,0.18,-18.31,2.93,14.69,-2.39,-10.61,7.26,11.11,-3.25,-2.29,4.83,7.66,0.03,-13.86,1.68,23.60,-0.17,-12.53
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
