,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,292486159000,646262938000,646262938000,646262938000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000,187416252000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-40.85,118.26,,,,20.29,12.94,1.29,,-3.12,0.29,2.98,,-42.72,-0.78,-21.52,-26.50,31.29,148.67,226.79,320.37,326.67,31.18,28.15,7.82,8.55,2.52,-1.02,13.72,6.55,9.89,12.93
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,3.04,11.60,-100.00,,-3.26,0.08,-100.00,,0.14,2.76,-4.18,-41.91,73.47,-18.72,-10.26,3.76,228.55,6.81,15.44,5.32,1.01,4.35,-2.87,6.02,-4.59,0.73,11.60,-0.66,-1.60,3.52
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
