,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,15450,15450,15450,15450,15450,15450,15450,15450,15450,15450,15450,15450,15450
ShareAmountCurrent,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,4130000000,4130000000,4130000000,4130000000,4130000000,4130000000,4130000000
WKCurrent,17510,20000,21120,21730,0,22440,21270,20810,21240,21610,22260,22380,24140
CWKCurrent,880,770,730,710,,690,730,740,730,710,690,690,640
WKGrahamCurrent,-31790,-35340,-43200,-39490,0,-38310,-23810,-22420,-23730,-24610,-26080,-27400,-28330
CWKGrahamCurrent,,,,,,,,,,,,,
PCurrent,5990,5660,6210,5760,5860,5800,4080,4070,4110,4210,4290,4320,4420
CPCurrent,2580,2730,2490,2680,2640,2660,3790,3800,3760,3670,3600,3570,3500
ZCurrent,590,2180,1230,1510,810,110,910,350,250,810,1080,1650,2900
CZCurrent,26100,7090,12590,10240,19120,143500,17000,44750,61240,18970,14240,9360,5340
ZOCurrent,150,4380,3780,1650,3870,1740,2810,700,-190,1690,330,2450,4530
CZOCurrent,105580,3530,4090,9350,4000,8900,5510,22150,,9140,47440,6320,3410
EVCurrent,45100,47270,53750,51050,15450,50120,37210,35900,36820,37280,37580,40290,41120
EVPCurrent,7530,8350,8660,8870,2640,8640,9130,8830,8960,8850,8750,9320,9310
EVEBITCurrent,308180,10790,14210,30890,4000,28860,13260,51460,-197230,22040,115410,16480,9080
EVEBITDACurrent,113400,10220,13410,28780,3920,27740,13030,48050,-268190,21420,100530,16149,8980
DTAR,600,600,640,650,,640,570,570,560,560,560,570,560
CG,1920,1830,2160,1860,,1780,1360,1340,1310,1310,1290,1370,1300
LDER,1760,1620,1840,1770,,1670,1290,1250,1220,1210,1140,1240,570
PZAT,1760,1850,1760,1560,,1620,1630,1650,1700,1730,1840,1740,3700
PELDR,890,880,870,980,,980,1070,1070,1030,1020,970,990,710
TSF,860,860,850,960,,950,960,950,950,940,920,940,670
ZKO,18800,27720,19210,39340,,24740,5650,5120,6790,7840,10690,9580,9920
OSF,6060,9270,5910,13860,,9070,2630,2440,3160,3610,4860,4260,4500
NetDebt,97032000000,107186000000,132847000000,120056000000,,116800000000,101272000000,97255000000,101061000000,104065000000,110696000000,118388000000,122935000000
NetDebtEBITDA,81330,7720,11050,22560,,21550,8590,31510,-178240,14480,71690,11490,6500
DebtFin,88939000000,95467000000,114885000000,106793000000,,104002000000,89854000000,84460000000,88254000000,90151000000,91417000000,102589000000,106030000000
DebtFinEBITDA,74550,6880,9560,20070,,19190,7620,27370,-155650,12540,59210,9960,5600
SP1,320,330,310,350,,370,470,480,470,460,460,440,450
SP2,890,880,870,980,,980,1070,1070,1030,1020,970,990,710
CAR,450,210,190,240,,410,3140,2360,1650,1380,540,600,80
QR,660,310,360,510,,660,3640,2970,2140,1740,790,1120,180
CR,660,310,360,510,,660,3640,2970,2140,1740,790,1120,180
PP,460,220,190,240,,410,3140,2360,1750,1460,580,680,100
RCLR,210,90,160,260,,250,510,610,390,290,210,440,80
KP,-20,-50,-60,-20,,-10,70,70,40,30,-10,10,-260
PKKO,3590,11990,18810,8280,,11770,-74510,-72730,-44270,-31340,14750,-6800,282000
RN,10760,14490,5730,10820,11020,10060,7020,5340,5430,5320,5400,5210,4400
CRN,34000,25000,64000,34000,33000,36000,52000,68000,67000,69000,68000,70000,83000
CPZ,164000,277000,390000,129000,127000,141000,142000,150000,154000,156000,196000,216000,539000
RZ,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,
RMO,3360,4280,2620,5590,5690,4390,1300,1040,1040,920,1090,1270,1400
RMT,110,90,90,90,100,90,90,90,90,90,90,90,90
RM,110,90,90,90,90,90,80,80,80,80,90,80,80
COP,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,
