,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960,5960
ShareAmountCurrent,8089100000,8889100000,8904018000,9430047000,26404131000,26404131000,26404131000,27219028000,27219028000,27219028000,30597943000,30597943000,30597943000,30597943000,30597943000,44453762000,46953762000,52903762000,52903762000,52903762000,53798507000,53798507000,53798507000,54798507000,57408307000,60253052000,67231162000,73024651000,73024651000,73024651000,83867852000,83867852000,85864163000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000,85864200000
WKCurrent,22660,28730,29920,43840,0,29830,30320,0,0,32000,37470,35190,0,36160,40040,31350,0,18410,17830,20220,18750,20330,19850,19390,20920,19900,18760,17420,16880,17040,15060,15140,15360,15130,15140,15210,15480,15850,16040,16010,16160,9590,9490,9870,9730,9680,9460,9230,9190,9190,9180,9530
CWKCurrent,260,210,200,140,,200,200,,,190,160,170,,160,150,190,,320,330,290,320,290,300,310,280,300,320,340,350,350,400,390,390,390,390,390,390,380,370,370,370,620,630,600,610,620,630,650,650,650,650,630
WKGrahamCurrent,8440,6350,3710,-12850,0,6630,-3800,0,0,-8060,-1870,-6700,0,-15080,-16460,-6410,0,-3730,-4080,-1150,-1460,-120,-510,-800,-1360,-4560,-3260,-3690,-3820,-4030,-3650,-3890,-2970,-3050,-3040,-2630,-2590,-2410,-2370,-2360,-2350,-1910,-1860,-1650,-1670,-1520,-1520,-1390,-1460,-1360,-1410,-880
CWKGrahamCurrent,710,940,1610,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,15920,17050,19090,18990,7610,8160,8790,8530,9740,9950,9880,10590,9870,9590,8460,6310,4900,4100,4070,3580,4370,7030,7030,7080,7090,4800,5890,5270,5340,5560,3950,4080,3920,3960,3850,3850,4150,4390,4580,4790,4860,4710,4610,4610,4340,3230,3060,2920,3230,4210,4210,4190
CPCurrent,370,350,310,310,780,730,680,700,610,600,600,560,600,620,700,940,1220,1450,1470,1670,1360,850,850,840,840,1240,1010,1130,1120,1070,1510,1460,1520,1500,1550,1550,1440,1360,1300,1240,1230,1270,1290,1290,1370,1840,1950,2040,1850,1420,1420,1420
ZCurrent,1030,3900,4720,8470,2840,3550,3760,4280,4090,1030,620,-2170,-3070,-7150,-7950,-5500,-5080,-10730,-10760,-9440,-9220,2180,2270,1070,1370,-1290,-130,310,-20,520,-180,-330,-180,-80,-130,-70,-30,40,120,40,110,-6090,-6100,-6130,-6260,-330,-470,-430,-410,-80,70,840
CZCurrent,5770,1530,1260,700,2100,1680,1590,1390,1460,5770,9660,,,,,,,,,,,2740,2620,5580,4340,,,18970,,11500,,,,,,,,139140,48680,139290,54450,,,,,,,,,,89800,7080
ZOCurrent,2440,4690,6100,9900,3080,2840,2830,3820,4210,3970,4400,1440,600,-2340,-3840,-3260,-3060,-10900,-11010,-10290,-10260,1670,1640,1470,1460,-800,680,570,700,920,-90,110,170,190,160,230,200,260,250,220,360,-5970,-5920,-5950,-6140,-160,-250,-200,-160,210,300,220
CZOCurrent,2450,1270,980,600,1940,2100,2110,1560,1420,1500,1350,4140,9890,,,,,,,,,3560,3630,4050,4070,,8750,10440,8560,6500,,55880,34740,31620,37820,26050,29510,23150,24330,26780,16420,,,,,,,,,28380,19570,27300
EVCurrent,6680,9430,14540,14920,5960,5780,9180,5960,5960,19290,13800,17640,5960,20050,20210,11650,5960,9690,8400,6760,7820,8250,8310,9010,9660,9930,9070,8890,8260,8490,8250,8320,8380,8270,8250,7990,7990,7900,7760,7870,8000,8220,8189,7820,7990,7600,7750,7790,7810,7820,7740,8050
EVPCurrent,420,550,760,790,780,710,1040,700,610,1940,1400,1670,600,2090,2390,1850,1220,2360,2070,1890,1790,1170,1180,1270,1360,2070,1540,1690,1550,1530,2090,2040,2140,2090,2140,2080,1930,1800,1690,1640,1650,1740,1770,1690,1840,2350,2530,2670,2420,1860,1840,1920
EVEBITCurrent,2740,2009,2390,1510,1940,2040,3240,1560,1420,4860,3130,12240,9890,-8580,-5260,-3570,-1950,-890,-760,-660,-760,4930,5060,6120,6600,-12370,13310,15570,11860,9260,-93050,78040,48880,43890,52320,34950,39550,30700,31660,35380,22050,-1380,-1380,-1310,-1300,-46960,-31180,-38320,-48040,37230,25420,36860
EVEBITDACurrent,1630,1640,2029,1350,1660,1680,2590,1300,1200,4080,2710,8310,4470,-12840,-6750,-4420,-2440,-940,-810,-710,-820,3450,3530,4160,4550,-52160,7390,8240,6850,6000,25570,16800,15830,15390,15940,13140,13510,12140,12060,12260,10110,-1490,-1490,-1410,-1390,30450,46430,38170,33160,13050,11350,13490
DTAR,290,290,390,450,,190,350,,,410,350,390,,400,410,300,,330,350,260,280,260,270,290,270,310,290,300,310,300,310,300,270,270,280,260,270,260,260,270,260,350,350,340,340,330,310,340,330,320,310,290
CG,410,400,640,840,,230,560,,,710,550,680,,750,770,460,,540,590,380,420,380,390,430,400,530,470,490,500,460,480,460,390,390,410,380,400,370,370,390,380,540,520,510,520,510,480,490,480,470,440,410
LDER,110,80,110,270,,90,120,,,250,190,220,,210,220,130,,90,90,90,180,170,180,170,170,230,220,230,140,130,130,120,210,210,210,200,190,200,200,200,230,200,200,190,190,170,170,150,200,140,140,110
PZAT,3590,4660,3540,950,,2480,1920,,,1250,1410,1560,,2070,1960,2790,,4320,4280,4150,2080,2050,2060,2160,2160,1550,1530,1550,2680,2680,2730,3080,1620,1690,1670,1590,1600,1510,1490,1480,1230,2370,2330,2360,2400,2480,2550,2970,2180,3100,3090,3600
PELDR,1800,1420,1280,980,,1370,980,,,980,1110,980,,790,790,940,,940,940,960,1020,1120,1110,1090,1060,900,930,920,840,860,860,840,960,950,960,990,980,990,990,990,1020,1040,1050,1060,1060,1040,1040,1010,1050,1010,1000,1030
TSF,790,770,680,670,,870,710,,,720,760,700,,650,640,720,,680,650,750,790,810,810,790,800,730,760,760,700,740,730,730,830,830,820,820,800,840,830,820,850,790,800,800,790,750,770,780,820,790,800,800
ZKO,520,650,840,1530,,510,1290,,,1560,1100,1390,,2260,2150,1790,,1600,1630,1180,1230,1020,1070,1110,1190,1780,1590,1760,1830,2040,2029,2240,1970,2080,1970,1840,1720,1690,1660,1610,1610,1590,1610,1490,1500,1450,1510,1440,1490,1460,1540,1290
OSF,830,830,960,1150,,640,1130,,,1230,1030,1110,,1480,1400,1480,,1380,1400,1040,1070,970,1010,1020,1080,1300,1210,1310,1350,1550,1540,1680,1560,1640,1550,1510,1420,1400,1370,1320,1330,1380,1400,1340,1340,1290,1340,1270,1310,1300,1360,1190
NetDebt,42868000000,88777000000,157559000000,321212000000,,52757000000,346875000000,,,546402000000,455605000000,579229000000,,719013000000,818569000000,566617000000,,454352000000,443773000000,310789000000,318700000000,328454000000,345537000000,387888000000,439178000000,590575000000,540788000000,593315000000,515428000000,525049000000,553741000000,541146000000,481524000000,466319000000,480758000000,449330000000,485192000000,466377000000,469805000000,492314000000,495652000000,410874000000,399862000000,385221000000,390699000000,332396000000,335494000000,345578000000,339141000000,329869000000,314198000000,331145000000
NetDebtEBITDA,1300,1740,2470,3080,,580,3710,,,4240,2930,8920,,-15060,-8930,-4830,,-840,-810,-610,-620,2550,2730,3270,3600,-51480,6560,7540,5860,5090,20450,13020,10590,10100,10830,8600,9560,8340,8510,8920,7290,-860,-850,-810,-790,15510,23420,19710,16770,6410,5360,6460
DebtFin,5804000000,30887000000,76432000000,84491000000,,-4806000000,85068000000,,,362847000000,239790000000,357269000000,,430990000000,435903000000,253125000000,,197180000000,128990000000,42273000000,100191000000,123374000000,126576000000,167045000000,212444000000,239225000000,208765000000,213832000000,167675000000,184501000000,192328000000,198216000000,208130000000,198539000000,196338000000,174713000000,174012000000,166838000000,154196000000,164302000000,175339000000,193736000000,191163000000,159392000000,174031000000,140656000000,153453000000,157475000000,158880000000,159576000000,153106000000,179130000000
DebtFinEBITDA,180,610,1200,810,,-50,910,,,2820,1540,5500,,-9030,-4760,-2160,,-360,-240,-80,-200,960,1000,1410,1740,-20850,2530,2720,1910,1790,7100,4770,4580,4300,4420,3340,3430,2990,2790,2980,2580,-410,-410,-340,-350,6560,10710,8980,7860,3100,2610,3500
SP1,1590,1280,1140,750,,1250,870,,,790,940,800,,650,650,830,,860,860,880,870,950,940,930,900,730,760,750,740,760,760,750,790,790,790,820,830,830,820,830,830,870,870,900,890,890,890,880,880,890,880,930
SP2,1770,1390,1260,950,,1360,980,,,980,1110,980,,790,790,940,,940,940,960,1020,1120,1110,1090,1060,900,930,920,840,860,860,840,960,950,960,990,980,990,990,990,1020,1040,1050,1060,1060,1040,1040,1010,1050,1010,1000,1030
CAR,530,150,40,110,,580,90,,,120,380,230,,100,90,170,,130,210,240,360,260,200,150,60,70,130,50,190,100,90,80,110,120,150,140,120,150,150,150,170,120,90,170,150,310,200,170,190,150,130,20
QR,2000,1350,1050,670,,2520,780,,,740,1130,830,,460,510,590,,500,490,770,990,1390,1260,1120,1080,730,900,780,550,490,490,430,810,770,760,770,800,890,890,840,1070,610,580,630,630,620,500,500,610,570,480,690
