,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,38560410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,44260410000,53805810000,53805810000,62260410000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,10.08,,,256.09,,0.05,0.43,-10.61,-10.12,-9.31,-4.75,27.66,12.54,8.89,3.13,-12.70,-6.01,-3.81,-4.25,-57.02,27.57,9.65,2.83,75.46,-35.75,-41.12,-30.94,10.15,13.99,24.24
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-2.79,2.82,0.65,-0.55,-2.42,-8.48,1.20,0.35,2.49,22.66,-10.79,-2.91,-2.94,3.83,-3.94,-0.64,-3.39,-53.39,185.11,-14.59,-9.40,-20.47,4.40,-21.73,6.26,26.86,8.04,-14.70
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
