,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
ShareAmountCurrent,14400200000,14400200000,14400200000,14400200000,14400200000,17400200000,17400200000,17400200000,17400200000,17400200000,17400200000,17400200000,17400200000,17400200000,17400200000,17500200000,17500200000,17500200000,17500200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000,17550200000
WKCurrent,1130,1100,1370,1970,2020,2930,0,3240,3310,3380,0,3950,4000,4019,4290,4350,4410,4430,4680,4760,4840,4660,4840,4850,4580,5010,5090,4710,4860,4810,4870,4910,4910,4740,4980,4960,5040,5180
CWKCurrent,4000,4080,3290,2280,2230,1540,,1390,1360,1330,,1140,1130,1120,1050,1030,1020,1020,960,950,930,970,930,930,980,900,880,960,930,940,920,920,920,950,900,910,890,870
WKGrahamCurrent,1080,1080,500,1100,1130,2140,0,2430,2500,2560,0,2820,2850,2900,3150,3260,3340,3320,3600,3700,3810,3610,3820,3890,3620,4070,4160,3890,4030,4000,4059,4120,4130,3970,4230,4210,4260,4430
CWKGrahamCurrent,4160,4150,9070,4080,3980,2110,,1850,1800,1760,,1600,1580,1550,1430,1380,1350,1350,1250,1220,1180,1250,1180,1160,1240,1110,1080,1160,1120,1130,1110,1090,1090,1130,1070,1070,1060,1020
PCurrent,3130,4330,5310,4480,4610,3730,4190,4420,4550,4880,4800,4960,5050,5240,5770,5830,5780,5800,5810,5740,5790,5490,4930,4620,4580,4510,4800,4800,4740,4660,4160,4100,4040,4059,4290,4130,4150,4360
CPCurrent,1440,1040,850,1000,980,1210,1070,1020,990,920,940,910,890,860,780,770,780,780,770,780,780,820,910,970,980,1000,940,940,950,970,1080,1100,1120,1110,1050,1090,1080,1030
ZCurrent,480,790,390,600,650,460,470,520,540,560,560,770,740,790,830,600,620,630,620,620,650,540,470,390,350,350,430,400,410,470,350,420,360,320,420,350,430,500
CZCurrent,9310,5700,11410,7460,6910,9860,9510,8570,8290,8050,8050,5850,6050,5670,5430,7490,7290,7200,7230,7270,6960,8300,9560,11480,12700,12990,10430,11230,10910,9630,12920,10800,12490,13950,10790,12700,10480,9060
ZOCurrent,480,790,520,800,830,610,600,700,700,760,650,640,660,670,800,840,790,780,800,750,800,700,580,460,430,430,530,490,510,540,440,510,460,450,550,500,530,570
CZOCurrent,9320,5700,8600,5610,5410,7340,7510,6450,6430,5950,6960,7050,6820,6730,5590,5380,5700,5800,5640,6010,5650,6420,7760,9790,10480,10380,8560,9160,8880,8370,10320,8860,9820,9990,8180,9010,8420,7900
EVCurrent,4460,4510,5050,5250,5210,3710,4500,3700,3720,3750,4500,3860,3760,3490,3320,3160,3120,2920,3390,3360,3220,2920,3070,2820,2820,2690,2500,2520,2290,2080,2240,2270,2140,1980,2180,2250,1990,1560
EVPCurrent,1420,1040,950,1170,1130,1000,1070,840,820,770,940,780,750,670,580,540,540,500,580,590,560,530,620,610,620,600,520,520,480,450,540,550,530,490,510,550,480,360
EVEBITCurrent,9230,5710,9660,6540,6270,6050,7510,5310,5310,4950,6960,6050,5710,5220,4120,3770,3950,3770,4250,4490,4040,4160,5280,6140,6580,6200,4760,5130,4520,3870,5140,4460,4660,4390,3960,4510,3720,2740
EVEBITDACurrent,8980,5570,9190,6330,6070,5810,7190,5100,5080,4740,6520,5660,5330,4830,3840,3520,3670,3540,4000,4200,3790,3880,4850,5580,5930,5460,4390,4640,4100,3520,4680,4010,4160,3920,3540,4110,3420,2530
DTAR,270,450,620,380,400,250,,160,190,260,,160,160,260,230,160,160,290,220,120,110,200,150,120,170,160,160,100,100,200,140,80,110,190,140,80,110,180
CG,370,810,1630,620,680,330,,200,230,350,,180,180,340,300,190,190,410,280,140,120,240,170,140,210,190,190,110,120,250,160,80,120,240,160,80,130,210
LDER,,,30,30,20,10,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
PZAT,,,5940,5190,5980,7120,,7270,8580,10130,,8220,7570,9880,10510,14810,14600,10300,10300,11590,12370,10580,10770,33010,33010,10530,10770,94880,34210,35720,40770,32910,32479,47220,33730,32850,46730,52430
PELDR,,,1620,2330,2330,3740,,4040,4130,4150,,3540,3550,3630,3900,4010,4140,4040,4350,4520,4700,4490,4750,5060,4780,5370,5510,5750,5860,5950,6070,6210,6260,6190,6580,6610,6490,6910
TSF,,,390,640,610,760,,850,820,750,,850,860,750,780,850,850,720,790,880,900,810,860,880,830,850,850,900,900,800,860,930,900,810,860,920,890,820
ZKO,280,450,820,520,550,310,,210,230,320,,210,200,320,290,200,200,350,260,150,130,240,180,150,210,190,190,120,120,230,160,90,120,220,160,90,130,200
OSF,7220,29410,1280,1190,1250,1150,,830,950,1300,,720,720,1160,1110,790,820,1410,1140,670,620,1070,850,750,990,1010,1020,700,720,1370,1000,550,770,1380,1070,590,840,1380
NetDebt,5369000000,12298000000,31469000000,16116000000,17360000000,2410000000,,-3463000000,-1087000000,6908000000,,877000000,-746000000,5689000000,882000000,-9823000000,-9929000000,3537000000,2927000000,-8769000000,-12356000000,-8024000000,-10838000000,-17857000000,-13099000000,-15309000000,-18563000000,-25476000000,-29268000000,-21727000000,-25849000000,-32438000000,-31466000000,-24524000000,-26706000000,-32541000000,-33199000000,-32366000000
NetDebtEBITDA,750,1050,3970,1350,1400,220,,-270,-90,500,,70,-60,450,60,-630,-670,250,200,-630,-830,-610,-980,-2009,-1570,-1770,-1850,-2670,-2980,-2100,-3070,-3270,-3490,-2770,-2470,-3380,-3250,-2990
DebtFin,-614000000,173000000,7965000000,10745000000,10274000000,-13728000000,,-13839000000,-13603000000,-13109000000,,-11088000000,-12821000000,-17628000000,-20581000000,-23515000000,-24145000000,-27653000000,-19362000000,-19993000000,-22426000000,-27710000000,-25185000000,-29431000000,-29431000000,-31816000000,-35027000000,-34787000000,-38757000000,-42446000000,-39634000000,-39187000000,-41473000000,-44301000000,-40709000000,-39425000000,-44066000000,-51612000000
DebtFinEBITDA,-90,10,1010,900,830,-1240,,-1090,-1070,-950,,-930,-1040,-1400,-1370,-1500,-1620,-1920,-1300,-1430,-1500,-2100,-2270,-3310,-3520,-3690,-3500,-3650,-3950,-4090,-4710,-3950,-4600,-5010,-3760,-4100,-4310,-4770
SP1,26010,65290,1570,2270,2270,3690,,3990,4080,4110,,3490,3500,3590,3860,3980,4120,4010,4320,4490,4680,4450,4710,5050,4770,5330,5480,5750,5850,5930,6060,6200,6240,6190,6570,6600,6480,6900
SP2,26010,65290,1620,2330,2330,3740,,4040,4130,4150,,3540,3550,3630,3900,4010,4140,4040,4350,4520,4700,4490,4750,5060,4780,5370,5510,5750,5860,5940,6070,6210,6260,6190,6580,6610,6490,6910
CAR,100,40,20,80,120,890,,1400,1140,680,,1000,1140,790,990,1750,1740,910,900,1850,2320,1440,1810,2540,1810,1980,2180,3710,4040,2050,2870,5740,4140,2240,2890,5620,4019,2670
QR,1150,600,240,440,640,1620,,2550,2160,1540,,2360,2390,1630,2009,2790,2770,1620,2040,3370,3860,2240,3010,3710,2640,3400,3640,5080,5250,2780,3950,7380,5310,2990,4240,7290,5050,3440
CR,3600,2220,1250,1990,1890,3350,,5160,4520,3250,,5230,5290,3200,3590,5210,5200,2900,3890,6990,7900,4290,5790,6830,4860,5450,5560,8260,8310,4370,6150,11540,8200,4510,6220,11460,7780,5010
PP,100,40,20,80,120,890,,1400,1140,680,,1000,1140,790,990,1750,1740,910,900,1850,2320,1440,1810,2540,1810,1980,2180,3710,4040,2050,2870,5740,4140,2240,2890,5620,4019,2670
RCLR,1050,550,200,300,460,680,,1130,960,830,,1210,1140,770,970,940,920,650,1070,1390,1390,730,1090,1020,730,1300,1320,1120,980,620,920,1310,960,650,1230,1460,880,670
KP,700,550,150,360,350,560,,640,620,570,,610,620,550,580,640,640,540,610,690,710,630,680,710,660,690,690,740,740,670,720,780,750,680,730,790,750,710
PKKO,480,350,130,380,380,860,,780,770,740,,790,790,770,760,800,820,810,880,900,920,930,1100,1160,1090,1250,1200,1120,1190,1210,1380,1440,1440,1360,1400,1420,1450,1450
RN,7200,8890,12370,8790,8060,7860,8830,7360,6850,6330,6220,6040,5950,5980,6050,6280,6270,6090,5840,5600,5600,5790,5940,5900,6020,5260,5080,5200,5340,6040,6410,6540,6410,6440,6130,5760,5770,6040
CRN,51000,41000,30000,42000,45000,46000,41000,50000,53000,58000,59000,60000,61000,61000,60000,58000,58000,60000,63000,65000,65000,63000,61000,62000,61000,69000,72000,70000,68000,60000,57000,56000,57000,57000,59000,63000,63000,60000
CPZ,48000,75000,150000,134000,109000,97000,87000,72000,60000,61000,62000,62000,60000,63000,62000,63000,65000,72000,72000,71000,66000,59000,57000,62000,70000,67000,66000,63000,56000,63000,67000,65000,67000,65000,62000,64000,65000,62000
RZ,2240,2160,1870,1540,1760,1730,2040,2120,2050,2040,2029,1950,1890,1920,2140,2120,2120,2090,1990,1910,1850,1750,1580,1540,1560,1620,1810,1890,1950,1900,1710,1690,1690,1760,1870,1810,1780,1840
CRZ,163000,169000,195000,237000,207000,211000,179000,172000,178000,179000,180000,187000,193000,190000,171000,172000,172000,175000,184000,191000,197000,208000,231000,237000,234000,226000,202000,193000,187000,192000,214000,216000,215000,207000,196000,201000,205000,198000
RMO,2090,2190,1950,1730,1820,1580,1770,1610,1450,1460,1430,1410,1390,1380,1460,1430,1370,1310,1270,1240,1240,1200,1090,1010,990,960,1000,1000,990,960,870,860,840,850,880,850,840,870
RMT,72440,256350,6090,5170,5250,4980,5600,5660,5650,5990,5880,5390,4900,4640,5130,5250,5280,5310,5340,5330,5410,5200,4730,4550,4590,4640,5060,5270,5390,5500,5100,5070,5060,5170,5530,5400,5440,5730
RM,2029,2170,1480,1300,1350,1200,1350,1250,1150,1170,1150,1120,1090,1060,1140,1130,1090,1050,1030,1010,1010,970,880,820,810,800,830,840,840,820,750,730,720,730,760,730,730,750
COP,214000,210000,225000,279000,252000,257000,220000,222000,231000,237000,239000,247000,254000,251000,231000,230000,230000,235000,247000,256000,262000,271000,292000,299000,295000,295000,274000,263000,255000,252000,271000,272000,272000,264000,255000,264000,268000,258000
CSP,166000,135000,75000,145000,143000,160000,133000,150000,171000,176000,177000,185000,194000,188000,169000,167000,165000,163000,175000,185000,196000,212000,235000,237000,225000,228000,208000,200000,199000,189000,204000,207000,205000,199000,193000,200000,203000,196000
