,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
ShareAmountCurrent,5054544000,5054544000,5054544000,5054544000,5054544000,5054544000,5054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000,6054544000
WKCurrent,4130,4990,4480,5190,5730,6930,7690,9000,9110,9290,10040,10450,10600,10610,11030,12060,12070,11200,12130,13060,12930,13260
CWKCurrent,5820,4810,5360,4620,4190,3460,3120,2670,2630,2580,2390,2300,2260,2260,2180,1990,1990,2140,1980,1840,1860,1810
WKGrahamCurrent,390,1190,-1310,-200,190,1660,2510,4580,4800,5020,5400,5390,5360,4460,4460,5430,5260,4270,5190,6040,5660,5650
CWKGrahamCurrent,61540,20210,,,126890,14460,9560,5240,5000,4780,4440,4460,4480,5380,5380,4420,4570,5630,4630,3980,4240,4240
PCurrent,20140,19980,23700,22840,29420,30670,31110,26170,26510,28000,28590,29640,30550,31280,32790,33640,34520,35010,36300,38040,39130,39810
CPCurrent,1190,1200,1010,1050,820,780,770,920,910,860,840,810,790,770,730,710,700,690,660,630,610,600
ZCurrent,550,1150,60,720,600,1950,1980,1880,1620,1920,2040,2200,2220,2020,1700,2320,2340,1930,2300,2220,2180,3180
CZCurrent,43740,20930,436360,33110,39980,12310,12090,12760,14810,12500,11790,10930,10810,11870,14080,10360,10260,12400,10450,10820,11000,7550
ZOCurrent,1250,1820,1480,900,1520,2850,2930,2660,2720,2830,2620,2960,2890,2850,2790,3090,2970,3160,3580,4200,4150,4360
CZOCurrent,19230,13200,16230,26670,15830,8410,8189,9020,8830,8490,9150,8109,8290,8410,8620,7760,8090,7600,6700,5710,5780,5500
