,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000
ShareAmountCurrent,592210843000,592210843000,592210843000,592210843000,592210843000,592210843000,592210843000,592210843000,592210843000,592210843000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000,537989759000
WKCurrent,39650,45850,48460,42420,0,39000,42060,39750,0,45810,59430,56890,0,57870,62250,60210,0,65030,72270,66490,0,72140,76730,70770,73180,75820,80590,79260,78800,72580,75920,71880,72560,74650,75000,74040,75800,78530,82500,79060,77140,78140,77250,75690,76700,75840,80550,74560
CWKCurrent,2300,1980,1880,2150,,2330,2160,2290,,1990,1530,1600,,1570,1460,1510,,1400,1260,1370,,1260,1190,1290,1240,1200,1130,1150,1150,1250,1200,1270,1250,1220,1210,1230,1200,1160,1100,1150,1180,1160,1180,1200,1190,1200,1130,1220
WKGrahamCurrent,-20000,-22190,-19440,-23400,0,-29330,-32000,-34570,0,-42530,-46540,-55850,0,-60160,-53600,-66800,0,-65500,-63100,-70040,0,-75990,-68180,-76670,-72360,-72920,-67000,-69140,-65220,-62760,-61760,-65190,-64090,-66190,-62250,-66700,-65160,-64750,-61070,-70760,-65280,-69370,-61680,-65830,-69530,-70880,-66420,-74250
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,28070,35080,36050,36380,37830,39730,41030,42490,42570,48640,53790,56750,59770,56720,58710,58270,58410,58400,60420,61280,63160,66710,67700,69590,68960,65170,65160,65470,65319,61020,61900,59110,57020,56650,55950,56240,57180,60580,59400,59660,59490,61470,60650,60310,60730,60220,58210,57000
CPCurrent,3240,2590,2520,2500,2410,2290,2220,2140,2140,1870,1690,1600,1520,1600,1550,1560,1560,1560,1510,1490,1440,1360,1340,1310,1320,1400,1400,1390,1390,1490,1470,1540,1600,1610,1630,1620,1590,1500,1530,1530,1530,1480,1500,1510,1500,1510,1560,1600
ZCurrent,4810,6510,7160,7470,8180,9460,10200,11560,12480,12300,14250,15910,16480,14890,15070,13360,13060,13820,14070,12780,10190,12960,12050,13970,15130,12550,13510,12880,12060,10090,8290,7020,6570,6400,5610,5780,5440,6080,6710,5610,5470,4350,3820,4990,4690,5690,5260,3060
CZCurrent,18920,13970,12700,12180,11120,9620,8920,7870,7290,7400,6390,5720,5520,6110,6040,6810,6970,6590,6470,7120,8930,7020,7550,6510,6010,7250,6730,7060,7550,9020,10980,12970,13860,14220,16230,15740,16740,14970,13560,16230,16620,20940,23840,18220,19400,15990,17310,29740
ZOCurrent,6600,9420,9800,10180,11310,12110,13440,14880,16000,17630,19920,20800,20860,19700,19480,18530,18540,19030,19080,18270,17960,19570,19260,20690,19530,17300,17810,17280,15510,12850,11400,9850,10150,10560,9710,9630,9260,8490,8690,7570,7670,7950,7350,7490,7100,7770,7430,6470
CZOCurrent,13790,9660,9290,8940,8050,7510,6770,6110,5690,5160,4570,4380,4360,4620,4670,4910,4910,4780,4770,4980,5070,4650,4720,4400,4660,5260,5110,5270,5870,7080,7980,9240,8960,8620,9370,9450,9830,10720,10470,12020,11860,11450,12380,12150,12820,11710,12250,14060
EVCurrent,95900,94600,92420,94800,91000,104850,107380,108560,91000,114560,116840,116560,91000,128570,123060,128060,91000,132790,134520,132540,91000,144240,139230,141710,145780,128360,123050,122410,128370,126750,120890,121130,128410,125140,123630,123820,124090,122610,118010,123960,124980,120250,121730,119670,121270,117430,115510,101790
EVPCurrent,3420,2700,2560,2610,2410,2640,2620,2560,2140,2360,2170,2050,1520,2270,2100,2200,1560,2270,2230,2160,1440,2160,2060,2040,2110,1970,1890,1870,1970,2080,1950,2050,2250,2210,2210,2200,2170,2020,1990,2080,2100,1960,2009,1980,2000,1950,1980,1790
EVEBITCurrent,14530,10040,9430,9310,8050,8660,7990,7290,5690,6500,5860,5600,4360,6530,6320,6910,4910,6980,7050,7250,5070,7370,7230,6850,7460,7420,6910,7090,8280,9860,10600,12300,12650,11860,12730,12860,13400,14440,13580,16379,16290,15130,16560,15970,17090,15110,15550,15730
EVEBITDACurrent,8029,5950,5700,5750,5330,5880,5580,5240,4190,4740,4350,4140,3170,4580,4350,4690,3320,4740,4740,4790,3270,4990,4860,4700,5040,4790,4480,4510,5040,5840,5850,6410,6790,6440,6650,6670,6770,6860,6570,7290,7310,6780,7130,6930,7060,6600,6640,6200
DTAR,410,440,430,460,,500,510,590,,610,600,620,,610,570,630,,580,580,610,,610,590,640,610,600,580,610,590,590,580,590,560,580,560,570,560,550,540,570,560,580,560,570,590,590,570,630
CG,750,830,790,930,,1090,1100,1560,,1660,1610,1760,,1620,1370,1750,,1430,1410,1610,,1610,1450,1820,1580,1530,1400,1570,1440,1460,1390,1470,1310,1390,1320,1350,1310,1230,1210,1330,1320,1440,1300,1330,1440,1490,1360,1770
LDER,570,480,450,480,,630,570,600,,710,660,770,,880,810,980,,890,840,990,,990,870,1070,1000,960,910,970,880,930,930,900,870,970,890,890,870,880,880,950,910,930,880,910,950,970,900,1000
PZAT,2510,2790,2770,2860,,2510,2640,2680,,2330,2300,2130,,1830,1820,1680,,1790,1790,1660,,1690,1770,1590,1640,1700,1680,1650,1800,1740,1650,1810,1820,1650,1720,1790,1810,1720,1640,1630,1720,1720,1750,1760,1710,1710,1700,1650
PELDR,990,1020,1070,1000,,950,920,900,,900,950,930,,950,1010,980,,980,1020,1010,,1000,1030,1040,1060,1090,1130,1140,1120,1110,1150,1060,1070,1060,1110,1060,1080,1050,1100,1040,1050,1040,1060,1040,1040,1040,1080,1040
TSF,850,780,780,740,,750,720,610,,620,620,630,,710,750,710,,770,750,750,,750,760,730,770,770,790,760,760,780,800,760,800,820,810,800,800,840,850,830,820,790,810,820,790,790,790,710
ZKO,3030,2420,2029,2470,,3230,3230,2260,,2270,1950,2260,,2810,2680,2720,,3380,2620,2880,,2880,2600,2480,2680,2700,2450,2240,2340,2440,2400,2610,3050,2780,2710,2990,2890,3010,2580,3040,2780,2620,2610,2900,2700,2690,2550,2280
OSF,1910,1560,1390,1520,,1770,1760,1170,,1130,1050,1100,,1360,1420,1270,,1670,1390,1390,,1400,1370,1180,1330,1370,1330,1190,1270,1300,1310,1360,1610,1460,1470,1560,1540,1640,1470,1590,1490,1370,1430,1540,1410,1380,1420,1160
NetDebt,111171000000000,118894000000000,111560000000000,134667000000000,,163702000000000,174409000000000,197443000000000,,214225000000000,198058000000000,224812000000000,,267151000000000,239568000000000,273834000000000,,277998000000000,273685000000000,296453000000000,,314480000000000,295021000000000,324988000000000,317204000000000,312265000000000,286809000000000,301419000000000,296511000000000,305720000000000,280708000000000,290653000000000,291805000000000,297389000000000,291911000000000,295125000000000,287978000000000,280865000000000,265326000000000,293061000000000,287891000000000,297226000000000,284047000000000,284424000000000,299278000000000,306840000000000,296018000000000,316377000000000
NetDebtEBITDA,2090,1760,1600,1810,,2090,2130,2250,,2340,2340,2560,,2750,2390,3000,,2910,2930,3260,,3460,3210,3340,3330,3530,3140,3440,3550,3960,3840,4330,4350,4370,4340,4540,4560,4600,4330,5240,4990,5100,4820,4930,5360,5230,5250,6030
DebtFin,21814000000000,15286000000000,6093000000000,17181000000000,,60829000000000,69677000000000,74273000000000,,89098000000000,81376000000000,79616000000000,,130083000000000,113695000000000,123914000000000,,142281000000000,143275000000000,136198000000000,,167387000000000,154628000000000,163952000000000,180352000000000,123309000000000,106358000000000,101258000000000,122517000000000,127108000000000,105803000000000,106979000000000,132582000000000,119504000000000,118117000000000,114800000000000,114111000000000,107828000000000,92081000000000,108382000000000,114550000000000,96131000000000,106051000000000,95750000000000,98399000000000,87124000000000,79498000000000,34495000000000
DebtFinEBITDA,410,230,90,230,,780,850,850,,970,960,910,,1340,1130,1360,,1490,1530,1500,,1840,1680,1680,1890,1390,1170,1160,1470,1650,1450,1600,1980,1760,1760,1770,1810,1770,1500,1940,1990,1650,1800,1660,1760,1490,1410,660
SP1,630,650,680,620,,550,550,520,,500,540,490,,480,530,470,,490,530,480,,490,530,480,500,510,540,530,540,530,550,520,530,530,540,520,530,540,570,520,540,520,550,530,520,510,560,510
SP2,990,960,990,910,,890,860,820,,850,900,860,,910,960,930,,940,970,960,,960,990,990,1000,990,1030,1040,1020,1020,1050,980,990,1030,1020,980,990,1020,1070,1020,1020,1020,1040,1010,1010,1010,1050,1020
CAR,510,500,580,360,,160,110,60,,100,130,200,,180,230,320,,190,140,210,,150,160,240,160,490,660,660,520,520,750,580,410,590,570,460,470,530,810,540,520,560,550,480,490,500,490,580
QR,1200,620,730,460,,440,350,510,,620,720,610,,620,680,640,,550,680,630,,670,690,740,700,570,720,810,680,730,820,650,520,950,690,580,580,910,1180,940,940,920,1010,910,870,870,970,890
CR,1330,1000,1160,850,,730,640,720,,770,870,790,,790,910,840,,790,940,890,,890,960,990,1030,1000,1150,1170,1080,1110,1260,980,980,1190,1150,970,1020,1170,1430,1150,1150,1090,1190,1100,1090,1060,1160,1010
PP,660,630,760,510,,290,240,400,,440,580,500,,390,510,510,,330,450,400,,360,430,530,460,490,660,660,520,520,750,580,410,590,570,460,470,530,810,540,520,560,550,480,490,500,490,580
