,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000,45011120000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,43.43,15.91,,-58.20,,,,1669.24,36.09,17.06,,-15.53,-25.53,-30.65,-66.52,-76.99,-85.18,-105.84,-181.49,-264.57,-393.10,-786.73,-41.43,-27.27,-28.20,-32.80,-22.05,-12.70,-14.59,-1.93,-1.66
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,1214.26,17.17,-100.00,,1.09,0.79,-0.07,-17.04,-10.88,-6.14,-51.77,-42.97,-42.61,-136.99,-573.01,-15.17,-2.22,-11.92,-7.34,-3.64,-2.96,-15.94,1.35,4.29,-4.68,-3.13,1.61
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
