,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800
ShareAmountCurrent,30000000000,30000000000,30000000000,30000000000,30000000000,45000000000,45000000000,45000000000,45000000000,45000000000,45000000000,45000000000
WKCurrent,1200,1740,2320,3360,4380,8940,9060,9300,9430,9770,9940,9950
CWKCurrent,26470,18280,13700,9460,7260,3560,3510,3420,3370,3250,3200,3190
WKGrahamCurrent,-540,-120,-230,-750,-280,4630,4660,4360,4200,3760,3500,2990
CWKGrahamCurrent,,,,,,6870,6820,7290,7570,8450,9090,10650
PCurrent,1340,2390,3270,3580,3710,2860,2560,2530,2860,2380,2380,2410
CPCurrent,23790,13320,9720,8870,8580,11110,12410,12560,11120,13360,13390,13190
ZCurrent,40,600,1740,1240,1410,840,610,630,490,570,630,610
CZCurrent,715410,53120,18270,25660,22530,37850,52320,50190,64739,55870,50850,52380
ZOCurrent,80,740,990,1570,1750,1050,730,700,510,580,640,680
CZOCurrent,376240,43150,32000,20210,18220,30410,43450,45140,61830,55060,49410,46970
EVCurrent,31610,31670,31850,32150,32390,27030,26960,27170,27330,27400,27540,27820
EVPCurrent,23640,13260,9740,8970,8730,9450,10520,10730,9550,11510,11590,11540
EVEBITCurrent,373940,42970,32049,20430,18550,25850,36840,38580,53140,47440,42790,41100
EVEBITDACurrent,130960,35490,27400,17420,14840,20140,25210,26470,32910,28510,26410,25570
DTAR,480,370,340,400,340,130,140,130,140,160,160,190
CG,940,580,510,670,500,150,160,160,160,190,200,230
LDER,540,380,250,310,260,120,120,40,120,150,150,40
PZAT,2000,2080,3290,3250,3200,2360,2310,7300,2450,2029,2200,8109
PELDR,1210,1330,1170,1110,1210,2330,2330,2110,2029,1880,1780,1680
TSF,800,870,830,780,840,970,970,900,970,960,960,850
ZKO,1920,1130,1230,1500,1140,230,240,250,270,330,360,430
OSF,1330,1060,1120,1230,1080,470,490,470,480,540,550,620
NetDebt,27435798000,24141484000,35168558000,64059000000,62677000000,-160383000000,-159993000000,-144407000000,-136786000000,-116152000000,-107178000000,-76972000000
NetDebtEBITDA,3790,900,1010,1160,960,-2660,-3320,-3130,-3660,-2690,-2280,-1570
DebtFin,-5839202000,-3873117000,1427379000,10415000000,17561000000,-214518000000,-217707000000,-208212000000,-201090000000,-198049000000,-191745000000,-178960000000
DebtFinEBITDA,-810,-140,40,190,270,-3550,-4520,-4510,-5380,-4580,-4090,-3660
SP1,690,940,910,820,940,2070,2060,1880,1800,1630,1540,1430
SP2,1060,1290,1140,1070,1190,2320,2310,1960,2020,1870,1770,1490
CAR,430,570,0,80,20,15500,14580,4300,11920,10610,9590,2160
QR,400,1410,1040,560,850,17350,16390,4260,13820,12280,10990,1890
CR,1240,2510,1590,1230,1820,18970,17920,5370,14970,13420,12060,2850
PP,440,580,40,90,110,15600,14670,4300,11930,10610,9590,2160
RCLR,470,960,1100,570,810,1910,1850,620,1920,1780,1480,400
KP,50,200,100,50,130,550,550,440,490,450,420,280
PKKO,1040,1590,710,400,1330,11990,13420,9240,13800,11890,13930,39770
RN,5990,6970,4850,5200,4770,5160,4420,4090,4350,3430,3380,3330
CRN,61000,52000,75000,70000,77000,71000,83000,89000,84000,106000,108000,110000
CPZ,129000,54000,68000,124000,99000,70000,73000,88000,68000,85000,90000,118000
RZ,1900,1540,2710,1490,1390,1480,1470,1710,1650,1970,1850,1190
CRZ,192000,237000,135000,246000,262000,247000,248000,214000,222000,185000,197000,306000
RMO,2280,2670,3380,2390,2180,1200,700,530,480,410,420,440
RMT,770,1280,1280,870,870,880,700,600,610,460,420,390
RM,570,870,930,640,620,510,350,280,270,220,210,210
COP,253000,289000,210000,316000,339000,318000,331000,303000,306000,291000,305000,416000
CSP,124000,235000,142000,192000,240000,248000,258000,215000,238000,206000,215000,298000
