,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,34833295000,34833295000,34068252000,34068252000,34068252000,34068252000,34068252000,34068252000,34068252000,34231466000,34231466000,34307488000,34307488000,34595597000,34595597000,34595597000,34595597000,34595597000,32863203000,32863203000,32863203000,32863203000,32863203000,32863203000,32863203000,32863203000,32863203000,32863203000,39354020000,39354020000,39354020000,39354020000,39354020000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,13.88,8.92,,,,-34.19,-33.43,-45.45,,-29.72,-30.66,-19.85,,-15.05,-15.04,-10.30,7.38,29.29,40.98,32.84,13.73,11.46,3.48,10.75,10.21,-0.87,5.36,-9.83,-8.62,-11.86,-14.79,-28.07
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-1.49,-1.24,-100.00,,-0.36,-19.06,-100.00,,-1.68,-6.45,-2.64,-5.14,-1.68,-1.22,16.55,14.21,7.21,-6.92,-0.22,11.93,-0.46,-0.38,-0.71,0.68,5.80,-14.74,0.62,-2.89,2.28,-28.03
