,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
QuoteCurrent,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
ShareAmountCurrent,20206109000,22255150000,22255150000,22255150000,28262500000,28262500000,28262500000,28262500000,28262500000,28262500000,32012500000,32012500000,62512500000,62512500000,62512500000,62512500000,62512500000,62512500000,63262500000,71462500000,71462500000,82662500000,96662500000,96662500000,96662500000,96662500000,121662500000,121662500000,250000000000,139917300000,139917300000,139917300000,139917300000,139917300000,250000000000,250000000000,250000000000,250000000000,250000000000,5490000000,5490000000,5490000000,5490000000,15000000000,15000000000,15000000000,15000000000
WKCurrent,-470,-400,-400,-30,0,450,690,580,0,720,2500,650,0,990,990,1040,0,1000,970,830,0,1130,1240,1410,0,1410,1290,1480,1140,210,180,-150,-170,130,60,40,40,10,10,590,230,90,190,690,700,170,530
CWKCurrent,,,,,,510,330,400,,320,90,360,,230,230,220,,230,240,280,,200,190,160,,160,180,160,200,1120,1280,,,1780,3690,5270,5510,16660,17070,390,1010,2680,1190,330,330,1330,440
WKGrahamCurrent,-830,-800,-800,-430,0,70,390,140,0,160,130,150,0,30,30,70,0,30,50,-60,0,-110,470,670,0,500,220,350,670,-310,-240,-540,-550,-240,-30,-40,-40,-50,-50,-2390,-1760,-2540,-2420,-80,-70,-500,-210
CWKGrahamCurrent,,,,,,3250,580,1590,,1470,1810,1500,,8530,7010,3110,,7950,4550,,,,490,340,,460,1050,660,340,,,,,,,,,,,,,,,,,,
PCurrent,1260,1100,1040,940,720,690,720,700,750,790,710,710,450,590,710,800,770,680,600,510,540,500,440,420,340,250,150,150,60,110,120,100,90,60,20,0,0,0,0,110,100,100,90,30,30,30,40
CPCurrent,180,210,220,240,320,330,320,330,300,290,320,320,510,390,330,290,300,340,380,450,420,460,520,550,670,930,1490,1580,3610,2060,2000,2320,2480,3980,13790,48560,,85820,98290,2170,2240,2370,2530,7160,6960,6730,6520
ZCurrent,0,-160,-150,-60,0,10,100,90,90,120,30,10,240,190,190,230,-20,10,-10,-220,40,120,230,500,400,300,150,40,-10,-1870,-1900,-2250,-2260,-80,-20,150,150,-50,-50,-1620,-1900,-10,-70,0,140,-480,-190
CZCurrent,,,,,151170,18410,2220,2430,2540,1870,7510,32580,970,1230,1230,990,,17360,,,6250,1890,1020,460,580,760,1560,6230,,,,,,,,1580,1510,,,,,,,66350,1670,,
ZOCurrent,-30,-90,-90,-60,10,-10,-50,-50,-60,-40,0,-20,-10,-60,-60,-50,-60,-50,-70,-80,-60,100,220,390,460,340,180,90,20,-1710,-1700,-1750,-1760,90,40,50,50,-10,-10,-360,-370,-840,-860,-280,-260,-540,-540
CZOCurrent,,,,,41940,,,,,,,,,,,,,,,,,2250,1060,600,500,680,1280,2490,13830,,,,,2500,5580,4380,4240,,,,,,,,,,
EVCurrent,160,180,210,220,230,-340,-160,-120,230,-40,70,110,230,190,180,180,230,190,210,220,230,210,210,220,230,220,220,220,230,220,230,230,230,230,230,230,230,230,230,210,220,220,220,230,230,230,230
EVPCurrent,120,170,200,230,320,-500,-220,-180,300,-50,90,160,510,320,260,220,300,280,350,430,420,420,480,540,670,890,1430,1540,3570,1980,1960,2270,2460,3960,13780,48520,,85780,98220,1980,2190,2280,2420,7150,6950,6710,6510
EVEBITCurrent,-4870,-1990,-2360,-3980,41940,26330,3400,2320,-3670,1130,-15470,-5880,-16140,-3060,-3340,-3520,-3880,-3860,-2920,-2670,-3890,2080,970,580,500,650,1230,2420,13680,-130,-130,-130,-130,2490,5570,4380,4240,-25260,-36620,-590,-610,-260,-260,-830,-870,-430,-430
EVEBITDACurrent,16090,-2810,-3150,-6830,10200,-123300,4970,3420,-5170,2370,4380,918470,479260,-4080,-4770,-5450,-5010,-5780,-3770,-3230,-6150,1710,880,550,480,620,1170,2210,10920,-130,-130,-130,-130,2280,5120,4170,4120,-27870,-42220,-660,-660,-270,-270,-860,-910,-430,-440
DTAR,1430,1420,1490,1050,,620,300,430,,330,90,270,,280,270,190,,180,190,370,,380,260,220,,350,400,370,280,750,850,1100,1160,840,830,810,820,930,940,930,970,990,980,750,720,920,790
CG,-3310,-3480,-3120,-25250,,1630,430,730,,470,100,370,,390,360,230,,220,230,590,,670,370,280,,540,660,580,380,3710,6850,-7900,-7190,5300,5030,4310,4540,13930,14430,14180,34200,92040,40400,2940,2630,11120,3810
LDER,-1960,-1790,-1700,-12630,,780,200,170,,150,30,120,,110,100,80,,70,70,70,,100,20,20,,200,240,210,130,70,2580,-80,-30,40,160,240,250,900,170,300,360,1290,570,70,70,350,110
