,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900,11900
ShareAmountCurrent,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000,31610000000
WKCurrent,6840,7890,8710,8970,9300,9460,9690,9650,9530,9630,9440,7020,7300,7300,7550,6620
CWKCurrent,1740,1510,1370,1330,1280,1260,1230,1230,1250,1240,1260,1690,1630,1630,1580,1800
WKGrahamCurrent,-1390,-460,-950,-60,340,40,-30,-470,-430,650,820,-1590,-1320,-1450,-1320,-2490
CWKGrahamCurrent,,,,,35150,292280,,,,18230,14470,,,,,
PCurrent,18500,19640,24440,22790,22510,22540,22460,22750,23160,24390,24400,23790,22940,21240,21160,21210
CPCurrent,640,610,490,520,530,530,530,520,510,490,490,500,520,560,560,560
ZCurrent,530,950,840,750,1100,1090,850,800,480,190,230,400,430,810,790,740
CZCurrent,22500,12520,14170,15870,10780,10900,14040,14850,24790,61390,51200,29840,27820,14660,15140,16030
ZOCurrent,1680,1360,1200,860,910,790,720,730,660,750,740,990,1090,1050,1100,1050
CZOCurrent,7070,8750,9900,13820,13050,15000,16440,16219,17920,15880,15990,12040,10930,11370,10800,11310
EVCurrent,12070,11280,16230,11380,13300,14860,12960,12420,12680,13650,10660,13350,13310,15690,13470,13750
EVPCurrent,650,570,660,500,590,660,580,550,550,560,440,560,580,740,640,650
EVEBITCurrent,7170,8290,13500,13210,14580,18730,17900,16920,19090,18210,14320,13510,12230,15000,12220,13070
EVEBITDACurrent,5550,5560,9340,7920,8840,10980,10030,9440,10070,10070,7910,8400,7940,9650,7910,8230
DTAR,540,530,510,470,480,480,500,500,490,500,500,520,520,510,520,600
CG,1180,1240,1080,960,920,940,990,1000,980,1000,1000,1110,1080,1050,1080,1500
LDER,290,320,340,300,290,260,290,290,300,380,360,470,450,420,400,200
PZAT,1630,950,910,990,930,1040,910,910,910,730,730,750,740,790,820,1960
PELDR,1070,1560,1190,1270,1330,1260,1280,1230,1240,1470,1490,1190,1220,1180,1190,870
TSF,590,570,630,630,670,650,650,650,650,690,680,700,700,690,670,480
ZKO,1210,1050,1110,1010,960,1000,1000,1050,1050,940,920,1260,1200,1230,1190,1340
OSF,990,1240,990,980,990,990,990,1000,1000,1000,1000,1020,1010,1020,1010,970
NetDebt,53142000000,63597000000,56112000000,52244000000,51240000000,48792000000,54984000000,49729000000,50405000000,38531000000,37913000000,46085000000,46182000000,50355000000,51932000000,58322000000
NetDebtEBITDA,3160,4120,4350,4820,4570,4860,5740,5290,5460,3980,3760,3880,3760,4090,4059,4820
DebtFin,1304000000,-4742000000,32110000000,-3936000000,10448000000,21937000000,7829000000,3684000000,5700000000,12475000000,-9320000000,10813000000,10345000000,28726000000,11780000000,13440000000
DebtFinEBITDA,80,-310,2490,-360,930,2190,820,390,620,1290,-920,910,840,2330,920,1110
SP1,820,1180,890,980,1030,1000,990,950,950,1070,1090,810,840,830,850,720
SP2,1070,1560,1190,1270,1330,1260,1280,1230,1240,1470,1490,1190,1220,1180,1190,870
CAR,200,200,280,280,290,360,320,390,380,700,730,360,350,220,250,220
QR,1070,1250,1280,1410,1490,1360,1380,1310,1340,1670,1680,1350,1390,1310,1290,830
CR,1100,1280,1310,1440,1530,1390,1410,1350,1370,1710,1710,1390,1430,1350,1340,860
PP,200,200,280,280,290,360,320,390,380,700,730,360,350,220,250,220
RCLR,730,920,940,990,1060,910,1030,880,920,870,920,930,990,980,990,570
KP,40,110,110,140,170,140,140,120,130,220,230,120,130,110,110,-70
PKKO,40,140,100,150,180,150,160,130,130,220,220,90,110,110,110,-80
RN,4150,2920,4030,3860,3730,3770,3600,3540,3750,3960,4430,4640,4710,4620,4660,4350
CRN,88000,125000,91000,95000,98000,97000,101000,103000,97000,92000,82000,79000,77000,79000,78000,84000
CPZ,120000,135000,96000,98000,98000,99000,102000,107000,104000,99000,92000,86000,84000,83000,80000,100000
RZ,77510,73610,128479,102920,95570,87110,88070,84650,85920,87340,89390,88890,85750,81020,76050,68200
CRZ,5000,5000,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000
RMO,2750,2100,2900,2710,2610,2550,2490,2420,2540,2530,2600,2720,2750,2950,3290,3070
RMT,2220,2940,2490,2420,2410,2430,2380,2300,2350,2470,2660,2660,2610,2480,2430,2330
RM,1230,1060,1320,1240,1230,1230,1210,1180,1220,1250,1310,1340,1340,1350,1400,1320
COP,93000,130000,94000,99000,102000,101000,105000,107000,101000,96000,86000,83000,81000,84000,83000,89000
CSP,-27000,-5000,-2000,1000,4000,2000,3000,0,-3000,-3000,-6000,-3000,-3000,1000,3000,-11000
