,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
ShareAmountCurrent,49025000000,49025000000,49025000000,49025000000,49025000000,49025000000,49025000000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000,75026066000
WKCurrent,30,9330,10460,11480,11480,11580,16480,10500,9990,9600,9120,8770,8080,8770,8520,7320,7420,7280,7270,5900,5900,5350,5640,2800,2690,2480
CWKCurrent,10370,30,30,30,30,30,20,30,30,30,40,40,40,40,40,40,40,40,40,50,50,60,60,110,120,130
WKGrahamCurrent,2980,3120,2170,770,280,-50,-1100,-1170,-1720,-1950,-2460,-1630,-1880,3770,4030,3650,3800,4120,4120,-800,-820,-630,-810,-890,-880,-890
CWKGrahamCurrent,110,100,150,420,1150,,,,,,,,,80,80,90,80,80,80,,,,,,,
PCurrent,890,2220,1920,1550,1660,1830,2580,2110,2320,2190,2250,800,1000,550,90,870,330,840,610,630,550,450,430,330,310,40
CPCurrent,360,140,170,210,190,170,120,150,140,150,140,400,320,580,3530,370,960,380,530,510,580,710,740,970,1020,8870
ZCurrent,-150,380,1130,620,670,40,-350,-640,-1150,-1340,-1650,-1730,-1910,-330,-90,-950,-280,-1730,-1490,-1550,-1540,-1820,-1520,-3100,-3200,-2840
CZCurrent,,840,280,520,480,7380,,,,,,,,,,,,,,,,,,,,
ZOCurrent,-180,390,1210,810,920,270,-110,-340,-670,-560,-530,170,240,550,530,-580,-360,-860,-750,-1480,-1510,-1730,-1760,-3300,-3300,-2930
CZOCurrent,,830,260,390,350,1180,,,,,,1870,1330,580,600,,,,,,,,,,,
EVCurrent,-50,150,1560,2650,2690,2420,3600,2029,2890,3180,3310,2310,2140,1830,1640,1550,1550,1140,1160,1110,1110,900,1740,1430,1250,1270
EVPCurrent,-50,70,810,1710,1620,1320,1390,960,1240,1450,1470,2870,2140,3330,18100,1780,4660,1350,1910,1770,2020,1980,4010,4330,3980,35070
EVEBITCurrent,250,380,1290,3250,2940,8920,-32390,-5950,-4290,-5700,-6230,13460,8900,3310,3080,-2670,-4280,-1330,-1540,-750,-730,-520,-990,-430,-380,-430
EVEBITDACurrent,300,360,1250,3090,2810,7690,-69000,-7680,-5210,-8070,-10400,5530,4200,2270,2230,-3500,-5440,-1400,-1610,-760,-740,-520,-1000,-440,-380,-430
DTAR,110,140,210,220,250,240,240,290,310,330,360,260,250,170,160,190,180,130,130,160,170,150,250,380,390,420
CG,35140,160,270,290,330,320,310,410,440,490,550,440,430,230,210,260,240,170,160,220,220,200,340,620,650,710
LDER,16580,100,200,200,210,210,160,170,200,210,230,170,160,120,100,140,110,80,80,120,120,100,240,420,440,460
PZAT,11660,6550,3970,4690,4530,4490,4410,4000,3610,3600,3520,4059,4700,3860,4059,3180,4059,4890,5230,4280,4300,5210,2320,2870,2790,2780
PELDR,90,1650,1510,1280,1240,1210,1090,1060,1030,1010,970,1510,1380,2029,2130,2110,2170,2230,2220,920,920,970,1080,1080,1090,1080
TSF,50,950,940,930,920,920,880,830,830,810,790,700,670,850,850,830,830,850,850,820,820,810,930,880,870,860
ZKO,270,330,570,810,930,1010,1270,1380,1640,1700,1950,1730,2150,340,310,340,320,230,220,2540,2650,2360,1750,2029,2020,2009
OSF,0,490,720,870,950,1010,1190,1240,1400,1420,1540,2230,2570,620,600,630,620,470,460,2090,2170,2100,1530,1540,1520,1480
NetDebt,-3976000000,17921000000,90751000000,147987000000,162372000000,143490000000,225068000000,272077000000,318544000000,338116000000,367229000000,277719000000,258742000000,138645000000,132853000000,140853000000,131441000000,89007000000,89123000000,98141000000,98902000000,81316000000,131988000000,122654000000,122984000000,122134000000
NetDebtEBITDA,530,870,1490,3520,3460,9320,-87920,-13730,-7670,-11440,-15390,8870,6780,2300,2410,-4230,-6140,-1460,-1650,-900,-880,-630,-1010,-500,-500,-560
DebtFin,-17959000000,-8405000000,60643000000,114103000000,116277000000,102764000000,160956000000,128255000000,192509000000,214393000000,224090000000,149089000000,136343000000,113047000000,99038000000,92484000000,92484000000,61432000000,62782000000,59265000000,59090000000,43305000000,106460000000,83528000000,69469000000,70939000000
DebtFinEBITDA,2390,-410,990,2710,2480,6670,-62870,-6470,-4630,-7260,-9390,4760,3570,1870,1790,-2780,-4320,-1010,-1160,-540,-530,-340,-810,-340,-280,-320
SP1,10,1500,1260,1070,1020,1000,940,900,850,830,790,1290,1190,1810,1930,1850,1970,2060,2060,820,820,890,870,760,750,740
SP2,90,1650,1510,1280,1240,1210,1090,1060,1030,1010,970,1510,1380,2029,2130,2110,2170,2230,2220,920,920,970,1080,1080,1090,1080
CAR,2000,1940,1300,290,340,630,210,270,80,80,50,70,30,70,30,30,10,60,10,10,10,10,0,0,0,0
QR,2780,3090,2790,1150,1000,890,520,550,350,260,210,260,160,5340,5520,5590,5010,8200,8000,240,210,90,760,580,600,560
CR,7090,7980,6550,3920,3130,2890,1600,1270,1140,1030,880,950,740,6220,6360,6380,5700,8550,8340,840,790,790,1930,1530,1560,1430
PP,2029,1980,1300,290,340,630,210,270,80,80,50,70,30,140,30,30,10,60,10,20,10,10,240,200,210,220
RCLR,740,1100,1470,790,610,220,300,270,240,150,150,190,120,5180,5480,5560,4990,8109,7970,210,170,80,510,380,380,330
KP,350,370,320,210,180,160,70,50,20,10,-30,-10,-40,420,440,470,470,510,510,-10,-20,-20,70,70,70,60
PKKO,8060,2950,4670,4950,3810,2850,1090,500,220,70,-260,-460,-1480,33350,-18080,9500,36550,7930,8780,-190,-280,-310,1420,1020,1090,5920
RN,2100,3460,1710,2290,2570,2930,3940,4590,4860,4090,4310,1720,2570,370,30,230,70,170,120,170,210,340,3060,2050,1660,160
CRN,174000,105000,214000,160000,142000,125000,93000,80000,75000,89000,85000,212000,142000,987000,10592000,1556000,5341000,2139000,2993000,2206000,1727000,1079000,119000,178000,220000,2305000
CPZ,235000,96000,146000,190000,224000,239000,216000,249000,287000,381000,424000,1175000,933000,1403000,6441000,514000,1009000,366000,469000,416000,419000,497000,504000,644000,658000,5803000
RZ,190,500,330,230,270,320,530,800,890,780,830,260,380,280,-60,720,280,1100,1270,1490,1680,1150,850,630,560,100
CRZ,1942000,736000,1116000,1606000,1367000,1123000,691000,457000,408000,469000,438000,1416000,954000,1297000,-6026000,510000,1316000,332000,288000,245000,218000,318000,431000,584000,653000,3840000
RMO,220,480,380,370,410,470,650,780,860,780,810,310,430,180,20,190,60,150,110,150,190,270,680,460,380,40
