,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940,7940
ShareAmountCurrent,282500000,282500000,282500000,282500000,282500000,282500000,282500000,282500000,282500000,282500000,1271250000,1271250000,1271250000,1271250000,1271250000,1271250000,1271250000,1271250000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000,1130279000
WKCurrent,76520,60160,59930,0,0,71540,74390,71700,0,77930,27070,24070,0,21870,21620,22760,0,23460,26890,25100,0,21650,21780,22830,0,23150,22060,21870,20950,20770,20270,22550,17730,16560,18260,15890,14470,13190,12890,12650,12610,11950,11460,11680,10670,10800,11010,11030,13290,13130,14690,14380
CWKCurrent,100,130,130,,,110,110,110,,100,290,330,,360,370,350,,340,300,320,,370,360,350,,340,360,360,380,380,390,350,450,480,430,500,550,600,620,630,630,660,690,680,740,740,720,720,600,600,540,550
WKGrahamCurrent,44490,24470,16420,0,0,35290,41280,38680,0,47370,20510,17230,0,14730,14740,15590,0,15900,17450,14230,0,10580,14240,16260,0,16160,15390,14550,14020,14880,14690,17540,12830,12080,12970,10880,9860,8910,8620,8150,8220,7660,7180,7190,6660,6730,6970,6990,9150,9160,10500,9970
CWKGrahamCurrent,180,320,480,,,230,190,210,,170,390,460,,540,540,510,,500,460,560,,750,560,490,,490,520,550,570,530,540,450,620,660,610,730,810,890,920,970,970,1040,1110,1100,1190,1180,1140,1140,870,870,760,800
PCurrent,103530,110740,111940,106570,121120,139640,139700,136920,134480,146540,32650,29290,26000,20270,18450,21920,28690,38630,47420,49720,41400,31500,27700,22380,24090,23270,22130,21020,19180,17880,16990,15650,13730,12470,11530,10460,10050,8870,8070,8230,7910,6220,4760,2630,1510,2200,3780,4820,6530,7370,8000,8200
CPCurrent,80,70,70,70,70,60,60,60,60,50,240,270,310,390,430,360,280,210,170,160,190,250,290,350,330,340,360,380,410,440,470,510,580,640,690,760,790,890,980,960,1000,1280,1670,3020,5250,3600,2100,1650,1220,1080,990,970
ZCurrent,4130,-13190,-20070,-16270,-11600,11410,14620,13180,12360,10710,-250,-2250,-3170,-4770,-2300,320,760,2160,2660,1190,180,-3000,-3390,-2220,-2150,1510,370,-890,-1270,-2300,-1710,820,-3070,-4110,-1970,-6500,-3050,-3080,-5050,-2950,-1610,-990,-1190,-810,-1800,-1060,-370,-650,2620,2330,3680,4030
CZCurrent,1920,,,,,700,540,600,640,740,,,,,,24980,10470,3680,2980,6680,43990,,,,,5260,21520,,,,,9650,,,,,,,,,,,,,,,,,3030,3400,2160,1970
ZOCurrent,5600,-12400,-18560,-16000,-11890,13020,14620,12510,11720,8590,-500,-2580,-3900,-5370,-3140,-1190,-550,1000,1460,1360,230,-3210,-3570,-4040,-3230,-180,-340,-500,-760,-1720,-1600,-230,-280,-20,-280,-1560,-1630,-1600,-1420,-1170,-850,-800,-1170,-1790,-2290,-1590,-930,-270,1970,1870,2110,2320
CZOCurrent,1420,,,,,610,540,630,680,920,,,,,,,,7950,5420,5850,34250,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019,4260,3760,3430
EVCurrent,-16239,-24020,-12030,7940,7940,-43900,-39350,-25710,7940,-64000,-4910,-2770,7940,-5640,-3770,210,7940,6900,-50,1580,7940,-2190,-2520,-3050,7940,400,590,1670,3360,3160,5090,590,2470,5420,7210,6080,5490,5010,7250,7470,7660,6130,3940,4490,5440,5490,5840,10000,8189,12340,14640,10500
