,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
ShareAmountCurrent,888889000,888889000,888889000,888889000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1035714000,1511905000,952500000,952500000,952500000,952500000,952500000,1098424000,1393950000,1455390000,1552500000,1552500000,1552500000,1552500000,1552500000,1552500000,1552500000,1552500000,1702500000,1702500000,1702500000,1702500000,1702500000,1702500000,1702500000,1852500000,1852500000,1852500000,1852500000
WKCurrent,1730,1960,2970,7990,10870,11360,11400,11590,11530,11060,10340,10350,9870,9230,6950,6000,2210,2510,-3230,-850,-4230,-4340,-5180,-4980,-3690,-4850,-5190,-5490,-4000,-4230,-4480,-4430,-6700,-6700,-6670,-6710,-7980,-8010,-7660,-7720,-7670,-6540,-6780,-6790,-6810
CWKCurrent,200,180,120,40,30,30,30,30,30,30,30,30,40,40,50,60,160,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent,-3260,-3470,-4210,-2029,2520,2800,1000,1390,1280,470,-640,-310,-570,-990,-2600,-3350,-6600,-3340,-9720,-7880,-10490,-10440,-11110,-9970,-7510,-8390,-8340,-8540,-7170,-7300,-7460,-7420,-9690,-9690,-8440,-8480,-7980,-8010,-7660,-7720,-7670,-6540,-6780,-6790,-6810
CWKGrahamCurrent,,,,,140,120,350,250,270,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,24530,25120,25860,26780,22360,23370,21610,22250,20860,19860,21170,20800,21200,20700,18650,15190,12060,6030,6300,5230,4630,4019,4430,3250,2250,1770,1350,1060,1030,670,1290,1180,1060,1110,380,320,80,80,20,20,0,0,0,220,220
CPCurrent,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,30,60,60,70,80,90,80,110,160,200,260,330,340,520,270,300,330,320,930,1110,4230,4230,15790,15790,77090,83880,10806250,1620,1620
ZCurrent,1870,2420,2430,670,1080,1300,920,950,720,-250,-1050,-1230,-1710,-1880,-3390,-4350,-7660,-5790,-10220,-10340,-7360,-5970,-5440,-5030,-2960,-4030,-2990,-2360,-2750,-1750,-950,-600,-2690,-2460,-3140,-3220,-1870,-1890,-1000,-1010,-240,-200,-420,-380,-450
CZCurrent,190,140,140,520,320,270,380,370,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent,2790,2640,2820,1070,1670,1950,1200,1200,790,-110,-450,-710,-1230,-1380,-2880,-3940,-7330,-5300,-9100,-9200,-5850,-5030,-4730,-4330,-2620,-3710,-2860,-2290,-2700,-1700,-830,-490,-2410,-2190,-2730,-2810,-1520,-1540,-830,-830,-170,-130,-80,-50,-90
CZOCurrent,130,130,120,330,210,180,290,290,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent,310,270,270,350,320,250,4360,310,260,320,5300,230,290,270,4430,260,120,230,5760,-160,50,240,6540,320,330,330,4310,300,310,280,270,270,5610,5610,350,350,4400,4400,350,3890,4400,4070,2420,2430,2440
EVPCurrent,10,10,10,10,10,10,200,10,10,20,250,10,10,10,240,20,10,40,910,-30,10,60,1480,100,150,190,3190,280,300,420,210,220,5300,5070,930,1110,53120,53120,15790,175610,968940,975730,74806410,11260,11300
EVEBITCurrent,110,100,90,320,190,130,3620,260,330,-2930,-11860,-320,-240,-190,-1540,-60,-20,-40,-630,20,-10,-50,-1380,-70,-130,-90,-1510,-130,-110,-170,-320,-540,-2320,-2560,-130,-120,-2890,-2850,-420,-4680,-26610,-30230,-29100,-53660,-27970
EVEBITDACurrent,90,80,70,190,140,100,2330,160,170,480,13490,1340,-880,-560,-2240,-80,-20,-50,-700,20,-10,-60,-1610,-80,-150,-100,-1770,-160,-120,-220,-580,-1240,-2750,-2670,-130,-120,-5170,-5050,-420,-4680,-5250,-5410,-29100,-53660,-27970
DTAR,800,820,780,590,400,410,460,490,470,520,540,580,570,580,630,660,860,730,1360,1080,1520,1550,1710,1860,1820,2009,2310,2270,1940,2020,1960,1930,3210,3210,4770,4790,1699880,1704880,1229600,1237870,,24241000,211670,26540,26610
CG,4120,4580,3640,1440,680,700,870,950,880,1060,1180,1360,1350,1380,1690,1940,6040,2640,-3780,-13260,-2910,-2810,-2400,-2160,-2220,-1990,-1760,-1790,-2070,-1980,-2040,-2080,-1450,-1450,-1270,-1260,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1040,-1040
LDER,1370,990,440,290,120,110,220,190,200,220,220,190,190,180,250,260,880,470,-150,,-100,-90,-80,-70,-70,-60,-50,-50,-60,-60,-60,-60,-40,-40,-30,-30,-30,-30,-30,-30,-30,-30,,,
PZAT,2070,2740,5520,3210,4700,5180,3330,3680,3570,3550,3960,4390,4610,4870,4360,4800,3600,3910,13610,,14520,14950,13760,13500,15410,12570,12630,12230,12680,12300,11950,11950,11950,11950,7760,7760,,,,,,,,,
PELDR,830,720,600,1040,1480,1500,1340,1360,1360,1280,1160,1160,1130,1080,920,820,480,640,-410,,-590,-630,-790,-910,-890,-1290,-1560,-1710,-1180,-1290,-1420,-1400,-2160,-2160,-3640,-3660,,,,,,,,,
TSF,460,360,310,530,670,650,650,610,640,590,560,500,510,500,470,430,270,400,-310,,-470,-500,-650,-800,-760,-950,-1250,-1210,-880,-960,-910,-880,-2130,-2130,-3640,-3660,-1650380,-1655380,-1192030,-1200250,,-23464000,,,
ZKO,1840,1630,1640,1210,750,740,910,890,890,960,1060,1020,1050,1080,1280,1410,1980,2009,4930,3310,6720,6900,9260,13820,11850,7670,11410,7770,7510,7720,5480,5170,215800,215860,,,1699880,1704880,1229600,1237870,,24241000,211670,26540,26610
OSF,640,590,680,970,970,980,1000,1010,1000,1000,990,990,990,980,930,900,500,860,-2450,-400,-4530,-4910,-8090,-13770,-11460,-10490,-18750,-13960,-9480,-10610,-8220,-7680,-484260,-484570,,,,,,,,,,,
NetDebt,6317000000,7894000000,9515000000,10241000000,7608000000,8078000000,10219700000,11321000000,10416000000,12130000000,12582800000,14503000000,13725000000,13140000000,12009700000,11924000000,13603000000,9738000000,11176530000,10265000000,11450000000,11519000000,11807000000,11766000000,11407000000,14017000000,14151000000,15142000000,12767000000,12920000000,14038000000,14138000000,15036000000,15040000000,14363000000,14429000000,13599000000,13639000000,13058360000,13146150000,13057000000,12120500000,12611200000,13061820000,13101740000
NetDebtEBITDA,2060,2600,2890,6440,3160,2990,5280,5790,6620,17350,30920,81940,-39780,-26710,-5870,-3770,-2029,-1360,-1430,-1280,-2360,-2800,-3050,-2850,-3780,-2940,-3740,-5220,-3300,-6350,-19690,-42460,-4740,-4610,-3090,-3010,-9390,-9190,-9230,-9280,-9160,-8700,-81770,-155550,-81050
DebtFin,-37000000,-69000000,-75000000,-2000000,-36000000,-100000000,4150700000,-41000000,-96000000,-29000000,5127800000,-126000000,-60000000,-88000000,4229700000,-98000000,-237000000,-185000000,5157640000,-489000000,-288000000,-107000000,5896000000,-37000000,-24000000,-24000000,6149000000,-80000000,-66000000,-102000000,-132000000,-132000000,8165000000,8165000000,,,6894000000,6894000000,,6029780000,6894000000,6894000000,3840010000,3857860000,3873990000
DebtFinEBITDA,-10,-20,-20,0,-10,-40,2150,-20,-60,-40,12600,-710,170,180,-2070,30,40,30,-660,60,60,30,-1520,10,10,10,-1630,30,20,50,190,400,-2580,-2500,,,-4760,-4650,,-4260,-4840,-4950,-24900,-45940,-23960
SP1,350,360,410,800,1300,1330,1100,1140,1120,1040,940,970,950,900,730,640,250,430,-500,-120,-680,-710,-870,-1000,-970,-1370,-1640,-1800,-1260,-1370,-1500,-1480,-2240,-2240,-3770,-3790,,,,,,,,,
SP2,820,720,590,1030,1460,1470,1340,1350,1350,1270,1150,1160,1120,1070,910,810,470,630,-420,-120,-610,-640,-800,-920,-900,-1290,-1560,-1710,-1180,-1290,-1420,-1400,-2160,-2160,-3640,-3660,,,,,,,,,
CAR,10,10,10,0,10,10,0,0,10,0,0,10,10,10,10,10,20,20,40,50,30,10,10,0,0,0,0,10,10,10,10,10,0,0,,,,,,,,,,,0
QR,370,320,340,330,450,570,360,460,400,380,290,320,240,260,190,210,240,120,90,50,90,60,40,40,50,70,60,100,100,70,50,60,0,0,,,0,0,0,0,,0,0,40,40
CR,810,780,690,1030,1630,1610,1470,1410,1460,1310,1160,1140,1110,1060,920,820,590,610,210,300,150,150,110,70,90,130,90,130,140,130,190,200,0,0,,,0,0,0,0,,0,0,40,40
