,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
ShareAmountCurrent,5000000,5000000,5000000,5334276000,5334276000,5334276000,5334276000,5334276000,5334276000,5334276000,5334276000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5867703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000,5287703000
WKCurrent,688800,978000,2805400,5500,5770,5620,5920,5880,6090,6460,6980,8910,9550,0,0,11560,11620,10900,0,11390,11300,10050,10010,9470,9680,7510,7380,6050,5880,5650,5440,5210,5750,5790,5640,5360,5150,5210,2140,1590,1400,1270,1160,1200,1220,1190
CWKCurrent,0,0,0,80,80,80,70,70,70,70,60,50,50,,,40,40,40,,40,40,40,40,50,50,60,60,70,70,80,80,80,80,80,80,80,90,80,210,280,310,350,380,370,360,370
WKGrahamCurrent,600200,857400,1952400,4840,5120,4900,5140,4440,3570,3980,4310,5610,5870,0,0,7880,8029,6430,0,6490,6500,5340,5320,4750,5020,2980,2930,1670,1660,1170,1050,970,1200,1390,1350,1210,1100,1250,-1740,-1950,-2090,-2190,-240,190,210,150
CWKGrahamCurrent,0,0,0,90,90,90,90,100,120,110,100,80,70,,,60,50,70,,70,70,80,80,90,90,150,150,260,260,380,420,450,370,320,320,360,400,350,,,,,,2330,2120,2880
PCurrent,14844200,17952200,51302800,57830,61430,61940,64209,58490,51380,54170,58890,69140,87910,104910,120550,124780,122570,105110,89380,79910,75960,77480,77350,76350,75590,73120,72390,71410,70120,68220,66660,65810,68680,69250,62230,57130,53590,49400,51040,46720,34600,21310,7970,230,90,40
CPCurrent,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,60,1880,4900,10340
ZCurrent,436800,273200,1867400,1830,1630,1260,1170,750,720,990,1210,1420,1880,2400,2640,2940,2370,1250,800,430,270,350,40,-720,-410,-540,-630,-230,-610,-670,-750,-830,-780,-490,-390,-430,-610,-580,-510,-770,-750,-950,-980,-390,-170,-80
CZCurrent,0,0,0,240,270,350,370,590,610,440,360,310,230,180,170,150,190,350,550,1020,1610,1270,10500,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent,550800,356800,2298800,2360,2110,1700,1610,1070,990,1280,1550,1790,2410,3080,3490,3660,2950,1620,750,330,160,200,20,-690,-610,-650,-740,-330,-520,-590,-650,-600,-430,-220,-120,-170,-400,-360,-270,-240,-240,-450,-540,-440,-220,-130
CZOCurrent,0,0,0,190,210,260,270,410,450,340,280,250,180,140,130,120,150,270,590,1340,2750,2170,18570,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent,-79960,-78960,-1160,-470,-460,360,370,-1840,310,270,350,570,-310,440,440,-2150,-1800,-530,440,-630,-120,100,720,610,880,1360,2280,3560,3640,4190,4360,4040,4240,4010,5010,4380,5320,4920,4980,3740,3330,3390,1740,1120,1110,1160
EVPCurrent,-10,0,0,-10,-10,10,10,-30,10,10,10,10,0,0,0,-20,-10,-10,0,-10,0,0,10,10,10,20,30,50,50,60,70,60,60,60,80,80,100,100,100,80,100,160,220,4780,12340,27150
EVEBITCurrent,-150,-220,0,-200,-220,210,230,-1720,320,210,230,320,-130,140,130,-590,-610,-330,590,-1920,-780,480,30440,-890,-1430,-2090,-3060,-10750,-6960,-7110,-6710,-6670,-9890,-18120,-43580,-25050,-13240,-13730,-18540,-15490,-13600,-7450,-3210,-2520,-5120,-9170
EVEBITDACurrent,-140,-200,0,-190,-200,190,200,-1480,270,180,200,280,-120,130,120,-540,-540,-260,370,-990,-260,170,1730,-3030,-7930,-8400,-8760,23340,-78870,-32720,-21830,-23170,150590,17500,15290,16400,132040,74190,40350,33380,51950,-19310,-6200,-4400,-11960,-17860
DTAR,310,550,380,310,160,380,250,120,210,270,270,180,290,,,190,280,220,,170,190,290,320,330,270,440,370,480,490,530,530,540,540,530,540,530,570,580,820,720,690,710,550,420,420,440
CG,450,1240,610,440,190,600,340,140,260,360,370,220,400,,,240,390,290,,200,240,410,470,480,380,790,580,930,970,1150,1140,1150,1170,1120,1160,1150,1320,1390,4490,2520,2270,2510,1240,720,720,770
LDER,0,0,0,0,0,0,0,0,0,0,0,20,20,,,10,10,10,,30,30,30,120,130,120,190,310,660,680,710,580,600,600,590,800,420,600,500,1230,1790,1710,2320,1130,0,0,30
PZAT,45780,40860,382000,691200,345800,733400,934400,155000,149530,1014290,1162570,13650,16480,,,17280,17130,19780,,11880,12320,11710,2890,2800,2780,2220,1340,740,710,690,840,820,800,780,570,1120,770,880,850,760,870,690,20,9880,9710,950
PELDR,7790,8130,3290,8310,8820,7810,6490,4090,2420,2610,2610,2750,2640,,,3190,3270,2470,,2430,2410,2200,2380,2260,2330,1970,2170,2290,2340,2160,1960,1970,2029,2090,2370,1830,2029,1980,1230,1250,1090,1220,1770,1190,1210,1180
TSF,690,450,620,690,840,620,730,880,790,730,730,840,720,,,820,730,790,,850,830,730,760,760,810,660,830,860,850,800,740,740,740,750,830,660,690,630,410,790,830,950,950,580,580,580
ZKO,340,590,470,330,170,410,280,160,310,370,370,260,400,,,260,360,330,,260,290,430,470,490,420,670,600,770,770,850,860,860,850,820,830,840,860,850,1220,1960,2940,3230,1200,820,810,860
OSF,2650,4740,1540,2770,1530,3190,1830,650,750,970,980,690,1030,,,820,1170,800,,620,690,930,1010,980,870,1100,990,1070,1080,1070,1060,1060,1070,1080,1090,1080,1090,1120,670,880,1180,1180,1000,970,970,980
NetDebt,1147000000,5184000000,8470000000,7956000000,472000000,17516000000,10327000000,-7696000000,7860000000,11650000000,13296000000,10820000000,18210000000,,,889000000,13734000000,12816000000,,6318000000,11559000000,20919000000,23468000000,21577000000,17780000000,32423000000,23355000000,28626000000,29175000000,34848000000,34273000000,30963000000,30693000000,27984000000,33432000000,27824000000,32862000000,34893000000,47269000000,20746000000,16349000000,16626000000,7481000000,3766000000,3635000000,3904000000
NetDebtEBITDA,400,2620,710,590,40,1710,1040,-1160,1260,1470,1400,890,1140,,,40,710,1090,,1700,4100,6430,9610,-18180,-27440,-34240,-15290,31950,-107660,-46340,-29270,-30300,205990,23110,19290,19690,154280,99410,72500,34980,48230,-17940,-5030,-2810,-7420,-11420
