,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1600000000,1766500000,1766500000,1766500000,1766500000,1783500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000,2233500000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,,,24.17,,50.54,63.91,43.22,12.66,14.18,15.43,10.11,14.96,5.62,5.65,4.11,-1.03,4.62,18.40,11.55,6.15,4.46,-12.31,-4.78,-1.14,2.47,-6.18,-6.09,-3.91,-5.91
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,-6.09,24.17,26.66,1.93,2.25,8.49,-0.37,3.31,3.37,3.49,4.02,-5.08,3.40,1.99,-1.12,0.34,17.01,-3.91,-5.91,-1.26,-1.77,4.34,-2.32,2.35,-10.07,4.45,-0.04,0.21
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
