,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,108643712000,108643712000,108643712000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,127345000000,161345000000,161345000000,161345000000,197525600000,197525600000,197525600000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-14.16,,21.07,,,,-14.78,-8.47,-1.22,-2.30,4.13,4.18,-1.25,1.42,-5.54,-2.97,-4.24,-3.99,-50.35,-48.32,-44.10,-42.75,-3.48,-5.92,-21.17,-9.98,31.23,26.63,44.76
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-6.81,1.40,-2.53,-7.47,0.08,9.44,-3.60,-1.38,0.13,3.73,-1.00,-8.14,2.86,2.37,-0.74,-52.50,7.06,10.75,1.65,-19.92,4.36,-7.21,16.08,16.75,0.70,6.07
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
