,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700
ShareAmountCurrent,4225037000,4225037000,4225037000,4225037000,4474133000,4474133000,4474133000,4474133000,4474133000,4474133000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000,5001645000
WKCurrent,15330,16590,16920,16129,17730,18900,20220,19930,22710,24960,42250,42760,47060,49910,51680,52040,54240,57820,59080,59250,61320,63970,64950,60680,62680,65880,67340,60410,62580,63600,64709,62340,62780,65099,63810,63380,65930,67590,69710,73410,76270,77340,77780,77710,80920,84640,84220,77860,80770,86160,83400,60670
CWKCurrent,2390,2210,2170,2280,2070,1940,1810,1840,1620,1470,870,860,780,740,710,710,680,630,620,620,600,570,570,600,590,560,550,610,590,580,570,590,580,560,580,580,560,540,530,500,480,470,470,470,450,430,440,470,450,430,440,600
WKGrahamCurrent,4330,6560,7270,6300,8590,8480,8990,7540,9900,11570,26760,23250,25640,25910,27550,27970,28350,31620,34750,27300,27050,26610,28180,25970,32650,33920,31160,23410,24600,24220,24900,25380,25200,25430,28030,26930,30960,32740,35440,37690,38780,39630,40730,40200,43410,45590,44900,38870,39530,45450,44290,18840
CWKGrahamCurrent,8470,5590,5050,5820,4270,4330,4080,4870,3710,3170,1370,1580,1430,1420,1330,1310,1290,1160,1060,1340,1360,1380,1300,1410,1120,1080,1180,1570,1490,1520,1470,1450,1460,1440,1310,1360,1190,1120,1040,970,950,930,900,910,850,810,820,940,930,810,830,1950
PCurrent,67590,81640,87290,89650,90100,106020,120300,134470,139300,151900,143210,153540,165190,162140,152770,148150,141280,140140,141490,141790,144530,157300,160430,169270,179770,188980,196930,202720,204130,203530,199870,191860,192810,181050,184630,192950,205470,221590,233870,251690,256700,248480,242290,235550,218000,194230,179760,159810,159780,180520,181850,169560
CPCurrent,540,450,420,410,410,350,310,270,260,240,260,240,220,230,240,250,260,260,260,260,250,230,230,220,200,190,190,180,180,180,180,190,190,200,200,190,180,170,160,150,140,150,150,160,170,190,200,230,230,200,200,220
ZCurrent,1350,2200,2790,2760,3200,3440,4450,5370,6780,7760,7960,9500,11400,12050,11770,11990,9870,10900,10190,10180,10160,9010,8510,6910,7150,7580,8500,6160,6220,4580,3730,3980,2360,3440,2029,3700,5600,5460,8080,10500,10960,10030,8380,9150,9300,11020,10420,9880,9020,11720,12370,-3710
CZCurrent,27250,16710,13160,13310,11480,10680,8250,6830,5410,4730,4610,3860,3220,3040,3120,3060,3720,3370,3600,3610,3610,4070,4310,5310,5140,4840,4320,5960,5900,8020,9830,9210,15550,10660,18120,9920,6550,6720,4540,3490,3350,3660,4380,4010,3950,3330,3520,3720,4070,3130,2970,
ZOCurrent,2600,3070,4520,3830,4460,5260,6100,7840,9180,9890,9720,11130,13420,14250,14220,14820,12230,13790,12610,12520,12320,10610,10130,7870,9270,9850,10900,7630,6790,4490,3350,4580,2910,4930,4080,5560,7800,7270,10190,13460,13690,12610,10300,10110,10230,12350,11960,11800,11050,13950,14380,-4660
CZOCurrent,14140,11970,8119,9580,8220,6980,6010,4680,4000,3710,3770,3300,2740,2580,2580,2480,3000,2660,2910,2930,2980,3460,3620,4660,3960,3720,3370,4810,5410,8170,10960,8010,12610,7440,8990,6600,4700,5050,3600,2730,2680,2910,3560,3630,3590,2970,3070,3110,3320,2630,2550,
EVCurrent,39640,38190,39250,37680,39930,36660,38960,37980,36740,36900,17220,22620,19400,19760,14210,18740,21080,15110,13340,24730,26210,27200,31070,32439,32070,29030,30760,29920,32200,29900,34590,37920,25910,21800,21160,33750,36440,47830,34750,23100,32590,27570,28460,27540,31870,18370,20500,11440,19970,14940,11270,14290
EVPCurrent,590,470,450,420,440,350,320,280,260,240,120,150,120,120,90,130,150,110,90,170,180,170,190,190,180,150,160,150,160,150,170,200,130,120,110,170,180,220,150,90,130,110,120,120,150,90,110,70,130,80,60,80
EVEBITCurrent,15270,12450,8690,9830,8950,6980,6380,4840,4000,3730,1770,2029,1450,1390,1000,1260,1720,1100,1060,1970,2130,2560,3070,4120,3460,2950,2820,3920,4740,6660,10330,8280,8900,4420,5180,6070,4670,6580,3410,1720,2380,2190,2760,2730,3110,1490,1710,970,1810,1070,780,-3060
EVEBITDACurrent,9910,8960,6920,7610,7260,5820,5430,4240,3560,3330,1580,1830,1310,1250,890,1120,1490,960,910,1690,1810,2130,2510,3170,2740,2360,2300,2970,3520,4320,5900,5250,4490,2810,3100,4059,3500,4790,2680,1420,1970,1770,2160,2140,2460,1220,1400,780,1440,890,650,-9270
DTAR,620,590,550,630,630,680,660,650,610,670,440,480,440,440,360,390,360,390,320,370,360,450,350,460,420,500,430,510,490,540,460,520,580,580,570,610,600,630,600,570,600,570,510,550,510,540,480,520,540,520,480,570
CG,1650,1480,1230,1730,1790,2200,1980,1820,1560,2040,780,910,800,800,570,650,560,640,470,590,570,810,530,840,740,1000,740,1060,960,1170,860,1070,1380,1380,1340,1540,1500,1700,1490,1310,1520,1320,1060,1210,1060,1150,920,1090,1170,1070,910,1310
