,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
ShareAmountCurrent,96381146000,96381146000,96381146000,96381146000,99668146000,103163727000,105302267000,130324401000,130324401000,154824401000,154824401000,154824401000,154824401000,154824401000,158466065000,158466065000,158466065000,170466065000,170466065000,170466065000,170466065000,170466065000,170466065000,170466065000,170466065000,170466065000,170466065000,170466065000
WKCurrent,120,890,950,0,1130,1140,1200,1420,1520,1660,1720,1770,1820,1780,1900,1670,1770,2000,2080,2180,2240,2590,2650,2620,2680,2740,2760,2830
CWKCurrent,12500,1650,1540,,1290,1280,1210,1030,960,880,850,830,800,820,770,870,830,730,700,670,650,560,550,560,550,530,530,520
WKGrahamCurrent,-50,110,140,0,230,330,400,360,440,630,670,530,590,370,240,60,150,480,380,530,540,450,580,510,530,510,570,420
CWKGrahamCurrent,,13420,10390,,6300,4470,3690,4040,3350,2330,2180,2740,2490,3890,6080,23490,9810,3050,3850,2760,2690,3230,2520,2880,2770,2850,2580,3480
PCurrent,2870,5260,6230,7470,8130,8680,8500,6670,6490,5550,5240,4990,5130,4990,5090,5830,5770,5430,5350,5200,5510,5920,6840,7290,7750,8180,8320,8980
CPCurrent,510,280,230,200,180,170,170,220,230,260,280,290,280,290,290,250,250,270,270,280,260,250,210,200,190,180,180,160
ZCurrent,40,80,90,110,120,190,190,190,210,160,180,180,190,200,220,230,270,270,270,320,290,300,290,220,200,150,110,140
CZCurrent,32580,17710,16970,12740,11940,7850,7570,7690,7090,9250,8039,7950,7490,7260,6770,6400,5460,5460,5430,4630,4980,4900,5010,6760,7410,10050,13420,10460
ZOCurrent,80,150,220,200,210,260,260,220,210,170,190,210,230,230,230,260,280,310,320,350,360,360,390,350,340,310,270,280
CZOCurrent,18730,9940,6590,7420,6810,5510,5700,6720,6810,8780,7780,7060,6420,6480,6250,5550,5130,4720,4500,4130,4000,4000,3730,4160,4350,4720,5470,5240
EVCurrent,1650,1990,2050,1460,2050,1960,1890,1860,1820,1800,1560,1600,1580,1650,2020,2280,1930,1900,1890,1860,1860,1880,1940,2009,2190,2270,2250,2210
EVPCurrent,580,380,330,200,250,230,220,280,280,320,300,320,310,330,400,390,330,350,350,360,340,320,280,280,280,280,270,250
EVEBITCurrent,21230,13530,9270,7420,9570,7400,7390,8530,8500,10800,8310,7730,6970,7330,8670,8680,6780,6160,5810,5270,5110,5150,4940,5740,6540,7340,8430,7930
EVEBITDACurrent,17490,12110,8470,6720,8680,6850,6780,7900,7810,9710,7480,6860,6070,6200,7180,7180,5570,5340,5050,4660,4580,4500,4360,4990,5650,6220,6950,6500
DTAR,830,440,460,,440,380,360,350,400,300,290,290,290,390,400,470,510,390,410,400,380,340,340,330,330,350,320,380
CG,4730,800,880,,780,610,550,540,660,420,400,420,420,650,680,930,1090,660,710,700,630,520,530,510,500,560,480,650
LDER,1900,200,180,,130,100,80,180,160,150,150,130,120,370,360,580,540,450,430,420,400,180,180,140,130,210,200,220
PZAT,610,970,1170,,1220,1700,1880,900,1030,1310,1410,2130,2190,820,840,590,600,610,630,570,590,1140,1140,1480,1610,1100,1150,1110
PELDR,2070,1310,1310,,1420,1540,1610,1590,1670,1850,1880,1590,1620,1740,1560,1580,1620,1810,1670,1790,1750,1400,1460,1370,1370,1420,1420,1350
TSF,510,650,610,,640,680,700,770,700,810,820,790,780,830,810,800,730,850,820,820,830,770,760,740,740,760,780,710
ZKO,1090,870,860,,790,680,630,680,700,530,510,580,570,750,840,960,930,740,790,740,720,750,710,730,720,750,700,810
OSF,780,940,950,,1000,960,940,910,980,850,830,820,820,960,960,960,980,920,930,930,900,890,880,870,870,880,830,900
NetDebt,52457000000,65736090000,77863000000,,83282000000,67007000000,61616000000,71394000000,94199000000,87021000000,46522000000,64531000000,65282000000,74213000000,138495000000,178187000000,186049000000,128647000000,124409000000,132289000000,128966000000,147462000000,150042000000,166112000000,188377000000,217491000000,203618000000,259906000000
NetDebtEBITDA,5750,4160,3330,,3530,2270,2100,2330,3100,3040,1440,1790,1620,1800,3100,3530,3390,2120,1960,1940,1860,2070,1980,2420,2840,3500,3690,4480
DebtFin,18764000000,50692890000,57181000000,,59149000000,51654000000,45584000000,51533000000,47081000000,51983000000,15590000000,21600000000,19179000000,29638000000,89430000000,130652000000,74509000000,75575000000,72561000000,68334000000,68569000000,71750000000,81307000000,94335000000,125245000000,137865000000,135067000000,127788000000
DebtFinEBITDA,2060,3210,2450,,2510,1750,1550,1680,1550,1810,480,600,480,720,2000,2590,1360,1240,1140,1000,990,1010,1070,1370,1890,2220,2450,2200
SP1,710,1090,1110,,1260,1400,1490,1340,1400,1610,1640,1410,1450,1270,1140,1000,1060,1250,1170,1260,1250,1180,1240,1200,1210,1170,1190,1100
SP2,2070,1310,1310,,1420,1540,1610,1590,1630,1850,1880,1590,1620,1740,1560,1580,1620,1810,1670,1790,1750,1400,1460,1370,1370,1410,1420,1340
CAR,20,50,30,,70,70,150,430,360,300,880,620,620,1350,680,730,770,1320,1290,1230,1240,550,550,350,210,230,170,240
QR,760,770,850,,880,1090,1090,1400,1240,2110,2330,1540,1790,2210,1720,1850,1370,3180,2400,2510,2460,1420,1390,1170,1060,1230,1380,1020
CR,1530,1540,1470,,1520,1750,1870,2210,1910,3010,3080,2460,2470,3090,2550,2780,2130,4130,3240,3380,3710,2060,2110,1890,1880,2130,2380,1830
PP,20,60,40,,70,80,150,430,360,310,890,620,630,1360,690,740,770,1320,1290,1230,1240,560,560,370,230,260,180,260
RCLR,730,720,800,,810,1000,940,960,920,1790,1430,910,1150,850,1030,1110,580,1830,1090,1220,1210,860,810,790,820,960,1170,760
KP,260,180,170,,190,240,270,280,270,370,380,300,310,350,290,310,290,400,350,380,380,230,250,220,210,250,260,210
PKKO,60,-16690,-15020,,-110,-20600,-21550,-35480,-36160,-47230,-44030,-28530,-24050,-25270,-19230,-18760,-17810,-28740,-26380,-31550,-34310,-17460,-20160,-16500,-16320,-19290,-19480,-16760
RN,11870,17500,16810,18460,16480,15690,15270,14500,12510,10340,8650,8050,8109,9260,9680,10190,10310,8690,8390,7730,7870,8590,9430,9950,9970,10020,9690,9980
CRN,31000,21000,22000,20000,22000,23000,24000,25000,29000,35000,42000,45000,45000,39000,38000,36000,35000,42000,43000,47000,46000,42000,39000,37000,37000,36000,38000,37000
CPZ,42000,23000,27000,25000,28000,27000,26000,27000,31000,31000,34000,37000,35000,37000,38000,34000,42000,41000,42000,44000,35000,40000,39000,42000,45000,43000,41000,40000
RZ,11020,,,-6700,-8460,,,,,,,,,,,,,,,,,,,,,,,
CRZ,33000,,,-54000,-43000,,,,,,,,,,,,,,,,,,,,,,,
RMO,5690,8450,8720,9490,8550,8640,8170,7300,6130,5280,4320,3870,3860,3620,3650,3920,3440,3270,3020,2720,2880,3090,3510,3840,4140,4240,4360,4460
RMT,17550,16120,12480,12200,9690,10490,10390,8770,7560,6560,5390,4700,4460,4019,3710,3930,3610,3470,3290,3120,3200,3170,3490,3520,3560,3690,3680,3800
RM,4300,5550,5130,5340,4540,4740,4570,3980,3390,2930,2400,2120,2070,1900,1840,1960,1760,1680,1580,1450,1510,1560,1750,1840,1910,1970,1990,2050
COP,64000,,,-34000,-21000,,,,,,,,,,,,,,,,,,,,,,,
CSP,22000,,,-59000,-49000,,,,,,,,,,,,,,,,,,,,,,,
