,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070
ShareAmountCurrent,221594900000,221594900000,221594900000,221594900000,221594900000,337626428000,337626428000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000,441442578000
WKCurrent,18900,18930,19670,30520,31580,20840,26640,20820,20840,21010,21180,21680,21630,22090,22320,22890,22820,23510,23670,24260,24250,24670,24670,25410,25340,25840,25980,26500,26850,27220,27220,27800,27800,28650,25680,26250,26620,27180,27580,28240,28550,29020,29630,31010,31370
CWKCurrent,430,430,410,260,260,390,300,390,390,380,380,370,370,370,360,350,350,340,340,330,330,330,330,320,320,310,310,300,300,300,300,290,290,280,310,310,300,300,290,290,280,280,270,260,260
WKGrahamCurrent,-5890,-5580,-4530,-5350,-3810,-2310,2430,2390,2370,2580,2250,2870,2770,3130,2580,3150,2380,2470,1420,1780,1600,1800,-250,210,-440,-710,-2029,-1740,-2930,-4200,-5200,-5580,-6360,-6810,-13810,-12970,-13710,-13990,-14680,-16780,-17120,-17490,-18310,-17060,-16910
CWKGrahamCurrent,,,,,,,3320,3370,3400,3120,3590,2810,2920,2580,3130,2570,3390,3260,5670,4530,5040,4490,,37730,,,,,,,,,,,,,,,,,,,,,
PCurrent,20620,20820,24300,24580,26800,18240,18240,14650,15200,15560,16200,16510,16940,17540,17750,18770,19630,20790,21990,22390,22620,22580,22860,22260,21890,21410,20730,20710,21280,21730,22330,22490,21810,22150,22310,23420,24550,24920,25500,24980,25430,25710,25840,26470,26910
CPCurrent,390,390,330,330,300,440,440,550,530,520,500,490,480,460,450,430,410,390,370,360,360,360,350,360,370,380,390,390,380,370,360,360,370,360,360,340,330,320,320,320,320,310,310,300,300
ZCurrent,30,160,920,2350,720,480,640,770,1170,1190,1160,1200,1100,1390,1450,1510,1560,1840,1800,1700,1820,1550,1590,1800,1660,1700,1640,1440,2029,2029,2060,2180,1580,2060,-990,-960,-920,-1350,1780,1830,2090,2029,2420,2300,2080
CZCurrent,266910,49280,8780,3430,11130,16910,12650,10440,6910,6780,6940,6720,7330,5800,5570,5340,5170,4380,4480,4740,4430,5200,5090,4490,4870,4750,4930,5590,3970,3980,3920,3710,5120,3910,,,,,4540,4420,3860,3980,3330,3510,3870
