,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,16466900000,16466900000,16466900000,16466900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000,23566900000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,5.51,16.86,5.82,,,112.87,,-6.42,-10.60,-17.76,-15.98,35.28,-100.00,53.62,59.24,65.09,,61.24,61.87,1.34,-0.17,-1.84,-4.63,-1.33,0.38,1.43,3.27,3.51,1.69,-2.67,-3.98,-8.17
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,3.00,1.78,-4.45,-6.58,-1.60,-6.37,-2.38,50.40,-100.00,,1.19,55.93,2.30,-0.10,1.59,-2.38,0.77,-1.77,-1.29,0.99,2.51,-0.74,0.49,1.23,0.71,-5.00,-0.85,-3.19
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
