,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,18800,18800,18800,18800,18800,18800,18800,18800,18800,18800,18800,18800,18800,18800
ShareAmountCurrent,10543750000,10543750000,10543750000,17543750000,17543750000,17543750000,17543750000,17543750000,17543750000,17543750000,17543750000,17543750000,17543750000,17543750000
WKCurrent,1420,2430,4080,9720,10290,10170,12040,12150,12880,12440,14540,14930,14700,15250
CWKCurrent,13270,7740,4610,1930,1830,1850,1560,1550,1460,1510,1290,1260,1280,1230
WKGrahamCurrent,-3090,-6690,-7240,-2870,-9060,-11100,-9040,-14520,-18550,-20740,-18860,-24810,-24900,-25980
CWKGrahamCurrent,,,,,,,,,,,,,,
PCurrent,54290,60000,69380,43150,41410,41750,43310,46190,48140,50700,53200,54430,55790,61560
CPCurrent,350,310,270,440,450,450,430,410,390,370,350,350,340,310
ZCurrent,560,1000,1650,1930,2310,1990,2170,2630,3040,3420,2810,3330,2120,2770
CZCurrent,33770,18750,11370,9760,8140,9470,8660,7140,6180,5500,6680,5650,8880,6790
ZOCurrent,970,1330,3030,3210,3230,3360,3460,3500,3530,3870,3670,3630,2810,4740
CZOCurrent,19410,14140,6210,5850,5810,5590,5430,5370,5320,4850,5130,5180,6690,3970
EVCurrent,22300,22920,21810,19580,25560,26720,22440,28810,35780,33460,30760,36070,40860,38780
EVPCurrent,410,380,310,450,620,640,520,620,740,660,580,660,730,630
EVEBITCurrent,23020,17230,7210,6090,7900,7940,6490,8220,10140,8640,8390,9950,14530,8189
EVEBITDACurrent,20380,10980,5440,4490,5700,5430,4250,5210,6490,5910,5000,7020,9110,5970
DTAR,870,840,810,620,670,730,660,700,690,730,690,690,700,720
CG,6770,5400,4170,1600,2020,2740,1930,2340,2180,2660,2230,2270,2330,2580
LDER,1070,1830,1420,800,1170,1280,1010,1490,1500,1650,1370,1580,1560,1480
PZAT,1730,1580,1500,1300,1310,1220,1260,1090,1240,1210,1220,1280,1300,1370
PELDR,790,900,1090,1470,1210,1290,1280,1190,1090,1170,1140,1010,1010,1030
TSF,270,440,470,690,720,610,680,750,790,720,730,790,770,690
ZKO,1470,2040,1740,1230,1770,1660,1630,2040,2950,2680,2390,3720,3640,2940
OSF,460,540,630,950,940,790,930,930,1210,1010,1060,1400,1350,1090
NetDebt,92229000000,129009000000,147316000000,127966000000,254470000000,368878000000,279168000000,380410000000,448594000000,515472000000,468313000000,536684000000,588419000000,670535000000
NetDebtEBITDA,7990,5860,3490,1670,3240,4270,3010,3920,4640,5190,4340,5960,7480,5890
DebtFin,36861000000,43423000000,31731000000,13597000000,118535000000,138919000000,63942000000,175603000000,297972000000,257160000000,209765000000,303067000000,387035000000,350457000000
DebtFinEBITDA,3200,1970,750,180,1510,1610,690,1810,3080,2590,1940,3360,4920,3080
SP1,310,270,360,770,530,480,570,460,410,370,440,380,370,370
SP2,650,750,870,1390,1150,1090,1150,1130,1030,990,1050,970,950,920
CAR,110,100,270,1060,720,460,660,650,290,290,460,320,70,70
QR,720,590,640,1480,1190,830,1010,1190,810,510,840,680,620,510
CR,810,740,870,1620,1330,1130,1280,1350,1090,980,1080,880,830,800
PP,110,100,270,1060,720,460,660,650,290,290,460,320,70,70
RCLR,400,310,360,340,390,540,430,500,540,510,520,350,570,560
KP,-140,-140,-70,190,90,50,90,90,20,0,20,-30,-40,-60
PKKO,-30,-40,-20,130,80,50,80,90,20,-10,20,-30,-40,-60
RN,16720,22110,17310,16170,13490,8780,9080,8550,8420,9570,9280,10170,9660,9460
CRN,22000,17000,21000,23000,27000,42000,40000,43000,43000,38000,39000,36000,38000,39000
CPZ,54000,53000,59000,66000,73000,92000,90000,89000,86000,77000,76000,74000,77000,76000
RZ,1942620,2417470,486840,269170,276820,269100,244300,266600,173200,168090,167410,159510,220540,211470
CRZ,0,0,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000
RMO,8340,9320,7080,3400,3390,3030,3120,3260,3530,4050,4310,4890,5020,5410
RMT,12040,6580,6110,3430,2590,2350,2330,2090,1920,1800,1720,1590,1540,1610
RM,4930,3860,3280,1710,1470,1330,1330,1270,1240,1250,1220,1190,1170,1230
COP,,,22000,24000,28000,43000,41000,44000,45000,40000,41000,38000,40000,41000
CSP,,,-37000,-42000,-45000,-49000,-49000,-45000,-41000,-37000,-35000,-36000,-37000,-35000
