,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
ShareAmountCurrent,5000000000,5000000000,5000000000,5000000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000,5600000000
WKCurrent,540,750,570,2820,2890,2570,0,3420,3710,4130,4450,4740,5040,4550,4870,5620,5970,5330,5870,6960,8200,6680,7540,8590,9460,7980,8870,9750,9540,8350,7610,8270,8510,9110
CWKCurrent,15910,11470,15220,3050,2980,3350,,2510,2320,2080,1930,1810,1710,1890,1770,1530,1440,1610,1460,1240,1050,1290,1140,1000,910,1080,970,880,900,1030,1130,1040,1010,940
WKGrahamCurrent,280,-330,-420,1490,1380,960,0,1660,1920,1740,2100,2410,2710,2390,2860,3720,4150,3340,3930,3290,4220,2590,3310,4070,5190,2560,2850,3990,4280,3240,-4290,-3770,-3100,-2090
CWKGrahamCurrent,30370,,,5790,6220,8940,,5190,4470,4930,4100,3570,3170,3600,3000,2310,2070,2580,2190,2610,2040,3320,2600,2110,1660,3350,3010,2160,2009,2650,,,,
PCurrent,2100,2450,3180,4800,4790,5360,6020,6220,6430,6720,7100,8130,8770,9030,9170,8800,8810,9340,9920,11040,12550,14350,15610,16300,16760,16670,16280,15820,15860,15060,16100,17550,17450,18260
CPCurrent,4090,3510,2700,1790,1790,1610,1430,1380,1340,1280,1210,1060,980,950,940,980,980,920,870,780,690,600,550,530,510,520,530,540,540,570,530,490,490,470
ZCurrent,620,670,880,1230,1210,1230,1160,1370,1310,2000,1970,1990,2000,1400,1480,1830,1950,2110,2300,2720,3240,3940,4210,4040,4190,4890,4940,4940,4660,2930,2860,2540,2100,2490
CZCurrent,13900,12880,9800,7010,7090,7000,7400,6280,6550,4290,4370,4320,4310,6150,5810,4700,4410,4070,3740,3160,2660,2180,2040,2130,2050,1760,1740,1740,1850,2930,3000,3390,4100,3450
ZOCurrent,690,770,1040,1490,1480,1500,1420,1660,1570,1670,1730,1740,1790,1750,1690,2020,2090,2310,2560,3090,3730,4490,4860,4710,4900,4680,4650,4580,4570,3840,3910,3740,3080,3780
CZOCurrent,12530,11160,8250,5760,5810,5730,6040,5190,5470,5160,4960,4950,4790,4910,5090,4250,4120,3720,3360,2790,2310,1910,1770,1830,1760,1840,1850,1880,1880,2240,2200,2300,2790,2270
EVCurrent,8420,8360,8160,6070,6810,7100,8600,7540,7680,7460,8150,7750,7820,8320,8740,7550,8090,8150,8970,5170,6990,6200,8370,6710,7430,7390,11610,11270,11550,18220,16420,16740,18650,17850
EVPCurrent,4000,3410,2560,1260,1420,1320,1430,1210,1190,1110,1150,950,890,920,950,860,920,870,900,470,560,430,540,410,440,440,710,710,730,1210,1020,950,1070,980
EVEBITCurrent,12270,10840,7830,4070,4600,4730,6040,4550,4890,4480,4700,4460,4360,4750,5180,3730,3870,3520,3510,1680,1870,1380,1720,1420,1520,1580,2500,2460,2530,4740,4200,4480,6050,4720
EVEBITDACurrent,12110,10510,7450,4059,4570,4640,5670,4220,4480,4130,4360,4140,4050,4400,4780,3490,3640,3320,3320,1600,1800,1330,1670,1370,1460,1510,2380,2340,2400,4450,3880,3990,5080,3990
DTAR,650,620,740,480,480,570,,510,490,540,510,560,560,610,580,570,550,610,560,630,540,650,580,590,560,690,580,540,570,710,760,740,730,730
CG,1870,1650,2830,940,920,1310,,1030,980,1180,1060,1270,1310,1590,1420,1380,1260,1640,1340,1790,1200,1880,1400,1480,1290,2190,1410,1220,1340,2430,3120,2890,2710,2790
LDER,30,210,200,80,160,170,,140,140,140,140,230,160,150,150,130,130,180,160,140,130,170,170,180,160,340,280,250,310,1280,1600,1390,1360,1260
PZAT,3110,5680,8250,4260,2520,2540,,2260,1990,1830,1640,950,1230,1510,1340,1220,1190,1180,1110,1080,990,930,880,890,950,550,560,560,470,120,240,240,210,190
PELDR,2170,850,690,2290,2220,1880,,2200,2350,1950,2130,2450,2450,2350,2630,3100,3300,2780,3040,1970,2310,1890,2070,2230,2420,1960,1880,2050,2310,3710,1660,1630,1710,1810
TSF,360,460,310,560,600,510,,560,580,520,550,540,500,440,470,470,490,440,490,400,510,400,490,480,500,420,530,560,560,660,630,610,630,590
ZKO,780,1360,1360,640,660,780,,680,660,740,690,710,710,750,710,680,640,720,670,790,700,830,760,760,700,870,810,750,750,860,1220,1190,1160,1090
OSF,1640,950,780,1350,1260,1250,,1310,1340,1260,1290,1420,1490,1540,1620,1840,1890,1710,1740,1370,1430,1340,1350,1430,1470,1280,1200,1230,1320,1410,780,810,840,870
NetDebt,2255000000,4055000000,5085000000,2000000,3487000000,9782000000,,13072000000,14689000000,20255000000,20960000000,24816000000,29632000000,36303000000,35377000000,30808000000,32565000000,38619000000,38400000000,42710000000,38733000000,51183000000,50405000000,50250000000,51964000000,71843000000,68471000000,63681000000,70030000000,84819000000,111013000000,115826000000,116202000000,126719000000
NetDebtEBITDA,650,1020,930,0,420,1140,,1310,1530,2009,2000,2370,2740,3430,3450,2540,2620,2810,2540,2360,1780,1970,1790,1840,1820,2630,2510,2360,2600,3700,4690,4930,5650,5050
DebtFin,-899000000,-1205000000,-2183000000,-12646000000,-10013000000,-8416000000,,-5950000000,-5163000000,-6406000000,-2535000000,-4762000000,-4384000000,-1585000000,776000000,-5908000000,-2870000000,-2535000000,2085000000,-19213000000,-9000000000,-13457000000,-1310000000,-10607000000,-6575000000,-6762000000,16882000000,14926000000,16524000000,53878000000,43788000000,45557000000,56266000000,51803000000
DebtFinEBITDA,-260,-300,-400,-1690,-1200,-980,,-600,-540,-630,-240,-450,-410,-150,80,-490,-230,-180,140,-1060,-410,-520,-50,-390,-230,-250,620,550,610,2350,1850,1940,2740,2070
