,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
ShareAmountCurrent,23683084000,23740584000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23751084000,23901084000,23901084000,23901084000,23901084000,23901084000,23901084000,23901084000,23901084000,23930769000,23930769000,23930769000
WKCurrent,9550,10440,10100,9990,0,10750,10830,10390,0,10580,10720,10680,0,10830,11270,11480,0,12640,13350,12370,0,12830,13760,13040,0,13100,13980,13370,14150,14540,15060,14420,15210,16040,17000,16280,16930,17580,19210,17370,18860,19870,21420,20320,22560,22740,25590,26060,26040,26440,26480,24980
CWKCurrent,3980,3640,3760,3810,,3540,3510,3660,,3590,3540,3560,,3510,3370,3310,,3010,2850,3070,,2960,2760,2910,,2900,2720,2840,2690,2610,2520,2640,2500,2370,2240,2330,2240,2160,1980,2190,2009,1910,1770,1870,1680,1670,1490,1460,1460,1440,1440,1520
WKGrahamCurrent,2060,310,60,-20,0,1000,1230,770,0,780,1050,1040,0,680,1150,1280,0,2890,3740,2540,0,2050,4650,3780,0,3230,4190,3560,3620,4040,4630,4050,4790,5500,6190,5210,5720,5860,7130,5230,4710,5460,6230,4190,5960,-2620,-2650,-10490,-14770,-17060,-18390,-19950
CWKGrahamCurrent,18470,123990,634250,,,37830,30880,49650,,48990,36340,36660,,56220,33170,29600,,13140,10170,14980,,18550,8170,10040,,11760,9080,10670,10510,9410,8200,9380,7930,6910,6140,7300,6640,6480,5330,7260,8060,6960,6100,9060,6380,,,,,,,
PCurrent,16820,17070,17390,17950,18220,18490,19090,19890,19670,20440,20370,19760,20170,20120,21000,21100,21270,21130,19800,19980,19910,19740,20660,20320,21410,22200,22890,23650,23390,23600,24000,25280,26510,28060,30390,32240,33200,34630,36470,36470,37950,39930,41780,43850,44720,45620,45350,45460,46400,45810,45890,46520
CPCurrent,2260,2230,2190,2120,2090,2050,1990,1910,1930,1860,1870,1920,1880,1890,1810,1800,1790,1800,1920,1900,1910,1920,1840,1870,1770,1710,1660,1610,1620,1610,1580,1500,1430,1350,1250,1180,1140,1100,1040,1040,1000,950,910,870,850,830,840,840,820,830,830,820
ZCurrent,1260,710,540,70,200,530,590,820,450,250,370,530,630,190,300,720,1110,1800,1930,1780,1580,1230,1790,1520,1500,1620,1000,1190,1320,1450,1650,1880,2100,2440,2830,3120,3130,3160,3240,3030,3370,3530,3910,4240,4450,4380,4340,4030,3310,3220,2130,1630
CZCurrent,30060,53880,71020,525040,194510,71440,63960,46330,84990,153940,102180,71190,60090,204290,128020,52890,34190,21130,19710,21390,24110,31010,21200,24980,25330,23490,37960,31900,28790,26180,23040,20240,18070,15600,13410,12180,12120,12010,11720,12560,11290,10760,9720,8970,8550,8690,8750,9440,11470,11820,17870,23340
