,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
QuoteCurrent,,,,,,,,
QuoteCurrent_yy,,,,,,,,
QuoteCurrent_sy,,,,,,,,
QuoteCurrent_qq,,,,,,,,
QuoteCurrent_sq,,,,,,,,
ShareAmountCurrent,80000000000,80000000000,80000000000,80000000000,80000000000,80000000000,100000000000,100000000000
ShareAmountCurrent_yy,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,
WKCurrent,,,,,,,,
WKCurrent_yy,,205.02,182.83,107.71,,,,-229.03
WKCurrent_sy,,,,,,,,
WKCurrent_qq,,,,,14.74,12.28,-8.82,-209.83
WKCurrent_sq,,,,,,,,
CWKCurrent,,,,,,,,
CWKCurrent_yy,,-67.22,-64.64,-51.85,,,,
CWKCurrent_sy,,44.44,-5.63,-1.29,,,,
CWKCurrent_qq,,,,,-12.85,-10.95,9.68,
CWKCurrent_sq,,,,,8.94,0.34,-4.54,
WKGrahamCurrent,,,,,,,,
WKGrahamCurrent_yy,,-133.76,1478.91,91.42,,,,-543.77
WKGrahamCurrent_sy,,,,,,,,
WKGrahamCurrent_qq,,,,,12.23,-27.44,-122.22,-2352.38
WKGrahamCurrent_sq,,,,,,,,
CWKGrahamCurrent,,,,,,,,
CWKGrahamCurrent_yy,,,,-47.76,,,,
CWKGrahamCurrent_sy,,,,-32.10,,,,
CWKGrahamCurrent_qq,,,,,-10.90,37.82,,
CWKGrahamCurrent_sq,,,,,14.49,44.71,,
PCurrent,,,,,,,,
PCurrent_yy,,258.40,92.22,104.51,,,,-157.21
PCurrent_sy,,,,,,,,
PCurrent_qq,,,,,18.50,19.84,-6.38,-143.03
PCurrent_sq,,,,,,,,
CPCurrent,,,,,,,,
CPCurrent_yy,,-72.10,-47.97,-51.10,,,,
CPCurrent_sy,,-34.01,27.81,-14.02,,,,
CPCurrent_qq,,,,,-15.61,-16.56,6.82,
CPCurrent_sq,,,,,22.79,34.64,-17.84,
ZCurrent,,,,,,,,
ZCurrent_yy,,336.77,172.44,66.49,,,,-641.15
ZCurrent_sy,,,,,,,,
ZCurrent_qq,,,,,9.67,8.25,-13.50,-626.94
ZCurrent_sq,,,,,,,,
CZCurrent,,,,,,,,
CZCurrent_yy,,-77.10,-63.30,-39.93,,,,
