,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
ShareAmountCurrent,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,5500000000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000,11577873000
WKCurrent,38590,41560,41570,42360,0,42410,42690,43170,0,40630,39750,39950,0,33180,33530,33840,0,33080,33250,34630,0,33490,33240,33020,0,34730,34140,34900,34290,2840,3170,16170,16280,14110,12760,12310,12060,10770,9240,7930,13370,13580,13370,11170,10990,10980,10690,10090,9870,2450,2610,2660
CWKCurrent,90,80,80,80,,80,80,80,,80,90,90,,100,100,100,,100,100,100,,100,100,100,,100,100,100,100,1200,1070,210,210,240,270,280,280,320,370,430,250,250,250,300,310,310,320,340,340,1390,1300,1280
WKGrahamCurrent,3620,1790,1850,1440,0,-300,-70,1650,0,-970,-5210,-6440,0,-7670,-2270,-4890,0,-4059,-3400,-3240,0,-3210,-3110,-3220,0,-3590,-3130,-3170,-3080,-4620,-4130,-9040,-8890,-10650,-10190,-11500,-11620,-12920,-9740,-9090,-4130,-2080,-1960,-5450,-5520,-5700,-5890,-6430,-6320,-8160,-7890,-7900
CWKGrahamCurrent,940,1900,1840,2360,,,,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,92510,84910,84500,87140,88970,87610,87630,83450,83550,84780,81610,80780,74730,63100,53280,40140,34310,31090,25920,25550,25040,25680,28730,30010,31640,32870,32960,28420,27650,26250,26150,14670,19620,24650,30620,25700,22460,17870,12300,18220,17070,18570,19780,20640,22000,22520,23170,23720,24470,25350,25510,24800
CPCurrent,40,40,40,40,40,40,40,40,40,40,40,40,50,50,60,80,100,110,130,130,140,130,120,110,110,100,100,120,120,130,130,230,170,140,110,130,150,190,280,190,200,180,170,160,150,150,150,140,140,130,130,140
ZCurrent,-7900,2240,-210,-1050,-960,1790,1790,1950,1770,240,-130,-950,-2410,-4980,-5640,-5040,-3190,280,1080,460,80,90,150,170,-80,110,210,1180,1210,90,160,3550,3790,2640,2680,-1560,-1880,-1620,-1890,-3390,2100,3770,4050,5800,580,120,-210,-130,-390,-7040,-6820,-6880
CZCurrent,,1520,,,,1900,1900,1740,1920,14250,,,,,,,,12200,3150,7390,44420,36240,22030,20260,,29920,15970,2890,2810,38010,20960,960,900,1290,1270,,,,,,1620,900,840,590,5840,28860,,,,,,
ZOCurrent,9240,3350,490,-10,50,2830,3060,2880,2940,1270,520,-120,-4059,-3930,-3320,-3310,760,2009,1200,1260,720,710,970,660,980,1200,1170,2230,1800,380,790,3700,4040,2170,2160,-1100,-1170,610,340,-1090,-4340,-3570,-3470,-2480,620,660,320,210,10,-7380,-6990,-6780
CZOCurrent,370,1010,6880,,70300,1200,1110,1180,1160,2670,6570,,,,,,4450,1690,2820,2690,4710,4810,3510,5180,3470,2840,2900,1520,1890,9000,4320,920,840,1560,1570,,,5550,9860,,,,,,5520,5160,10720,16530,241500,,,
EVCurrent,17930,14430,16219,15880,3400,17330,22200,18860,3400,24160,24940,22020,3400,19460,15370,14140,3400,12880,11410,12500,3400,11480,10650,11790,3400,13380,12530,12820,12120,14330,15310,16810,18020,17490,20270,19940,20410,20370,12370,13560,5010,5200,5330,8580,10410,10000,10580,11250,11670,11910,12310,12260
EVPCurrent,190,170,190,180,40,200,250,230,40,290,310,270,50,310,290,350,100,410,440,490,140,450,370,390,110,410,380,450,440,550,590,1150,920,710,660,780,910,1140,1010,740,290,280,270,420,470,440,460,470,480,470,480,490
EVEBITCurrent,1940,4310,32830,-1134580,70300,6130,7260,6550,1160,18960,48190,-186890,-840,-4950,-4620,-4280,4450,6420,9470,9890,4710,16260,10990,17980,3470,11160,10680,5740,6730,37960,19440,4540,4460,8050,9370,-18130,-17490,33250,35850,-12480,-1160,-1460,-1540,-3460,16910,15180,33370,54730,828790,-1610,-1760,-1810
EVEBITDACurrent,1530,2250,4450,5220,1100,2950,3620,3270,580,5760,7180,7440,-3130,-18810,-21530,-10680,1450,4059,5440,5330,1920,6640,5430,7310,1750,6210,5890,4320,4970,15080,11550,4150,3930,5930,6420,22550,22210,7400,4900,12250,-2000,-2740,-2800,-4950,6280,5480,6870,7650,8490,-2000,-2200,-2240
DTAR,470,430,450,480,,470,490,490,,520,500,490,,470,420,390,,360,350,360,,340,330,350,,340,350,340,320,870,870,580,590,630,660,680,680,700,410,430,530,430,450,550,570,560,570,580,570,830,810,810
CG,900,770,820,910,,910,960,940,,1090,1050,1010,,930,710,630,,560,540,550,,510,500,530,,510,530,510,480,6630,6450,1370,1420,1710,1960,2140,2140,2350,1590,1870,1110,770,830,1250,1340,1310,1370,1430,1400,6080,5360,5140
LDER,130,90,170,80,,20,110,150,,160,170,90,,100,80,70,,130,40,30,,50,50,50,,40,240,50,70,940,1280,160,570,1010,1310,990,1060,1540,950,910,210,170,170,420,820,780,780,850,400,720,630,580
