,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,29079226000,29079226000,29079226000,29079226000,29079226000,29079226000,35533311000,35533311000,35533311000,35533311000,35533311000,35533311000,35533311000,35533311000,35533311000,35533311000,73588400000,86076085000,86076085000,86076085000,86326086000,86326086000,86326086000,86326086000,86326086000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,19.21,8.86,25.33,,,17.71,,,-100.00,12.67,,,,1.13,224.74,97.66,65.50,66.92,-51.05,-20.33,-6.14,-31.91,-31.47,-28.70
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,,-14.64,-100.00,,,,4.82,-1.52,1.31,-3.30,236.60,-40.06,-15.17,-2.47,-1.29,-2.43,-0.07,-29.25,-0.66,1.52
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-16.10,-8.14,-20.21,,,-15.06,,,,-11.25,,,,-1.11,-69.22,-49.40,-39.57,-40.10,104.41,25.47,6.55,46.85,45.92,40.26
CWKCurrent_sy,,4.74,-28.00,73.57,,,-47.15,,,,0.42,,,,19.18,-8.04,-7.23,0.09,-7.89,-8.08,15.75,8.30,-12.97,-2.00,29.08
