,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,
ShareAmountCurrent,600000000000,600000000000,600000000000,133931912000,156133179000,156133179000,156133179000,156133179000,156133179000
ShareAmountCurrent_yy,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,
WKCurrent,,,,,,,,,
WKCurrent_yy,,58.35,-55.47,,,,2347.12,22.45,213.02
WKCurrent_sy,,,,,,,,,
WKCurrent_qq,,,,1970.85,12.78,3.63,1.11,3.62,188.30
WKCurrent_sq,,,,,,,,,
CWKCurrent,,,,,,,,,
CWKCurrent_yy,,-36.85,124.56,,,,-95.91,-18.33,-68.05
CWKCurrent_sy,,-11.83,-3.26,,,,-1.82,-5.09,-6.12
CWKCurrent_qq,,,,-95.17,-11.33,-3.50,-1.09,-3.50,-65.32
CWKCurrent_sq,,,,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,
WKGrahamCurrent_yy,,-40.28,-34.60,,,,-261.62,-41.89,19.11
WKGrahamCurrent_sy,,,,,,,,,
WKGrahamCurrent_qq,,,,-188.13,12.64,-2.27,-40.47,-13.06,50.20
WKGrahamCurrent_sq,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,
PCurrent,,,,,,,,,
PCurrent_yy,,36.88,16.33,,,,389.44,24.80,54.85
PCurrent_sy,,,,,,,,,
PCurrent_qq,,,,358.64,-7.88,7.01,8.26,16.95,14.29
PCurrent_sq,,,,,,,,,
CPCurrent,,,,,,,,,
CPCurrent_yy,,-26.91,-14.05,,,,-79.57,-19.88,-35.42
CPCurrent_sy,,16.47,-33.09,,,,-14.61,-17.05,-1.28
CPCurrent_qq,,,,-78.20,8.56,-6.55,-7.63,-14.49,-12.50
CPCurrent_sq,,,,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,
