,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,931250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,1031250000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000,2062500000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,2444.11,-6.87,,,10.69,,,,35.83,30.42,65.86,47.49,16.59,10.36,-28.24,8.93,18.26,6.65,107.63,-20.34,-17.66,4.41,-40.24,0.43,-17.82,-21.67,-60.40,-55.67,-66.29,-69.33,-34.65,-35.00,-97.15,-96.91,-97.19,-97.84,-104.97,-105.71,-112.77
