,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
ShareAmountCurrent,5864000000,5864000000,5864000000,5864000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,7564000000,16031546000,16031546000,18449458000,18449458000,18449458000,18449458000,18449458000,18449458000,18449458000,18449458000,18449458000,18449458000,18449458000
WKCurrent,160,430,690,1120,3310,3330,3420,2280,2320,2290,2250,2190,2160,2100,2100,2000,1970,1040,1010,840,790,740,710,870,830,750,660,300,340,130
CWKCurrent,2730,1000,620,380,130,130,130,190,190,190,190,200,200,210,210,220,220,410,430,510,540,580,600,490,520,580,650,1450,1270,3190
WKGrahamCurrent,-20,0,40,90,2440,2350,2190,1920,1760,1540,1380,1270,440,410,400,340,310,480,370,200,140,80,50,90,70,10,-60,-170,-80,-90
CWKGrahamCurrent,,,11310,4830,180,180,200,220,250,280,310,340,980,1040,1070,1250,1380,890,1150,2200,3010,5210,9140,4610,6040,44570,,,,
PCurrent,410,580,930,1390,1120,1210,1340,1390,1500,1590,1570,1580,1510,1440,1470,1450,1530,730,770,770,870,1010,1110,1180,1100,910,1080,990,920,950
CPCurrent,1050,740,460,310,380,360,320,310,290,270,270,270,280,300,290,300,280,590,560,560,500,430,390,360,390,470,400,430,470,450
ZCurrent,60,160,260,360,240,210,260,-1020,-1000,-1030,-1160,-30,-100,-150,-110,-180,-190,-500,-530,-510,-550,-220,-210,20,30,0,-60,-670,-690,-820
CZCurrent,7570,2750,1650,1210,1780,2020,1640,,,,,,,,,,,,,,,,,19300,16560,360600,,,,
