,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,
ShareAmountCurrent,8000000000,8000000000,8000000000,8000000000,9700000000,9700000000,9700000000,9700000000,9700000000,9700000000,9700000000,9700000000,9700000000
ShareAmountCurrent_yy,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,
WKCurrent_yy,,-7500.00,68.58,136021.51,,,-3.25,,-11.38,-11.43,-2.85,-1.88,6.70
WKCurrent_sy,,,,,,,,,,,,,
WKCurrent_qq,,,,,,-0.73,1.89,-0.93,-11.57,-0.79,11.77,0.06,-3.83
WKCurrent_sq,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,
CWKCurrent_yy,,,,,,,3.36,,12.84,12.92,2.92,1.91,-6.28
CWKCurrent_sy,,,,,,,-3.26,,7.77,0.89,-1.82,-5.09,-6.12
CWKCurrent_qq,,,,,,0.73,-1.85,0.93,13.08,0.80,-10.54,-0.06,4.00
CWKCurrent_sq,,,,,,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-9475.00,-816.93,1783.42,,,31.90,,-3.81,-0.78,10.50,19.70,36.81
WKGrahamCurrent_sy,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,-6.09,33.10,-7.19,-17.09,-3.13,48.24,0.54,-5.24
WKGrahamCurrent_sq,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,-24.19,,3.96,0.78,-9.50,-16.46,-26.90
CWKGrahamCurrent_sy,,,,,,,-3.16,,-12.72,-14.39,-11.23,-18.91,-8.26
CWKGrahamCurrent_qq,,,,,,6.49,-24.87,7.74,20.61,3.23,-32.54,-0.54,5.52
