,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
ShareAmountCurrent,100100000,100975000,100975000,100975000,309517000,309517000,309517000,309517000,309517000,309517000,309517000,309517000,320274000,320274000,320274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000,349274000
WKCurrent,327890,323520,346510,3165880,1031190,1044190,1138560,1069140,1163070,1110840,1068500,1148060,1107290,1042260,1148050,1083420,1090630,1157800,12650,450,-21910,-19040,23000,23900,21340,24120,-45960,-42500,-43120,-41310,-38830,-38470,-42150
CWKCurrent,60,60,50,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1500,42540,,,830,790,890,790,,,,,,,
WKGrahamCurrent,-191640,-200570,-3770010,-1258230,-539700,-400450,-594950,-515500,-613580,-579350,-592280,-641860,-585980,-573590,819250,751370,756850,850280,-18380,-51170,-95110,-90250,-27060,-26870,-30020,-27830,-70960,-66900,-74380,-71640,-68880,-68320,-72090
CWKGrahamCurrent,,,,,,,,,,,,,,,20,30,30,20,,,,,,,,,,,,,,,
PCurrent,100,63230,83840,105000,28820,180890,14100,9160,7800,-149890,34510,200950,220350,253390,276420,113250,115770,118450,4610,-6850,-32580,-70190,1350,920,0,1310,2990,2990,3240,1930,340,340,160
CPCurrent,190190,300,230,180,660,110,1350,2080,2440,,550,90,90,80,70,170,160,160,4120,,,,14060,20670,6636210,14550,6340,6340,5870,9830,55300,55300,120660
ZCurrent,-44870,-13050,22890,400060,142400,131980,119890,10590,20920,41510,42990,17590,-19860,-39760,123250,100870,125970,122220,-1159210,-1164090,-1183590,-1183740,93870,120520,134260,149020,-68960,-66410,-64459,-65430,7130,4030,960
CZCurrent,,,830,50,130,140,160,1790,910,460,440,1080,,,150,190,150,160,,,,,200,160,140,130,,,,,2670,4710,19690
ZOCurrent,-1680,3530,-5320,-5320,110340,-1740,165220,165220,92360,202530,32700,37350,-11800,-20140,158570,135300,145970,143500,-3950,1780,1270,13000,-1580,-1580,-2530,-1910,1950,2200,2150,1510,-320,-860,-920
CZOCurrent,,5390,,,170,,120,120,210,90,580,510,,,120,140,130,130,,10690,15010,1460,,,,,9740,8620,8850,12570,,,
EVCurrent,-10230,248990,439620,19000,166400,19000,232120,19000,266720,284010,289850,19000,213590,213410,231160,225010,200610,175740,200350,200830,206550,205870,123200,123280,127880,110900,103260,98810,96500,93740,90030,89440,92920
EVPCurrent,-102410,3940,5240,180,5770,110,16460,2080,34180,,8400,90,970,840,840,1990,1730,1480,43490,,,,91160,134140,44666210,84950,34480,32990,29800,48500,262040,260339,590080
EVEBITCurrent,6100,70620,-82660,-3570,1510,-10950,1400,120,2890,1400,8860,510,-18110,-10600,1460,1660,1370,1220,-50740,112960,163220,15840,-77950,-77860,-50470,-57990,52960,44820,44940,62010,-283280,-103790,-100790
EVEBITDACurrent,6100,68510,-85530,-3700,1510,-11330,1400,110,2890,1400,8850,510,-18160,-10630,1460,1660,1370,1220,-51910,108080,153500,15790,-79680,-79450,-51110,-58690,52420,44470,44700,61540,-291150,-104830,-101420
DTAR,480,450,920,280,380,280,400,330,420,430,500,360,420,430,410,410,390,370,970,1000,1050,1040,830,820,840,800,2180,2120,2220,2210,2180,2170,2290
CG,920,810,11660,400,620,380,660,480,710,740,980,560,740,740,690,700,630,590,35160,1048310,-21440,-24490,4740,4580,5320,4019,-1850,-1890,-1820,-1820,-1850,-1850,-1770
LDER,740,740,4550,310,530,350,600,390,620,620,490,260,420,450,500,490,480,470,12160,828130,-16810,-19460,3990,3860,4480,3290,-1750,-1810,-1720,-1740,-1760,-1790,-1680
PZAT,2100,2160,2130,,2330,,2070,,2029,2000,2570,,3000,2850,160,150,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PELDR,1100,1070,470,,1010,,1060,,1060,1070,1020,,930,930,5270,4890,4820,5550,5370,7170,4730,4930,2290,2290,2280,1990,1380,1420,990,1010,990,1010,950
TSF,900,960,440,940,940,970,960,930,950,930,750,810,820,830,890,880,910,920,360,790,770,790,870,870,870,850,880,910,880,900,900,920,880
ZKO,2720,4340,14930,,6420,,4700,,3900,3360,2290,,3530,3860,490,500,480,450,1040,1120,1250,1240,1330,1330,1360,1400,6050,5970,19870,20130,24380,23900,28280
OSF,1720,2680,1260,,4210,,3090,,2550,2210,1480,,2310,2490,1720,1630,1550,1690,430,10,-380,-330,610,620,560,650,-11120,-10400,-27400,-27420,-31500,-30800,-39820
NetDebt,27397000000,25499000000,405888000000,127050000000,194175000000,123947000000,228655000000,159557000000,248314000000,249335000000,318356000000,198668000000,257589000000,239866000000,252323000000,262488000000,239311000000,240362000000,155270000000,163492000000,163987000000,162797000000,38037000000,38220000000,39621000000,33883000000,29683000000,28053000000,27347000000,26323000000,25081000000,24898000000,26098000000
NetDebtEBITDA,-163080,69480,-782060,-244800,5680,-238820,4470,3120,8680,3970,31410,17160,-68400,-37300,4970,5550,4690,4790,-115190,251910,348910,35750,-70440,-70520,-45330,-51340,43140,36150,36270,49480,-232230,-83550,-81560
DebtFin,-2926000000,23223000000,42472000000,,45623000000,,65963000000,,76673000000,82026000000,83832000000,,62322000000,62264000000,67948000000,71955000000,63432000000,54746000000,63341000000,63509000000,65507000000,65269000000,36393000000,36423000000,38030000000,32100000000,29429000000,27875000000,27069000000,26103000000,24808000000,24604000000,25818000000
