,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ShareAmountCurrent,13620000000,13620000000,13620000000,13620000000,13620000000,109833090000,109833090000,109833090000,109833090000,126798683000,128798683000,130800000000,130800000000,138470000000,138470000000,174500000000,181100000000,229901684000,273124891000,305000000000,305000000000,305000000000,341695281000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490781000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000,343490800000
WKCurrent,-12720,-12300,-12290,-12260,-1720,20,-150,90,0,170,170,170,0,150,140,230,0,410,380,300,0,450,500,510,0,350,350,440,470,-200,-160,-240,-290,-320,-240,-250,-320,-350,-250,-350,-420,-470,-470,-470,-470,-460,-470,-460,-460,-450,-450,-450
CWKCurrent,,,,,,450,,120,,60,60,60,,70,70,40,,20,30,30,,20,20,20,,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent,-12730,-12320,-12310,-12280,-1740,-1140,-160,10,0,140,140,130,0,60,40,50,0,130,120,50,0,-130,-130,120,0,10,20,140,250,-450,-430,-470,-510,-560,-490,-490,-500,-500,-470,-470,-420,-480,-470,-470,-470,-470,-470,-460,-460,-450,-450,-450
CWKGrahamCurrent,,,,,,,,850,,70,70,80,,180,250,190,,70,80,210,,,,80,,800,520,70,40,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,0,800,1060,940,1090,2140,2130,3200,2140,150,170,-720,190,230,350,370,440,430,420,460,600,770,920,1210,1390,1660,2070,2350,2570,2670,2140,1520,1030,510,330,240,160,70,60,50,50,30,20,10,10,0,0,0,0,0,0,0
CPCurrent,13620,10,10,10,10,0,0,0,0,70,60,,50,40,30,30,20,20,20,20,20,10,10,10,10,10,0,0,0,0,0,10,10,20,30,40,60,150,170,190,220,300,510,800,1310,,858730,858730,686980,686980,3434910,3434910
ZCurrent,300,460,370,-140,40,90,100,100,80,0,-20,-10,-30,-80,-120,-150,-170,-160,-180,-250,-190,-30,30,140,60,-80,-70,-80,-10,-660,-620,-690,-730,-80,-130,-70,0,-30,-30,-20,-140,-120,-120,-120,-40,0,0,0,0,20,20,20
CZCurrent,30,20,30,,260,120,100,100,120,3380,,,,,,,,,,,,,400,70,160,,,,,,,,,,,,,,,,,,,,,9620,10630,3270,3170,580,570,640
