,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
ShareAmountCurrent,5000000000,5000000000,5000000000,5000000000,5000000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000,6400000000
WKCurrent,50,110,280,350,410,1350,1380,1260,1020,980,660,610,590,560,560,560,590,600,650,670,710,660,670,690,770,550,760,770,780,740,770,840,900,840,880,890,940,880,940,1030,1100,1100,1180,1170,1160,1170
CWKCurrent,47380,21920,8400,6700,5760,1740,1700,1860,2300,2400,3580,3860,3980,4220,4170,4170,3990,3950,3610,3490,3310,3560,3490,3390,3070,4260,3100,3050,3000,3190,3050,2810,2620,2800,2660,2650,2500,2680,2500,2270,2130,2130,1990,2000,2029,2020
WKGrahamCurrent,40,80,230,280,330,1270,1280,1150,940,900,590,540,530,500,510,470,490,470,530,540,570,520,530,560,640,240,610,610,610,570,580,630,620,550,610,630,700,710,760,860,930,950,1010,980,960,980
CWKGrahamCurrent,63170,28660,10220,8260,7160,1850,1830,2040,2510,2610,4010,4380,4460,4690,4620,5030,4780,4960,4410,4370,4130,4510,4410,4230,3680,9820,3870,3850,3840,4130,4019,3730,3790,4280,3840,3730,3370,3320,3080,2740,2520,2480,2330,2390,2450,2400
PCurrent,410,790,2130,2260,2390,1970,2000,2090,1940,1730,1470,1210,1140,1070,1070,1140,1180,1250,1310,1260,1320,1330,1340,1460,1450,4300,1390,1310,1290,-1530,1340,1520,1580,1610,1730,1660,1730,1790,1850,1990,2050,2180,2270,2380,2480,2570
CPCurrent,5700,2970,1100,1040,980,1190,1170,1130,1210,1360,1600,1940,2070,2200,2190,2070,2000,1890,1790,1860,1780,1760,1750,1610,1620,550,1690,1800,1830,,1760,1540,1480,1460,1360,1420,1360,1310,1270,1180,1150,1080,1040,990,950,920
ZCurrent,10,60,270,70,100,150,150,30,-260,-380,-460,-390,-170,-160,-100,-50,0,40,90,80,80,80,40,70,100,150,120,1170,1120,1090,1150,130,100,100,110,50,120,150,170,260,270,310,320,270,230,210
CZCurrent,186510,40800,8630,33010,24630,15410,15900,88470,,,,,,,,,,64830,26570,30140,28650,29090,63190,36150,23390,15650,20000,2000,2100,2160,2050,17450,23690,23500,21960,49800,19280,16149,13960,9140,8590,7630,7370,8740,10030,11080
ZOCurrent,20,80,340,100,130,180,160,-20,-310,-460,-530,-420,-200,-180,-120,-60,-20,20,80,60,70,60,20,40,80,140,100,1160,1110,1070,1140,120,90,90,110,60,140,170,200,310,320,370,380,320,280,250
CZOCurrent,122400,29820,7000,24680,17780,12710,14550,,,,,,,,,,,96410,30320,38470,35140,38760,153470,58980,31270,16239,23910,2020,2110,2200,2070,19230,25890,25360,21490,41890,16560,13690,11640,7670,7240,6320,6140,7240,8410,9420
EVCurrent,2340,2310,2150,2150,2210,1140,1140,1300,1430,1750,1750,1720,1760,1780,1800,1850,1870,1850,1830,1810,1810,1860,1860,1720,1660,1600,1670,2020,2009,2110,2020,2029,1910,1980,2100,11020,2200,2220,2070,1770,1680,1640,1570,1580,1660,1550
