,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
ShareAmountCurrent,23043333000,23043333000,23043333000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,27487778000,23932222000,23932222000,23932222000,23932222000,23932222000,23932222000,23932222000,40000000000,40000000000,40000000000,40000000000,40000000000,9000000000,9000000000
WKCurrent,410,570,810,1560,1650,1740,1750,1640,1640,1670,1630,1580,1570,1600,1530,1510,1540,1610,1540,1570,1620,1650,1590,1560,1580,1590,1540,1510,1500,1560,1580,580,200,210,240,320,180,180,190,190,440,250,250,270,270,260,1130,1140
CWKCurrent,930,660,470,240,230,220,220,230,230,230,230,240,240,240,250,250,250,240,250,240,230,230,240,240,240,240,250,250,250,240,240,650,1860,1810,1560,1180,2120,2080,1970,1960,870,1520,1530,1400,1410,1470,340,330
WKGrahamCurrent,40,-50,240,880,720,730,630,450,410,340,170,130,120,140,60,30,90,170,120,130,190,200,180,170,170,270,250,240,250,280,1580,0,200,-20,-250,120,170,180,190,190,440,250,250,270,270,250,1130,380
CWKGrahamCurrent,9370,,1610,430,530,520,600,840,930,1130,2200,3020,3170,2680,6800,11470,4310,2300,3190,2920,1960,1860,2100,2200,2250,1430,1500,1610,1490,1370,240,373050,1860,,,3210,2240,2090,1980,1970,870,1520,1530,1400,1410,1520,340,990
PCurrent,500,2330,2290,2280,2350,2480,2580,2550,2310,2000,1910,1810,1900,1970,1970,2140,2280,2390,2480,2490,2580,2620,2640,2640,2560,2510,2470,2390,2300,2290,2340,1820,1140,440,10,0,0,0,0,0,0,0,0,50,40,40,180,-10
CPCurrent,750,160,170,170,160,150,150,150,160,190,200,210,200,190,190,180,170,160,150,150,150,150,140,140,150,150,150,160,170,170,160,210,330,860,72750,139910,87440,87440,87440,233190,293360,490320,490320,7320,9560,9560,2150,
ZCurrent,50,170,230,210,220,220,230,190,100,40,-10,-60,-70,-70,-100,-70,-30,10,20,60,80,40,50,-10,-40,-60,-50,-50,-80,-30,40,-930,-830,-890,-1040,190,-60,-60,-40,-130,20,0,-20,10,10,10,30,-70
CZCurrent,7940,2290,1640,1800,1730,1710,1680,1970,3690,10270,,,,,,,,51200,25230,6340,4760,9200,7170,,,,,,,,9380,,,,,2009,,,,,20860,,,33780,46770,50840,11920,
ZOCurrent,60,210,290,260,260,250,250,210,100,10,-40,-80,-80,-80,-100,-60,-20,20,20,60,90,60,70,10,-20,-40,-40,-40,-70,-20,50,70,80,10,-10,-10,-10,-10,-10,-10,-20,-10,-10,20,-10,-20,-80,-190
CZOCurrent,6430,1770,1320,1480,1440,1490,1500,1820,3950,62550,,,,,,,,19490,17240,5870,4090,6500,5350,32740,,,,,,,8350,5400,4830,34470,,,,,,,,,,20430,,,,
EVCurrent,370,350,220,150,220,-270,-200,160,180,210,330,330,370,370,370,360,340,340,360,370,350,380,310,310,320,610,360,360,320,490,380,380,270,490,510,380,380,510,410,380,370,400,340,300,300,370,320,300
EVPCurrent,720,150,90,60,90,-110,-80,60,80,100,170,180,190,190,190,170,150,140,150,150,140,140,120,120,130,240,150,150,140,210,160,210,240,1110,97190,139630,87440,116870,94170,232290,289010,513650,439680,5850,7670,9190,1820,
EVEBITCurrent,6180,1620,750,580,840,-1060,-800,750,1820,34240,-8240,-3960,-4380,-4750,-3730,-5620,-14170,17270,16480,5740,3790,6430,4420,27080,-13520,-14260,-10040,-10000,-4520,-23810,8350,5390,3400,44500,-45000,-40700,-68900,-51720,-39650,-27290,-22450,-52550,-38720,16320,-37190,-19600,-3870,-1590
