,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,8566789000,9400122000,9400122000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000,9400000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,,-32.56,,,-23.20,-44.70,-33.93,-22.69,-4.28,3.51,-8.87,0.52,-7.19,40.03,11.98,5.12,7.76,-36.33,-25.04,-43.16
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,24.09,0.54,-27.10,-15.56,-10.65,20.13,-14.70,4.55,-3.38,5.76,-5.90,-3.48,45.78,-15.42,-11.67,-1.06,-13.87,-0.41,-33.02
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,,48.30,,,30.24,80.84,51.36,29.32,4.45,-3.41,9.75,-0.52,7.76,-28.57,-10.71,-4.88,-7.20,57.03,33.38,75.95
CWKCurrent_sy,,,-14.75,,,-26.03,44.44,15.60,15.65,39.19,-5.63,9.38,12.26,-3.60,-1.29,20.55,13.89,10.69,23.32,-19.06,-4.80
CWKCurrent_qq,,,-19.39,-0.56,37.21,18.42,11.92,-16.77,17.24,-4.36,3.50,-5.43,6.26,3.60,-31.39,18.22,13.20,1.07,16.10,0.42,49.33
