,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,32916161000,32916161000,32916161000,32916161000,32916161000,32916161000,32916161000,33115036000,33115036000,33115036000,33115036000,33185036000,33185036000,33264892000,33890192000,33890192000,33890192000,33310963000,33665963000,33665963000,33665963000,33499899000,33499899000,33499899000,33499899000,33499899000,33499899000,33499899000,33499899000,33499899000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-54.65,,16.48,,,9.53,9.34,10.43,20.61,30.84,27.77,41.99,30.61,29.48,23.75,19.96,14.53,17.33,-3.52,-12.32,-11.52,-11.14,14.41,24.05,16.48,8.89,9.77,16.02,-16.54
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,16.85,-1.66,-1.62,-3.11,16.65,-0.68,7.45,5.11,13.91,10.37,-1.16,4.20,8.87,6.99,-5.64,6.75,-10.48,-2.76,-4.78,7.21,15.25,5.43,-10.58,0.23,16.18,11.43,-35.68
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
