,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200,169200
ShareAmountCurrent,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000,130100000000
CWKCurrent,6940,6180,5890,6460,,5830,5600,6030,,5730,5480,5530,,5210,5140,4870,,4500,4290,4170,,3890,3810,3700,,3430,3260,3150,2960,2710,2670,2710,2660,2550,2480,2400,2220,2110,2150,2300,2140,2060,2060,2040,2009,2100,2040,1970,1920,1870,1830,1850
PCurrent,17630,19000,19280,19870,20580,21740,23180,24330,25750,26910,27920,29500,31390,33630,34540,34600,33810,32000,31330,30800,30850,31250,31770,32759,33880,35020,36300,37080,37600,38230,38010,37660,37010,36320,36350,36750,37410,37610,37330,36800,36490,36610,37030,37700,38510,39390,40380,41090,42360,43360,44120,45550
CPCurrent,9600,8900,8780,8510,8220,7780,7300,6960,6570,6290,6060,5740,5390,5030,4900,4890,5010,5290,5400,5490,5480,5410,5330,5160,4990,4830,4660,4560,4500,4430,4450,4490,4570,4660,4660,4600,4520,4500,4530,4600,4640,4620,4570,4490,4390,4300,4190,4120,3990,3900,3840,3710
ZCurrent,3070,4220,4430,4790,4770,4550,4580,4570,4890,4850,4900,5400,5160,3420,2710,2320,2650,4570,5320,5380,5240,5790,6060,6380,6600,6760,7220,6710,6580,6400,6310,6690,6930,7390,7350,7850,8150,8000,8050,8530,8860,8660,8650,9130,9250,9630,9950,9590,9920,10780,10950,11050
CZCurrent,55160,40060,38210,35320,35500,37220,36910,37030,34630,34900,34560,31310,32759,49420,62440,73020,63750,36990,31820,31420,32270,29230,27930,26510,25650,25010,23440,25220,25720,26450,26830,25310,24430,22890,23020,21540,20760,21150,21020,19840,19110,19530,19560,18540,18290,17570,17010,17650,17050,15690,15450,15310
ZOCurrent,3580,5190,5420,5740,5730,5480,5510,5510,5930,5710,5760,6430,6060,3960,3110,2600,3010,5270,6190,6290,6130,6860,7210,7610,7930,8270,8680,8060,7880,7540,7570,8060,8320,8880,8890,9840,10320,10260,10330,10580,10980,10690,10770,11620,11910,12640,13230,12850,13300,14470,14720,14830
CZOCurrent,47300,32590,31240,29490,29520,30850,30730,30700,28550,29610,29390,26310,27910,42760,54350,65170,56160,32080,27320,26920,27590,24650,23470,22240,21350,20450,19480,20980,21460,22450,22360,20990,20330,19060,19020,17200,16390,16490,16379,16000,15410,15830,15710,14560,14200,13390,12790,13160,12720,11700,11500,11410
DTAR,910,920,910,920,,920,930,930,,930,930,930,,940,940,930,,920,920,910,,910,910,910,,910,910,900,900,900,890,900,900,900,900,910,900,900,900,910,910,900,910,910,910,910,910,910,910,910,910,910
CG,10190,10830,10610,11650,,11830,13410,13570,,12540,14000,14210,,15480,14920,13280,,11250,11100,10660,,10410,10380,10340,,9870,9700,9060,8910,8620,8440,9060,9230,9050,9380,9730,8750,8550,9020,10020,9890,9200,9570,9690,9620,10210,10020,9780,9650,9680,9560,10000
NetDebt,19746226000000,20311225000000,19302487000000,20421754000000,,23867383000000,27764580000000,30351653000000,,28935470000000,31447106000000,28935605000000,,35309249000000,34458950000000,32705841000000,,29906210000000,29179151000000,31681790000000,,32647000000000,34503000000000,35460500000000,,40724000000000,45706100000000,46348800000000,49025900000000,46623400000000,46564600000000,49669500000000,50392700000000,49706900000000,52357400000000,56249500000000,59260300000000,59387300000000,63428300000000,66872300000000,70856100000000,70017000000000,71357100000000,73932200000000,75310600000000,76627400000000,77525600000000,79557700000000,83304300000000,84966400000000,82809700000000,86376600000000
NetDebtEBITDA,33490,25270,23030,23180,,27910,32439,35280,,32220,34840,29300,,54440,64239,69950,,36910,31450,33800,,32200,32540,31820,,33680,36110,39030,42070,41310,40890,41080,40390,37690,39690,39070,39420,39320,41650,42880,43750,44330,44840,43400,43250,41310,40060,42190,42880,41160,39540,40960
RN,110,110,110,120,120,120,110,110,110,110,110,120,130,140,140,140,130,130,130,120,120,120,120,110,120,110,110,100,100,100,100,90,90,90,90,80,80,80,80,70,70,70,60,60,60,60,60,60,60,60,60,60
CRN,3420000,3313000,3216000,3135000,3028000,3034000,3195000,3438000,3248000,3288000,3227000,2950000,2772000,2642000,2569000,2649000,2712000,2814000,2857000,2943000,2939000,3018000,3153000,3205000,3099000,3203000,3387000,3599000,3645000,3714000,3762000,3866000,3975000,4127000,4250000,4334000,4415000,4554000,4761000,5025000,5300000,5510000,5633000,5695000,5690000,5709000,5728000,5773000,5759000,5793000,5801000,5737000
CPZ,5142000,5322000,5692000,5550000,5359000,5337000,5530000,5649000,5336000,5227000,5157000,5101000,4794000,4953000,5032000,5117000,5237000,5229000,5132000,5109000,5101000,5151000,5158000,5152000,4982000,4938000,4904000,4845000,4819000,4864000,4967000,5206000,5490000,5749000,6011000,6240000,6328000,6505000,6723000,6946000,7292000,7436000,7536000,7572000,7481000,7470000,7390000,7335000,7200000,7152000,7143000,7070000
RM,60,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,60,70,70,70,60,60,60,70,70,70,70,70,70,70,60,60,60,50,50,50,50,50,50,50,40,40,40,40,40,40,50,50,50,50,50
